miliseconds,M_T,M_P,T0,T1,T2,P0,P1,P2,C,CN
0,1.405776400904372,0.09122214006198613,0.5349303293289477,0.7799235729159064,4.718076246245945,0.020388354716467015,0.020042620289698457,0.009791619689435526,0.17997044418171065,1.2026967510627409
100,1.376049507145554,0.09156629816705286,0.521754614640666,0.7665731677148663,4.368264605111447,0.020789591182558742,0.02007910726338663,0.011835125080365586,0.17694039057336522,1.1957366114230215
200,1.3527702770550167,0.0906779938864701,0.508741777336462,0.7574783214094839,4.222030229918756,0.021250085688595155,0.020009352517523588,0.012111191742451923,0.17489559504008875,1.190524760258901
300,1.3274020678138971,0.09481412136477083,0.4983592664840462,0.7459432759419985,4.017829426109378,0.0228030720895294,0.020147081359610367,0.012274766557748557,0.1739676229525254,1.19192602744607
400,1.2904391585118637,0.09563400632398786,0.4867133778609376,0.7151271604855952,3.7763357751870474,0.02328688191197577,0.020418893477294794,0.012506985778887737,0.17278302531914974,1.1858348012885236
500,1.2721248973741688,0.0975686334889224,0.4712779460686666,0.6992307815584821,3.4276881510237045,0.02360449097243449,0.02103574714489114,0.013118672609680535,0.16971791815455523,1.1818010118153646
600,1.237076631645852,0.09828914812614398,0.4589356790540007,0.6867212836373116,3.1943617852335398,0.02385408958249213,0.021588695772876695,0.013215330030751444,0.16831196752523073,1.176515410524984
700,1.216799760956031,0.09855677289679944,0.44538491356223114,0.6575328510190054,3.0433004646598882,0.02438765544931767,0.021607649466277887,0.013531025690647394,0.16786961430752284,1.1671238618923725
800,1.1945233869316338,0.1016656779446229,0.43322240423619207,0.6535311266187952,2.8493286648994673,0.0248536597519166,0.022209247948035183,0.014114785516283007,0.16498334947823928,1.1642555012084777
900,1.1621195656975452,0.10208553152547767,0.41816499697449905,0.6355762953555781,2.497820492451167,0.025006964339187265,0.0228647361130106,0.014160761691799941,0.1621447567182615,1.1592420987449565
1000,1.1399869747203613,0.1017518414561035,0.40515827171112206,0.6093294859541588,2.293787336345501,0.02566585752784958,0.022689977511097716,0.014729476339202019,0.1617726279594885,1.153169134170466
1100,1.0996577841672093,0.1052053421225487,0.4006675963858425,0.589079235602208,2.0782181124741395,0.025956799880144613,0.02365252380121038,0.014945632166290697,0.15873173857372241,1.1537500769961104
1200,1.0904095038370882,0.10558860603253692,0.3893668780301666,0.5599443621760504,1.8478943254066853,0.02589490039859736,0.023792883775366664,0.015314199079031712,0.15664172177611121,1.1430096968556522
1300,1.0611790333614954,0.10564057028668696,0.37653902245543464,0.5508720505466804,1.611172177802416,0.026126492243668944,0.024092061465401497,0.01584970525344883,0.155504384510441,1.144253621814583
1400,1.031426839834877,0.11088326772159199,0.37245025439962076,0.5179445631889077,1.3955979845876167,0.026623875271390592,0.024792017554804906,0.016310311784103956,0.15367403715596162,1.1331099180756707
1500,1.0190749854627468,0.11067530569162315,0.3581763294989697,0.5013733594557648,1.2282156955912196,0.02679512277898572,0.024756380493755576,0.016648475758665852,0.15171559383065625,1.1328192876876393
1600,1.0021737435154516,0.11448718126712165,0.35156842427054014,0.47392941523977394,1.0045375583598581,0.027796927540259513,0.025737183499880786,0.017069182964583953,0.14743028101800906,1.1258097211494673
1700,0.9703714716219767,0.11392190241835298,0.33881356699353204,0.44660648344380266,0.7519683431898175,0.028256533314467747,0.026152180941997432,0.017500107800985744,0.14607111073838427,1.1213514506550128
1800,0.960122989516001,0.11733880074964342,0.33208795545164543,0.4231382201898359,0.6739825542114897,0.028236323538342357,0.026377903147146328,0.01774564863627854,0.14321005177476553,1.107861305136026
1900,0.9402703145874907,0.11726617368317958,0.32213004892511987,0.4134425007370215,0.47113573617992005,0.02943667510175512,0.02639657948938882,0.01815688490726479,0.14062825786198693,1.1017506591290764
2000,0.9243039956840738,0.11861082376492248,0.3115234581512787,0.37445049461010266,0.23469370544622659,0.029538503525791866,0.02749363544613029,0.018529574335113423,0.13984382791306296,1.102253779257054
2100,0.9114822991344684,0.12431078828479517,0.30154461056441356,0.35647966139481274,0.1519640399259595,0.030204261049973778,0.027488919493814,0.018869051274987957,0.13562257507778663,1.0965399667439486
2200,0.8898762378029487,0.12350808567176143,0.28917081404327977,0.3368231637153383,0.0894569866929413,0.030602162174140954,0.028107541602381658,0.01907543134525683,0.13515994061951475,1.0899424443577064
2300,0.878094704825974,0.12740560329243703,0.2851508666490362,0.31050225582443286,0.17066086625493254,0.031032825988098468,0.028817528929570842,0.019576549385866993,0.13238044580250383,1.0756177866563528
2400,0.8456230919261478,0.1315674191130155,0.27454361989351006,0.2928986297368959,0.13988715972238014,0.03184602696886932,0.02880719735522461,0.019869181367488036,0.12966666000269847,1.0755303496310935
2500,0.8434973547028817,0.13279833830434937,0.27000924455573405,0.29161247544809715,0.07903236642908783,0.03254041581403554,0.029765061101811967,0.01969439602176231,0.12747347408143964,1.0667348092503983
2600,0.8221737790049775,0.1357761329263361,0.264365119001585,0.2633838801473269,0.10168344401383866,0.03326254421747073,0.030461476323055757,0.020139772455889843,0.12653463946542717,1.057783474476548
2700,0.8217029873505731,0.14046602098921482,0.26054159910997576,0.2635300539322805,0.07971468841379623,0.034055696278759276,0.030734446313416534,0.01998874672312352,0.12595638633397133,1.0478755608995312
2800,0.8107963995020084,0.14346471384514808,0.2457644987802198,0.24267608711820376,0.042442622745338984,0.034493084478443334,0.03183448138639929,0.020254286548387925,0.124464866842978,1.0447278218769958
2900,0.7875973862363667,0.14388827881679983,0.24628178060739628,0.23753152359405982,0.002928097602965328,0.03494290098387948,0.031857703925314375,0.02065160408097802,0.12288432380338297,1.0362176542157453
3000,0.781010490469926,0.14743769163978543,0.2389472683627909,0.24478984671243473,0.11590230283482258,0.03641662898667687,0.03241732605468825,0.020510626349139294,0.1209945109733773,1.0295416252716876
3100,0.7806108887878793,0.15193678310338707,0.23429798779902367,0.2252315254528109,0.09685883662245295,0.03645808795719101,0.03345753364612682,0.02104145474792586,0.11927299298065921,1.0236785261669807
3200,0.7740338706550306,0.15526000742101898,0.22986976389691766,0.22769491788542134,0.10297350115523447,0.03817467781464524,0.034077804868684225,0.02120815894985416,0.11887712603630994,1.0152348330519703
3300,0.7673048943713641,0.15952763580603785,0.23132135007978682,0.2242903982665061,0.05844787648542602,0.038674137508382445,0.035055722202097996,0.021488893692245943,0.11753645286530698,1.0132490616826528
3400,0.7442003962719685,0.16161254049625418,0.2270338582486892,0.21436961673204705,0.08598764707316883,0.03988898280885829,0.035776398843456084,0.021499240220250307,0.11592789242336402,1.0002139250019018
3500,0.7392849973442077,0.1653416722467624,0.2250949066413514,0.21320839420797977,0.001967832374225306,0.040181000492093936,0.03636310473412546,0.022116632958690263,0.11665076110241793,0.995649846792038
3600,0.7326979698928364,0.17013357815506222,0.21989814071504035,0.2124356260837608,0.0422142776011492,0.041091626356817484,0.03683270892934636,0.02236170570925533,0.11479993369341114,0.9904126146256351
3700,0.7414623614321749,0.17642212257129378,0.21250529841506147,0.19599344043679992,0.022979164726936584,0.041807602358726374,0.037809579755776375,0.02268120487607234,0.11362940502994746,0.9845312006782709
3800,0.7396815475529372,0.1796022378087849,0.2143007565872271,0.20591747793170223,-0.019737048653355474,0.04327490659583148,0.038446319944160125,0.0225625608005175,0.11262179799515722,0.970415819806896
3900,0.7327924207567961,0.1826427112448148,0.2115082964854407,0.187147449130699,-0.007715675651150382,0.043772815389040445,0.03942484385498415,0.022883679176806244,0.11123772967139942,0.9692158412604396
4000,0.7299412501316224,0.18654111845504756,0.2121820458341843,0.18945016718782,0.052151346745982305,0.04577698924390358,0.0402161323161902,0.02345023473190311,0.11140355009959556,0.9610570002797844
4100,0.7163168055962676,0.1935423879939878,0.21030613575302246,0.18696343710882735,0.026602349849838294,0.04613976792374274,0.041859605664102593,0.023680190557406857,0.11102485939684639,0.9578986375538054
4200,0.7148638874087963,0.19792636868864524,0.20451624834105678,0.1888560625141968,0.10970576114224465,0.047553724145996866,0.04263319453503226,0.02433536720168265,0.10932552434627738,0.9487317733036134
