milliseconds,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
0,1.5045327475457934e-35,0.0117590568706314,4.902192957399429e-34,0.0379799887571665,1.308176389862979e-35,0.00394239990123767,-1.2805785515814723e-34,0.00200010981212238,3.129629540079274e-36,5.346946613550822e-40,1.5821833083706e-05,-1.8832417048897154e-36,2.30017456622937e-08,1.3524819675704796e-05,9.353347240589159e-06,3.3311210465159e-08,-1.8035001689766858e-51,-1.9318311228741178e-35,-1.2369939371527987e-36,0.000286841656341217,0.0030378361484431904,5.0716761895427876e-34
100,7.328007143688174e-35,0.0117590568706314,4.006294112507968e-34,0.0379799887571665,1.4032836430571057e-35,0.0039423999012376705,4.932015542562358e-35,0.00200010981212238,2.4971964909722747e-35,6.2672619875235625e-40,1.5821833083706257e-05,1.972604031961481e-35,2.3001745662293693e-08,1.3524819675705135e-05,9.353347240588546e-06,3.331121046515881e-08,-6.687537765619969e-51,8.236623440493958e-35,1.2995150172479026e-36,0.000286841656341217,0.0030378361484431904,-1.1943955617923526e-33
200,1.0525089798666647e-34,0.011759056870631399,-5.899412891577473e-34,0.0379799887571665,-1.355909791706449e-34,0.003942399901237671,4.924649701206815e-35,0.00200010981212238,7.187293142818155e-35,2.092786377459109e-39,1.5821833083706278e-05,4.5857800220138966e-35,2.3001745662293693e-08,1.3524819675705184e-05,9.353347240588486e-06,3.331121046515888e-08,-1.5338059458209924e-50,1.6868749242455213e-34,2.050288782222247e-36,0.000286841656341217,0.0030378361484431904,-2.6871524635212375e-33
300,1.7721924982109987e-34,0.011759056870631399,-6.666515867075291e-34,0.0379799887571665,-2.3853911914584967e-34,0.003942399901237671,2.96156614803719e-34,0.00200010981212238,1.063179411644107e-34,2.7768300167312244e-39,1.582183308370629e-05,7.646632354726761e-35,2.3001745662293693e-08,1.3524819675705218e-05,9.353347240588434e-06,3.3311210465158936e-08,-2.1694704826070014e-50,2.4817226049368052e-34,3.780447382020979e-36,0.000286841656341217,0.0030378361484431904,-4.819063210645669e-33
400,1.359499062681279e-34,0.011759056870631399,-1.0443401957910883e-33,0.0379799887571665,-1.2744049787277343e-34,0.003942399901237671,2.7728015071903513e-34,0.0020001098121223797,1.2115317172635888e-34,4.550214738194829e-39,1.5821833083706305e-05,9.954342679464775e-35,2.30017456622937e-08,1.3524819675705246e-05,9.353347240588398e-06,3.331121046515899e-08,-2.843203092944346e-50,3.214218933117521e-34,4.0368761794104084e-36,0.000286841656341217,0.003037836148443191,-5.747202407473741e-33
500,2.587210063093504e-34,0.011759056870631399,4.3632271066068975e-34,0.0379799887571665,-1.9555866267077982e-34,0.003942399901237671,2.4974360139586e-34,0.0020001098121223797,1.4454137083688195e-34,5.796659219631506e-39,1.58218330837063e-05,9.391919267759306e-35,2.30017456622937e-08,1.3524819675705257e-05,9.35334724058838e-06,3.331121046515899e-08,-2.9364934422783116e-50,3.543798892773786e-34,6.864509323042792e-36,0.000286841656341217,0.0030378361484431913,-5.017725551688178e-33
600,2.3085731797830785e-34,0.011759056870631399,4.405422054547955e-34,0.0379799887571665,-1.323660276090494e-34,0.003942399901237671,4.6961647727601504e-34,0.00200010981212238,1.5125861947495619e-34,6.959129358337258e-39,1.58218330837063e-05,9.044660761202267e-35,2.30017456622937e-08,1.3524819675705248e-05,9.353347240588397e-06,3.331121046515899e-08,-2.8589617423376734e-50,3.31488704360006e-34,6.773549592230397e-36,0.000286841656341217,0.0030378361484431917,-4.540263614968198e-33
700,2.4629497607287543e-34,0.011759056870631399,1.3113524499768069e-33,0.0379799887571665,5.543075918732587e-35,0.003942399901237671,5.748489672691717e-34,0.00200010981212238,1.5017844629872358e-34,8.229478315867971e-39,1.58218330837063e-05,8.968284589142031e-35,2.30017456622937e-08,1.3524819675705253e-05,9.353347240588393e-06,3.331121046515899e-08,-2.9828337691265595e-50,3.621786725036458e-34,8.219364606505674e-36,0.000286841656341217,0.0030378361484431917,-3.0511927112308006e-33
800,3.440349548423063e-34,0.011759056870631399,1.8566064230193852e-33,0.0379799887571665,1.8976731396542887e-34,0.003942399901237671,6.651538576937495e-34,0.00200010981212238,1.6401811819623452e-34,8.56426389782371e-39,1.5821833083706308e-05,8.980685761772031e-35,2.30017456622937e-08,1.352481967570526e-05,9.35334724058838e-06,3.331121046515899e-08,-2.8377761188521735e-50,3.7230634776282314e-34,1.1125548237931209e-35,0.000286841656341217,0.0030378361484431917,-3.1269993286244145e-33
900,4.26000806596851e-34,0.011759056870631399,2.1546110259977895e-33,0.0379799887571665,2.3630802984774653e-34,0.003942399901237671,8.813971406420512e-34,0.00200010981212238,1.7804890774773496e-34,1.0859560330156922e-38,1.5821833083706305e-05,8.745867105877095e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588393e-06,3.3311210465158996e-08,-3.0973847378749345e-50,4.11699976584338e-34,1.380701626418625e-35,0.000286841656341217,0.003037836148443192,-2.4236184692359948e-33
