milliseconds,alpha,beta,gamma
0,0.462,0.2,0.338
100,0.4330782344535624,0.24860344432035303,0.3183183212260842
200,0.4134482590979929,0.2786582466953526,0.30789349420665424
300,0.39932796494361994,0.29772124042731135,0.3029507946290699
400,0.38860711372137285,0.31000913287490434,0.3013837534037251
500,0.3800358429672649,0.318019583828447,0.30194457320429213
600,0.3728475524013865,0.32328461180771517,0.3038678357909016
700,0.36656001600343224,0.3267679671936431,0.30667201680292794
800,0.3608665135910828,0.329082663711833,0.31005082269708684
900,0.3555698091597774,0.33062290638833863,0.31380728445188644
1000,0.35054219764312367,0.3316439332138792,0.3178138691429993
1100,0.34570008437636196,0.3323128176243225,0.321987097999314
1200,0.3409893775851636,0.3327376654156065,0.3262729569992236
1300,0.3363750539355411,0.332988470974096,0.3306364750903561
1400,0.33183376288107364,0.3331118972942929,0.3350543398246257
1500,0.3273502128292888,0.33313850291302927,0.3395112842576725
1600,0.3229145560376646,0.3330879700262857,0.3439974739360404
1700,0.31852022063417834,0.3329734372864619,0.34850634207935205
1800,0.3141627484010507,0.33280382402635106,0.3530334275725919
1900,0.309839143548049,0.3325851326255933,0.35757572382635183
2000,0.30554748888068006,0.3323212164048198,0.36213129471449407
2100,0.3012865822628363,0.33201450641415603,0.3666989113230014
2200,0.2970556195480944,0.33166664521382194,0.3712777352380775
2300,0.2928541267282869,0.3312786228031075,0.3758672504686005
2400,0.2886814481930266,0.3308517992837888,0.38046675252318035
2500,0.2845372855501238,0.3303868282629443,0.38507588618692834
2600,0.280421367073153,0.3298843174203336,0.3896943155065098
2700,0.2763336660167511,0.329344392520915,0.39432194146232996
2800,0.2722741391446566,0.32876722039155476,0.39895864046378443
2900,0.2682427027354531,0.3281530560820825,0.4036042411824601
3000,0.2642392667733117,0.32750217504055634,0.40825855818612783
3100,0.2602637080710188,0.32681492676752166,0.4129213651614555
3200,0.25631598827898916,0.32609149940715565,0.41759251231385114
3300,0.2523960905667535,0.3253320461763409,0.42227186325690147
3400,0.24850396971309766,0.3245367848506264,0.42695924543627173
3500,0.24463966895699246,0.3237057648150689,0.4316545662279342
3600,0.24080314194683716,0.3228392226709963,0.4363576353821617
3700,0.23699443056706765,0.32193722734039887,0.4410683420925283
3800,0.23321353597682062,0.3209999378306931,0.4457865261924808
3900,0.2294604518998229,0.32002753689899355,0.4505120112011778
4000,0.2257352082237362,0.3190201435474323,0.45524464822882565
4100,0.2220378024674847,0.31797794992622086,0.45998424760628853
4200,0.21836826282062086,0.31690109725183196,0.4647306399275413
4300,0.21472662036094928,0.31578973050250464,0.46948364913654034
4400,0.21111289169376737,0.3146440309486217,0.47424307735760535
4500,0.20752711307765132,0.3134641516035964,0.4790087353187468
4600,0.20396936010625555,0.31225018028355156,0.4837804596101876
4700,0.20043966401710023,0.31100229703734306,0.48855803894555155
4800,0.1969380785369895,0.30972064901912094,0.49334127244388454
4900,0.1934646786337879,0.30840536049218453,0.49812996087402256
5000,0.1900195274607886,0.3070565786668155,0.502923893872391
