milliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
0,1010.0000000000001,0.0,0.0,0.0,7000.0,0.0,12000.0,0.0,0.0,0.0,0.0,82000.0,0.0,0.0,0.0,135000.0,0.0
100,1009.911345452161,0.08723369675394177,0.001420851085532765,1.1980872643209333e-49,6999.508822022988,3.10779997233467e-06,11998.976356799178,7.269176994106504e-21,4.7807943383912846e-11,7.923173455822329e-38,3.269998413245481e-41,82001.1297021983,5.1261370636848955e-26,8.093070343714183e-10,1.1287980814489881e-13,135002.35437936182,8.645243072997111e-34
200,1009.8227369587488,0.1716415396651394,0.005621501589683403,6.571812963926652e-44,6999.0178844728125,2.4654439559353778e-05,11997.953253093465,1.0178164524157189e-18,7.594322531741787e-10,7.419889712356858e-34,8.136931966511656e-37,82002.25880899276,1.6572689834631297e-23,1.2856850598888687e-08,3.6571648149972644e-12,135004.7075178833,3.1096953951028535e-30
300,1009.7341732760297,0.2533153597041871,0.012511364307258934,9.112278787915264e-42,6998.5271693353625,8.251590595955174e-05,11996.930688596849,1.575768635781379e-17,3.8180140544708634e-09,6.046431516771005e-32,7.931236778664115e-35,82003.38732066865,3.534341083868819e-22,6.464182394308947e-08,2.726242761012666e-11,135007.0594162185,2.0968934831284847e-28
400,1009.6456532006808,0.33234400234499695,0.02200279710110213,7.101323219011563e-40,6998.036659191632,0.0001939720851588603,11995.908663022388,1.1296668377396357e-16,1.1984216749450226e-08,1.659924370983114e-30,2.5537471216942107e-33,82004.51523749283,3.2527980900182464e-21,2.029160007436652e-07,1.1354045744788525e-10,135009.41007502086,4.840729809628513e-27
500,1009.5571755684455,0.4088134270655186,0.03401100468245922,3.081373960197869e-38,6997.546337197831,0.00037572669552287855,11994.887176082251,5.268452045867545e-16,2.9057899667798213e-08,2.4606371129075494e-29,4.5710031099795347e-32,82005.64255971432,1.8831844807591614e-20,4.920414638651036e-07,3.438993714807088e-10,135011.75949494366,5.893470191862903e-26
600,1009.4687392528804,0.48280679980339664,0.04845394751513756,5.175582356042954e-37,6997.056187066914,0.0006439257748604322,11993.866227487752,1.8530346823711723e-15,5.984249585587093e-08,2.1416290146068603e-28,4.607614469637743e-31,82006.76928756488,7.954951378269675e-20,1.0133934949721124e-06,8.502286485822866e-10,135014.10767663972,4.3899280771144315e-25
700,1009.3803431641682,0.5544045807470948,0.0652522552902351,5.159987871780442e-36,6996.566193051047,0.0010141752379648672,11992.845816949392,5.350373261259124e-15,1.1011125346925728e-07,1.3254328239454253e-27,3.205360837943726e-30,82007.89542125963,2.6831645238443726e-19,1.8647947246104666e-06,1.8261102645332663e-09,135016.45462076133,2.4093367450557513e-24
800,1009.2919862478091,0.623684620920094,0.08432913143161729,4.16140263224222e-35,6996.0763399223,0.0015015602527201695,11991.825944176891,1.3412496740228659e-14,1.8656996939793605e-07,6.617653659226119e-27,1.787334355642163e-29,82009.02096099756,7.728826034919409e-19,3.159890422553832e-06,3.539122197870893e-09,135018.8003279605,1.0691567096581248e-23
900,1009.2036674835862,0.6907222386768116,0.10561027790935233,2.703462749518082e-34,6995.5866129573815,0.002120660493613353,11990.80660887922,3.013853917998946e-14,2.968276500132488e-07,2.7600800986096075e-26,8.291225793119184e-29,82010.14590696213,1.9681854793847043e-18,5.0276566004525674e-06,6.340463377465908e-09,135021.14479888874,3.987651966809757e-23
