miliseconds,Rec,Rec_i,IL13_Rec,p_IL13_Rec,p_IL13_Rec_i,JAK2,pJAK2,SHP1,STAT5,pSTAT5,SOCS3mRNA,DecoyR,IL13_DecoyR,SOCS3,CD274mRNA
0,1.3001504763121192,113.19346782325003,9.700978810613403e-05,-0.0004055405555764464,-4.100745911612674e-05,2.799886093423661,-3.061443606235345e-05,91.0,165.0065559128581,-0.0010824035244197693,-3.0627380517622365e-06,0.33999802416861086,-1.8309279490934307e-06,2.3449437490765927e-05,6.619042577222714e-07
100,1.3011793420135298,113.19198721719175,0.0009115820019597505,0.000511957878204587,0.00016957246047442963,2.79937342420015,0.0005693063177231283,91.0,165.0047196547367,-0.0012774380935778847,1.6788405877053452e-05,0.339996631328788,1.2803948876523472e-05,2.161205463222162e-05,-8.648261543612132e-08
200,1.3015805290820788,113.18927827122756,0.002010843848867393,-0.000316111382789306,3.8053069942174654e-05,2.7999645962980755,0.00041878296446273676,91.0,164.99723270528943,-0.0012471764679685983,1.0237684932516967e-05,0.3399761554554192,1.9337803682644548e-05,4.298978862486529e-05,-2.2404821501071468e-07
300,1.3027990999517536,113.18921513245185,0.0029053863532372713,4.031251143940781e-05,-9.33124078635044e-05,2.7997822399985175,0.0002950187265396962,91.0,165.0023974144723,-0.0006629299068737066,1.0092672181388271e-05,0.33996766035344683,2.5374639624052435e-05,1.4491601691681512e-05,6.055280189259517e-07
400,1.3038327832489658,113.18616576181702,0.0038856408258928386,0.0004112303512081836,2.485436822012348e-05,2.8000379756187423,0.00021878955037505501,91.0,165.00405977724947,-0.004784943838379232,-1.68858617031771e-06,0.3399687448332499,4.498699951262781e-05,-6.602592075140865e-06,-5.73106634281712e-07
500,1.3047907094343916,113.18471045567567,0.00471184112276795,0.0009241820536833346,-1.4144568618850805e-05,2.799829883850302,0.0008816590406916711,91.0,165.00265012988996,-0.005601621312005801,-1.3661768790353595e-05,0.33995509479183106,4.198593881655301e-05,-2.6433165924591198e-05,-1.7568790004600478e-07
600,1.305068246014857,113.18209159101156,0.005442239187307107,0.0011448203192995238,4.4795792042049115e-06,2.7993985803932473,0.00022527194644475046,91.0,164.99911450084036,-0.000776904388780784,1.831899884012152e-05,0.33994819507990237,6.266247920420902e-05,-3.556119090588296e-05,3.636944916611759e-07
700,1.3055962803997139,113.17993170396016,0.005866962027294423,0.0012907131791118525,0.0001347565450362006,2.7991759983393627,0.0009075839107657495,91.0,165.00038513511376,-0.003302770960513373,2.7475866733084e-06,0.33993455153313873,7.030278204972693e-05,2.7257060597335773e-07,-4.469364373332872e-07
800,1.3065647357714079,113.17913089669355,0.0061302456929375965,0.0015615489507894147,-4.9907955167528766e-05,2.7981035341076628,0.0017294800508328625,91.0,165.0040357197629,0.006325233846568405,1.0128846063869443e-05,0.3399204711776918,8.327437682346222e-05,-2.0391521411842656e-05,6.305016047334143e-07
900,1.3076442131554074,113.17713666724255,0.0061947458599493415,0.002967277131850955,0.00023865174545890634,2.7978771352727327,0.00235541974985545,91.0,164.99009175031534,-0.001083612503968379,1.7641861353172472e-05,0.33991215534122254,8.092061029285825e-05,1.1244483497571467e-05,-3.09084794125346e-07
1000,1.3084270481378963,113.174860236464,0.005903070632049847,0.00363515085425861,8.281277405880775e-05,2.7983499686673303,0.0017556490171944912,91.0,164.99851202496188,-0.000951180689451948,1.5105356655801948e-05,0.33991044880201177,9.126834104150714e-05,-1.651934300322532e-05,8.74811273870286e-08
