milliseconds,L,U,V
0,20827.15762633729,975871.9388217999,3880648.6077193846
100,29753.51510923763,1021093.9480872764,-5600014.6278602015
200,14129.111527642348,971302.659738697,1582952.089093041
300,40603.44117739283,1016201.572901057,1787682.0662067286
400,-337.1382052892841,984739.232926456,-3615161.007597638
500,5168.117178856171,995034.0951734134,2241359.7075602817
600,21926.6492732549,1012295.8340813192,-124925.20672651696
700,54167.62604315199,980939.8935721058,238842.44927748706
800,-24474.98495189703,1020735.7726910694,1212480.2046983084
900,-13605.668699584938,1020678.5475514937,-3193304.3460562057
1000,48186.50896142166,1003990.3568733612,2844927.47682273
1100,29385.812180353314,972548.7646453815,-290209.10263546417
1200,-14438.876194051023,958237.7039853277,3142573.983948319
1300,72227.19500819742,948805.7716678432,11532757.141395733
1400,114754.33983182209,941140.8358601887,30069371.63909538
1500,254713.03591865263,769633.6352950943,70198876.14166193
1600,557196.4330689654,411460.713971052,116962002.60261145
1700,879275.6865676829,100985.51525360596,163774470.11410674
1800,994018.440417921,17341.732404876442,174829596.15860003
1900,967665.6054481993,-39597.1912440462,171439179.11655208
2000,1006592.3636146359,-21548.25629516496,176973575.19696894
2100,978466.3059611612,17925.469888370113,174806444.0092628
2200,982622.7837919318,19850.80072531467,165349044.74915355
2300,1019358.4594634802,-24835.387751500388,159322356.83397582
2400,996375.0170587777,-12416.770403919782,163095011.79902524
2500,1005137.1426196906,10478.21896875398,166353981.70911565
2600,972146.0768547389,-6045.558487772823,163432798.2564251
2700,999330.554937088,29197.766052405183,155921525.02098787
2800,1040735.850940756,-30605.608208581263,162185122.54472747
2900,965905.4795723385,-41527.701349933384,152648699.74829286
3000,988384.8008434445,12687.96004583585,159592487.2144418
3100,996057.1591831079,-14826.241746088344,158731322.21139538
3200,999913.5786880873,-27221.32752459113,156326180.13712463
3300,972367.7550665291,337.468208237554,155884136.75494137
3400,986365.9517372368,21883.49480858745,144990705.14532104
3500,1027402.8665623539,-44631.231258958636,145425092.0681569
3600,962886.4304883336,-7590.031654567127,151930000.4656503
3700,970087.8224394508,-10000.01602399135,138577180.31251913
3800,1002059.6393648506,37222.96687879041,147168931.42397517
3900,979848.4489325996,10310.282070669264,142423040.49856386
4000,1026934.8098040995,26272.633421886403,138009609.52771077
4100,1017401.5166339604,-21687.271185894333,138303691.20731276
4200,1015438.2091801761,-21197.38468354455,132598045.40066989
4300,956414.2705957423,42975.40132130179,133575874.84344557
4400,1027389.0171802641,2818.5117862541906,128268571.81053557
4500,1033457.361712929,-25423.906506176172,134683506.53778186
4600,995435.6422207435,-40841.637317703244,126729762.5257703
4700,1001257.2940529375,-4075.9661397029427,133920433.17209873
4800,1029167.5956868049,26517.168422390783,127228006.95899914
4900,1030003.2742101318,-7761.856622535897,128290289.49474712
5000,1020991.6997418683,-29910.00597650952,131478500.44757976
