milliseconds,L,U,V
0,-12900.119558473321,1004546.7636902366,-1749817.562511924
100,43691.101808690495,955529.9375506401,6331709.588727447
200,33017.27418937892,988341.171579731,-5232632.397161319
300,22531.38508519937,948462.3416918727,-1239937.6458598434
400,12697.213255733062,1020586.2387185575,-3528320.1844673045
500,40474.79497196508,1013455.4090913283,-3538678.512326347
600,-20908.17031369848,975371.6701762902,-4329207.779421026
700,-9187.505555205247,986775.4637860003,-5521735.600600499
800,52490.943891866395,1022104.1278395564,2803653.8733878597
900,12143.023641243426,1014311.8420935873,-5623927.460820612
1000,29105.540805682525,980769.623494685,-5868755.695750075
1100,22.211136226740564,992342.7558405383,6042641.87376648
1200,-1276.6742759079643,969459.7031034781,7946343.662130682
1300,66544.88088373674,954380.5196945003,9207772.556214428
1400,69332.61744986643,894470.2057472612,24789910.476818416
1500,230415.10909830243,731756.7164823115,70443171.6212353
1600,608549.9267077388,436778.5119715598,121382610.5519632
1700,898616.3200140294,97013.03473092771,156677667.42353162
1800,963137.2744632749,-7824.175193025192,172419340.65938422
1900,1030521.875685682,-33150.75665649535,176118262.16958976
2000,1018984.7460589871,-34975.144123441794,165794938.91922274
2100,1008369.3759717628,7964.111147757706,170734455.63196903
2200,1015386.2100970085,-15775.06248237798,172546506.64106864
2300,957699.9426406792,-41657.52433865759,169977506.20798856
2400,1017081.658557995,37959.25455683989,164594746.57639688
2500,1004962.3559004037,7239.857534176872,161568474.59029558
2600,978041.183013134,-20996.28254599436,165106365.20768884
2700,1027739.6337154474,-13871.030474116918,157129047.9168049
2800,987952.4267453586,5962.593115210871,164217647.22913784
2900,990516.9690437074,-41532.71840242044,160270350.73790145
3000,1043180.6937557765,-3037.6748270725243,155589719.49134514
3100,1014609.1311002886,39419.08463547726,159210880.91005385
3200,1015220.8898635592,-121.78425925255581,145867396.42634553
3300,955145.9246855763,-8800.11920296784,155102032.84850812
3400,979020.3520486552,-27128.782155793542,149696500.73503128
3500,1031210.567001067,-33008.08394559641,152215553.96545243
3600,1000502.9080084016,-7934.792556781558,141324904.8239992
3700,967518.8335488032,42842.9610584729,143141004.79103935
3800,978088.1399060955,-20531.542082978507,145949630.37499622
3900,985276.8524834671,30292.055900032516,135053375.19741562
4000,1026555.8543649326,44969.079235660574,139712733.95756996
4100,999587.4568714903,-11850.64604795867,139433955.79515937
4200,985021.7660419843,-11953.341317781511,133634753.66203207
4300,984253.9018613083,-37439.36181540525,140648140.14698526
4400,1044494.8882829453,25522.24438471971,129648125.8667997
4500,1032426.0688242564,-37779.87427537405,136676715.62524432
4600,1035848.4540612061,-33519.9243762332,135160278.63558596
4700,1035509.9486343424,-32039.16446347038,134337897.53887308
4800,992120.3585763156,-2507.7063095506664,130699979.75454685
4900,996099.4272875632,28465.762122942808,125142357.55406645
5000,976345.3328494969,-35023.42694044107,123876292.69832563
