milliseconds,L,U,V
0,23879.94852640344,971050.4428997284,1525695.3207895372
100,-1998.9092775946265,984883.2172916892,-1513651.2850431688
200,50012.494729924845,956689.7596181914,-1234158.5456896257
300,-19811.947026488873,949181.7257509388,-6566468.366934834
400,4659.637470958917,1013572.8926951437,114972.85872732452
500,48639.268471738396,1034587.499558712,-5692159.717575965
600,46491.346451415084,967957.6583418488,4760823.734442225
700,17695.651885300285,1009777.9787799713,-4621267.995899572
800,-21128.262101994915,970383.6767222462,5107080.173288558
900,-19859.25708593181,1032807.9545403498,-5247422.709302897
1000,-11028.852516617808,971215.2574608868,-3838813.54591408
1100,-10524.856106067598,971107.02420596,-3767773.168560109
1200,31298.38681295326,971906.3276820568,8631867.771266103
1300,45743.54469122768,1002502.9009714881,7515576.8914241325
1400,64919.85305750862,903053.2004447024,24132968.750883684
1500,292293.18715537974,724793.3126955719,66459464.132907465
1600,573935.3071996415,398067.9574918471,125178227.0118097
1700,878175.3926578568,120371.06658960081,156423328.91995192
1800,999205.9714273317,35954.01171024664,168210415.56397292
1900,1032108.8350621765,36201.84755173736,177928615.0526421
2000,1011903.4051700354,21727.105162996722,176656125.81847718
2100,1040150.7037772435,39076.584122976965,169644187.1028221
2200,996900.8409158103,-38626.75876974171,162642992.56426513
2300,971570.4061741804,-26199.663947552042,166115129.36877546
2400,1038142.9318071137,-29350.451413435196,160866257.3802586
2500,960126.6486572486,-22707.51153778876,163762528.66561967
2600,960827.7940561204,-11584.008471418552,167188225.55879033
2700,986482.4977168817,-5350.816881393169,162260018.65237296
2800,957317.0725792536,-9738.96502303913,161820037.853601
2900,995429.4353957303,-34065.25999045503,158858987.5977376
3000,1033792.7329693086,-1014.1141209358832,157513139.6575135
3100,1004949.2402590815,-910.4197586007449,147115812.39256454
3200,961156.9534267553,11945.155956100314,156080971.1111085
3300,1042083.8923549253,1847.3332815256938,151840772.7884197
3400,982882.4925460491,21766.10975127076,150857406.06854817
3500,1027824.0529670212,-28028.39084799762,146751190.94707984
3600,982764.8933334536,4571.764931776429,143812905.64998832
3700,1017321.278628099,-34871.70632467409,148190220.35273084
3800,965502.5395975556,-21973.06286756393,147854423.9545229
3900,998351.1447177368,-34904.47908495153,145240026.9260941
4000,1031384.4334615222,-41877.20847226023,143230321.9557393
4100,1024905.0310904043,19501.71293101964,139359192.4872228
4200,965279.5125620143,33689.34777955106,130619631.57120807
4300,1023985.970527729,-43103.996617855555,139023432.7646028
4400,1035840.6046155286,17604.435322932495,138118218.51431695
4500,1002065.2406437488,-36767.53441622743,127996247.22027476
4600,962666.9673724312,-44447.20599227517,126087633.47170906
4700,1035486.2874245283,-31951.214821103156,129642433.49932647
4800,997578.8313270076,-28245.352209887827,134320676.25792181
4900,964359.1268498132,9429.793099053832,123030830.20874678
5000,965784.265671544,15810.969561806154,127197339.04193105
