milliseconds,L,U,V
0,-15180.174164248063,956674.7541069116,-6170248.743335407
100,-986.860273448754,960902.6082680018,-594240.2479425924
200,45885.84387246745,1013668.5263709322,2536437.6272941865
300,14875.006093213458,1003678.9902910567,3633956.91910104
400,12688.84563631815,1031017.6650500752,-6316645.4166896595
500,20713.975890368587,979143.4208948652,-6729627.0919314595
600,24662.194286248756,963723.4977821208,-4222592.076010597
700,-11557.670966776917,1008870.5723703225,3821360.0721809817
800,8994.319443922299,1018897.2749841141,2640745.8529041633
900,-17991.875556240986,955109.187702267,3412686.3569105794
1000,15043.31040622978,1005132.8696362163,2112867.46130933
1100,21455.94420278684,963781.5444738113,-2151681.6504268358
1200,30044.273850106743,940406.8414166525,2735765.4964242373
1300,48235.41155586248,999538.1415920923,13122172.802779127
1400,88553.21085680366,868454.8940439776,31518090.124456525
1500,279533.5845063794,722534.6873190554,68719765.9593017
1600,614046.6291003571,444507.7610853691,126450627.94821984
1700,879300.5336209412,137763.1392491604,159482268.42121053
1800,932425.6392104422,37076.16882625272,175054760.29256776
1900,987274.9921963984,8318.442772927587,176766186.5075393
2000,962711.1592549838,22446.248895230816,171511825.08541074
2100,996797.819594611,-5257.733837948642,162355409.06915727
2200,1038213.0459426518,30723.64778210104,161812387.7131286
2300,1031207.4917931656,5516.806337244214,160501156.19714564
2400,968432.2784736244,39771.87611242465,159662319.51783127
2500,1039208.8000936271,40063.08869370891,163275441.86790848
2600,1007466.7388512588,-12237.383690274854,157542701.27996153
2700,987325.3073946264,-23987.193831367887,155354754.35402486
2800,1035087.8876378711,47.95374185482884,157221030.38759828
2900,957873.190107253,20654.033230722176,150179375.851582
3000,994124.8892497256,24596.009312354265,160167003.7316386
3100,1001367.1294293565,5851.117052520237,155147773.45702267
3200,1018728.525847361,18832.422954749884,156809960.1892206
3300,995581.050390829,8403.71731806866,153654843.4340041
3400,1027148.0276625444,21698.411494783857,153683103.00397205
3500,1001291.7478158689,-12178.703846014208,146312014.15919617
3600,1011252.7714673359,-5319.835143676238,144572427.81179786
3700,1019312.5075905981,-31661.19154054057,138668386.05727518
3800,974970.3521497179,25371.889614683583,138627119.26892164
3900,1007724.0415443747,22242.59633255685,147083338.28341195
4000,1036357.7913483251,42044.74249695047,137282837.7871938
4100,1013024.7418016067,24120.95529338233,142376953.44514006
4200,971391.6249656387,-35146.39750680113,138173384.781793
4300,961018.4956831819,2771.5925072263562,132548799.65421095
4400,1006135.3221483072,-44527.904136992875,137207310.69605812
4500,982743.6196771829,23909.650856796943,134292552.1173608
4600,971707.1822946541,-18083.824027942446,134683423.41674724
4700,980865.2805204612,6796.586908486705,127408377.11129071
4800,960789.5559642325,-1495.1648903988364,132507636.62684195
4900,1007911.5313426121,9617.25041550576,127159020.68761523
5000,956919.5711584406,32049.64688642845,124944696.13265018
