milliseconds,L,U,V
0,-14989.315892804698,966894.6273838792,-737846.5593183158
100,43071.67631470844,969321.678165408,-5523408.683331739
200,40010.81829819706,985245.1195740015,-284132.4551038194
300,-6616.455892193135,955052.8150291728,-3940829.556381975
400,-31373.210471682753,945015.9983013892,4224054.132979677
500,5910.5947413453905,971835.0147789592,6700120.3705407465
600,16114.001345306926,966051.8232916216,-5883375.403164679
700,-9915.248614656786,954046.6257045429,6327933.582209539
800,14708.538760454783,975909.514854833,4699415.1326721795
900,48482.513297168814,1015611.1655206134,-4248200.605422573
1000,-17759.372671793295,1002168.6609261129,5093607.513169136
1100,43504.62413380934,1007475.9711246082,-610737.093709359
1200,11795.006905956652,996426.2882945741,5621038.274079794
1300,47079.024149494944,940655.04110602,11213293.882611623
1400,94383.30571538204,901485.1988314571,21927835.927140214
1500,295166.7468563713,766960.0146170289,67626347.18161853
1600,531077.987967249,444683.4532128036,127296421.6097241
1700,879233.3621359986,98643.01153659465,161167801.69382495
1800,950798.0461217894,31093.079995710912,168838656.97103065
1900,973209.7651671233,-27263.0233744099,166028982.70039403
2000,971437.6898712507,17622.341865206592,174875870.03951776
2100,967982.043887402,-16799.29786020975,166424055.09857985
2200,1019853.2926071017,9222.361990132149,167564357.33053574
2300,1012231.1023042309,-9646.09344359362,170110291.8248165
2400,1024104.239021318,29982.00435078232,165613163.5081552
2500,960210.194627831,-19131.047607850105,165858622.78454506
2600,1014533.9395698083,26977.921566176396,165019085.5220744
2700,960209.5554866354,19797.309267998833,162872607.9799078
2800,992486.1951059062,-32229.82585191846,160731148.03802916
2900,996498.6257985514,-40271.83216511853,159940651.01436353
3000,979973.153033561,-24600.352936811043,152852570.68348235
3100,1040694.9195708313,39518.02805162575,149893683.79646477
3200,961360.0137281064,33124.409670771114,154329278.1622366
3300,961824.898807211,-21870.34990167612,154046007.79805395
3400,959456.3900077727,-28097.512275201672,143195768.0954052
3500,956637.610655748,-34330.430656228564,147169270.48096344
3600,1042464.2333691781,25590.317675738996,151331709.7741212
3700,1008648.0370869004,-18441.76770332659,145658128.24434638
3800,997874.2874827454,-17658.59358273343,137376034.17271757
3900,1005813.575083602,-39210.45897082547,142385017.8374618
4000,965688.1039578962,32760.81712238551,141256033.95707706
4100,986451.5600147994,-4570.303387923937,136616692.2541603
4200,980477.513754193,7833.421176542627,141591763.19001648
4300,960757.3612840144,-18152.487105403397,136532997.78563845
4400,1012294.657051284,21286.31761489212,135175692.65958562
4500,1029188.4697210031,44446.44142800205,135172874.95424107
4600,1039337.9555026217,-16007.809846130409,136497933.218798
4700,1034083.8162788168,-23400.124244848117,133453679.19721101
4800,1041430.6349112829,19757.69459927379,127082200.76684907
4900,1002498.1580481696,41036.56114236304,127748095.48420817
5000,1000556.5181163984,955.4760791117825,122900089.8037734
