milliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.09648e-11,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.0521677474343552e-11,9.956889568390552e-11,4.1908476939835625e-15,2.0535327465784313e-13,2.0535327465784313e-13,4.1908476939835625e-15,4.1156574276450056e-18,8.437590053847997e-18,2.216783881786299e-19,1.3812867903800562e-17,8.437590053847997e-18,4.115657427645007e-18,4.453145053926527e-23,1.6839942846897488e-22,1.683994284689749e-22,4.453145053926527e-23,4.606449648336307e-28,2.2491434308053413e-15,7.477918160020006e-15,7.796704718785364e-22,7.796704718785364e-22,4.419524252095464e-19,9.198472294860886e-20,2.2491434308053413e-15,9.198472294860884e-20,7.796704718785369e-22,7.7967047187853655e-22,4.419524252095464e-19,2.497671304308782e-28,2.497671304308782e-28,2.4976713043087816e-28,1.1802629141080083e-26,1.1802629141080083e-26,1.1802629141080083e-26,6.806874627833031e-24
200,1.0495150230324374e-11,9.955297039024886e-11,4.179418600977729e-15,2.080275348933995e-13,2.080275348933995e-13,4.179418600977729e-15,6.0732150671808705e-18,8.638894491299896e-18,1.994901943636615e-19,2.722574089072608e-17,8.638894491299893e-18,6.073215067180872e-18,7.293894353223706e-23,2.5030853287440075e-22,2.503085328744009e-22,7.293894353223706e-23,7.012292368535135e-28,3.51324477589852e-15,1.553002473094254e-14,2.2107596212874855e-21,2.2107596212874855e-21,1.2850438262882925e-18,1.4473767496680564e-19,3.5132447758985183e-15,1.447376749668057e-19,2.210759621287488e-21,2.210759621287488e-21,1.2850438262882939e-18,4.057535715877953e-28,4.057535715877953e-28,4.057535715877952e-28,3.329419181525368e-26,3.329419181525368e-26,3.329419181525368e-26,1.955831478831686e-23
300,1.0479835632183434e-11,9.954539382567234e-11,4.17298504234108e-15,2.0795516264046444e-13,2.0795516264046444e-13,4.17298504234108e-15,6.578906476012682e-18,8.640536745368026e-18,1.955986811485719e-19,3.895358465212848e-17,8.640536745368023e-18,6.578906476012681e-18,9.795811119130912e-23,2.707717802205959e-22,2.7077178022059596e-22,9.795811119130917e-23,7.971708448757881e-28,3.842338942065722e-15,2.258966083656875e-14,5.263182228398105e-21,5.263182228398102e-21,3.1045778787784568e-18,1.580897795489429e-19,3.84233894206572e-15,1.5808977954894292e-19,5.263182228398076e-21,5.263182228398076e-21,3.1045778787784375e-18,5.075428530098221e-28,5.075428530098221e-28,5.075428530098221e-28,6.56354087218549e-26,6.56354087218549e-26,6.56354087218549e-26,3.890586216517769e-23
400,1.0465082914995016e-11,9.953823562727798e-11,4.166801816733778e-15,2.0774515289361228e-13,2.0774515289361228e-13,4.166801816733778e-15,7.011842891107889e-18,8.632173655559205e-18,1.9262403951179518e-19,5.059698930464033e-17,8.632173655559204e-18,7.011842891107886e-18,1.2280748525422736e-22,2.8815589200254787e-22,2.8815589200254797e-22,1.2280748525422748e-22,8.858642120542155e-28,4.124578625355771e-15,2.95995628957936e-14,8.396852062743164e-21,8.396852062743162e-21,4.973042802092122e-18,1.694674540163737e-19,4.124578625355771e-15,1.6946745401637372e-19,8.3968520627431e-21,8.3968520627431e-21,4.973042802092083e-18,6.066162409606289e-28,6.06616240960629e-28,6.066162409606289e-28,9.852031657534296e-26,9.852031657534296e-26,9.852031657534296e-26,5.858394945616044e-23
500,1.0450330197806597e-11,9.95310774288836e-11,4.1606185911264764e-15,2.0753514314676015e-13,2.0753514314676013e-13,4.1606185911264764e-15,7.444779306203097e-18,8.623810565750386e-18,1.896493978750185e-19,6.224039395715218e-17,8.623810565750384e-18,7.44477930620309e-18,1.4765685931714564e-22,3.0554000378449982e-22,3.055400037844999e-22,1.476568593171458e-22,9.74557579232643e-28,4.40681830864582e-15,3.6609464955018454e-14,1.1530521897088223e-20,1.1530521897088223e-20,6.8415077254057874e-18,1.8084512848380455e-19,4.406818308645822e-15,1.8084512848380455e-19,1.1530521897088126e-20,1.1530521897088126e-20,6.841507725405729e-18,7.056896289114358e-28,7.056896289114358e-28,7.056896289114358e-28,1.3140522442883104e-25,1.3140522442883104e-25,1.3140522442883104e-25,7.82620367471432e-23
600,1.0435577480618179e-11,9.952391923048923e-11,4.154435365519175e-15,2.07325133399908e-13,2.0732513339990797e-13,4.154435365519175e-15,7.877715721298304e-18,8.615447475941567e-18,1.8667475623824178e-19,7.388379860966402e-17,8.615447475941565e-18,7.877715721298296e-18,1.7250623338006392e-22,3.2292411556645182e-22,3.2292411556645187e-22,1.7250623338006413e-22,1.0632509464110704e-27,4.689057991935869e-15,4.36193670142433e-14,1.466419173143328e-20,1.466419173143328e-20,8.709972648719452e-18,1.9222280295123537e-19,4.689057991935873e-15,1.9222280295123535e-19,1.4664191731433152e-20,1.4664191731433152e-20,8.709972648719375e-18,8.047630168622427e-28,8.047630168622427e-28,8.047630168622427e-28,1.642901322823191e-25,1.642901322823191e-25,1.642901322823191e-25,9.794012403812595e-23
700,1.0425206998666839e-11,9.951891244334485e-11,4.150101704778094e-15,2.0715436030014037e-13,2.0715436030014035e-13,4.150101704778094e-15,8.063660437224794e-18,8.604566324459109e-18,1.8603887157501493e-19,8.235109935522291e-17,8.604566324459107e-18,8.063660437224782e-18,1.950041610234728e-22,3.29984102631949e-22,3.2998410263194915e-22,1.9500416102347298e-22,1.1237119514832437e-27,4.810650094443172e-15,4.871773450821031e-14,2.02031766603353e-20,2.02031766603353e-20,1.2025430191678894e-17,1.968810446029331e-19,4.810650094443178e-15,1.9688104460293306e-19,2.0203176660335155e-20,2.0203176660335155e-20,1.2025430191678796e-17,9.173233197488503e-28,9.17323319748851e-28,9.173233197488503e-28,2.1374405018544385e-25,2.1374405018544385e-25,2.1374405018544385e-25,1.275764886262956e-22
800,1.0417956219302994e-11,9.951543724062721e-11,4.147084744758615e-15,2.0701151967382795e-13,2.0701151967382795e-13,4.147084744758614e-15,8.073772364334633e-18,8.591892571006713e-18,1.8706794230262795e-19,8.855733946833722e-17,8.591892571006712e-18,8.073772364334618e-18,2.158280996903822e-22,3.2969437046763065e-22,3.296943704676309e-22,2.158280996903824e-22,1.1640744067631293e-27,4.817877575626166e-15,5.245528520282761e-14,2.7454499544246195e-20,2.7454499544246195e-20,1.6370998254812634e-17,1.967557384057236e-19,4.817877575626173e-15,1.967557384057236e-19,2.7454499544246075e-20,2.7454499544246075e-20,1.6370998254812548e-17,1.0394849245159508e-27,1.0394849245159515e-27,1.0394849245159508e-27,2.7499340597074863e-25,2.7499340597074863e-25,2.7499340597074863e-25,1.6430212655793008e-22
900,1.0410705439939149e-11,9.951196203790957e-11,4.1440677847391354e-15,2.0686867904751555e-13,2.0686867904751553e-13,4.144067784739135e-15,8.083884291444473e-18,8.579218817554316e-18,1.8809701303024097e-19,9.476357958145154e-17,8.579218817554316e-18,8.083884291444456e-18,2.366520383572918e-22,3.2940463830331225e-22,3.294046383033126e-22,2.366520383572919e-22,1.204436862043015e-27,4.82510505680916e-15,5.619283589744491e-14,3.4705822428157115e-20,3.4705822428157115e-20,2.0716566317946386e-17,1.9663043220851407e-19,4.825105056809169e-15,1.9663043220851414e-19,3.470582242815702e-20,3.470582242815702e-20,2.0716566317946312e-17,1.1616465292830516e-27,1.1616465292830523e-27,1.1616465292830516e-27,3.362427617560536e-25,3.362427617560536e-25,3.362427617560536e-25,2.0102776448956457e-22
