milliseconds,CArt,CGut,AGutlumen,CLung,CVen,CRest,CLiver,CMetabolized,CKidney,CTubules
0,1.8077347694653403e-06,5.548928504628883e-07,0.009453297640640108,1.199859119711561e-06,-6.727411365852333e-07,1.6294314472879795e-07,-2.2771049662717335e-06,6.176530508375012e-05,-8.920555248987853e-07,-8.948341180599956e-06
100,5.350720960051725e-05,0.0002053105155192379,0.007791696704737422,5.21757176807494e-05,5.4124910999367725e-05,1.1159029083959973e-05,0.00010970610800212171,0.00018412870849257996,3.7402628757127207e-05,1.0063356396656841e-05
200,6.989634821259759e-05,0.00020443984410557347,0.006991913231156628,7.05860359589671e-05,6.908506060558387e-05,3.6900569813191236e-05,0.00011380299778979104,0.00012396622937654582,4.886112305611867e-05,1.3587763767971452e-05
300,7.858329717343608e-05,0.0001993644073378148,0.006095515155423853,7.899632584109641e-05,8.205541850800807e-05,5.7503695718879535e-05,0.00011104000478575582,0.00024390900270700573,5.905118695757653e-05,1.5477592069605116e-05
400,8.629601659375517e-05,0.00019508529769075294,0.0049121983232866305,9.051829913656516e-05,8.969323191056216e-05,7.406037122258794e-05,0.00010999580588471671,0.0005149072912248444,6.57753988316031e-05,1.7725745567182774e-05
500,9.642733800230543e-05,0.0001817917076541648,0.004321505365219927,9.71363722040937e-05,9.471385577320611e-05,8.325020980332184e-05,0.0001031304184775463,0.0005465980710050699,6.857487790021398e-05,1.9449156278209343e-05
600,0.00010034158177253932,0.00017314650741439322,0.003742782336766681,0.00010278222779953381,0.00010034109458092857,9.541709193034231e-05,0.0001043301772379317,0.0006440150519544808,7.348568255987242e-05,3.883652461649837e-05
700,0.00010423573501365298,0.00016616717099266593,0.003200950482748236,0.00010632110093711683,0.00010361610755577527,0.00010633185960447883,0.0001008419645013452,0.0009161303311769864,7.616245673748484e-05,4.077318957577818e-05
800,0.00010775567771939037,0.00016549109810219155,0.0028679258553070356,0.00010878701593772801,0.00010848462188517781,0.0001114650517169003,9.614270870057627e-05,0.001075391263200511,7.783604409444728e-05,4.725636026353266e-05
900,0.00010903578838458258,0.000162274774309956,0.002378746012334369,0.00011076526826115942,0.00011085552665662676,0.00011846601136772694,9.446661328919762e-05,0.00118357084855939,8.11958756802522e-05,5.225224482226911e-05
1000,0.00011107878399975601,0.00015306730834984203,0.002152841938116557,0.00011078206396701824,0.00011294565099265148,0.0001257422460814149,9.071107501511735e-05,0.0011251159963910995,7.921671517430065e-05,5.3333446811725964e-05
1100,0.00011181315264903853,0.00014626224394234067,0.0015653731048910079,0.00011047021436589029,0.00011217319318289702,0.00012761857463872286,9.200537565061883e-05,0.0014100997296313616,8.23944542567147e-05,6.969328722259086e-05
1200,0.00011123771583340253,0.0001455119675566038,0.0014188967856846892,0.00010996465934606342,0.0001123917830561159,0.00013099346500372068,8.556603436042656e-05,0.0015150093710852798,8.201090099718018e-05,8.302864149921665e-05
