miliseconds,N,Na,Nan,MF,F,Bp,BN,A,K,B,MAx,Rasa,ERKa,Xa,MDusp,Dusp,Rast,ERKt,Xt,D,Kt,Fgf
0,0.5024103197576283,0.19574920384411418,-1.6510137896213714e-05,0.10003017073756806,0.0010546164756203983,0.10035893654823382,0.0021475048702930444,0.10053035209591553,3.0007236785830074,0.10210969636666914,0.09696414565536851,0.5036391670690983,0.19746934435076632,0.10091020882129914,0.1035159384303536,0.10005648309584791,2.0,2.0,2.0,2.0,3.0,1.0
100,0.44008745395786913,0.24868269986734295,0.0002607976932656518,0.09377022282908612,0.001805397877767892,0.002549495194613694,0.012567694457925393,0.0400228956593958,2.9477837759778787,0.16651813446053182,0.1561868896480348,0.6159961287188634,0.2040934357724677,0.10838601317954752,0.09920838929555999,0.09263071337733536,2.0,2.0,2.0,2.0,3.0,1.0
200,0.38322234096879465,0.29130853591568207,0.00034944888144477446,0.08858186677804963,0.002584236045730655,0.0007067201122207768,0.024243911517112318,0.017022061654422035,2.9292877683225087,0.15886092523192935,0.1735098252701497,0.7108576391119641,0.2616847602362536,0.09899182971188955,0.09383978866978607,0.0833221015666865,2.0,2.0,2.0,2.0,3.0,1.0
300,0.33615484866453704,0.32418852727587943,0.00042713664464557477,0.08136024135957427,0.0032766148695747,0.0002981463730839347,0.04015197959045125,0.0077537167646876785,2.9201826582363184,0.16242519124449534,0.2001496210926105,0.7843581124580008,0.3122430811720649,0.07358466775528003,0.09639998290245094,0.07720621450623165,2.0,2.0,2.0,2.0,3.0,1.0
400,0.29745935530962064,0.35855115369548585,0.00048205374730629635,0.07709002883235755,0.003892590981806413,0.0005460246099758326,0.04788501243996298,0.004936893428061436,2.916226796684885,0.16637997274814917,0.24337559926261773,0.8804444338343658,0.33932693307814477,0.09605392237191292,0.08965535172334324,0.0716001300888024,2.0,2.0,2.0,2.0,3.0,1.0
500,0.2620733401327203,0.382754814670554,0.0005792260968115323,0.07010684439899029,0.004356899641138971,-0.0003134631409672824,0.05563645768314975,0.0035505489579672972,2.9148337916642624,0.1805836527274127,0.261497058085633,0.9929206901733192,0.34618843850998515,0.08224885356142858,0.08883189803995063,0.06530205654196708,2.0,2.0,2.0,2.0,3.0,1.0
600,0.22881750687596705,0.40503378891673886,0.0006304501671630326,0.06683968249583447,0.00481673880120401,0.0009043143716450098,0.05813639518339664,0.003156463671215183,2.9146780342391323,0.18674544151095415,0.29657808267904745,1.0744520183818222,0.3886328042875527,0.10117989430965568,0.08670457741443609,0.06016926107069094,2.0,2.0,2.0,2.0,3.0,1.0
700,0.1996765790916334,0.43002399323425705,0.0006751188054422643,0.061610716239902004,0.005277563926808418,0.00044626307504813597,0.06772938640724988,0.0031441555006420136,2.9146512933996283,0.19057323878829863,0.31924648164626407,1.204743353260597,0.4697006259590722,0.06889666259466512,0.08874964338300473,0.054895757313182386,2.0,2.0,2.0,2.0,3.0,1.0
800,0.18006621288718097,0.4404576067006859,0.0007235039922269602,0.059026134834709976,0.005667766597580417,-5.8033034343089656e-05,0.07164027323508737,0.00177711207162898,2.9117468686721697,0.1940221389242528,0.3234360904600278,1.2715793772969222,0.5556411788050291,0.09900433218350115,0.08504866411235996,0.0496863587407433,2.0,2.0,2.0,2.0,3.0,1.0
900,0.16326886606731036,0.4618152031603246,0.000800182060714432,0.05348621897352193,0.005987135682519617,0.0008382964915651196,0.07253923428106851,0.00298535868547928,2.9111313047941865,0.20744606743794555,0.35796305183822463,1.3529596004655648,0.5733048508839546,0.08759793228499381,0.0852531381298829,0.04709494895461992,2.0,2.0,2.0,2.0,3.0,1.0
1000,0.14157807887794122,0.4730069629265934,0.0008532910415990534,0.05001638977432261,0.006292915394673169,0.00041118681132957136,0.0787694411257615,0.001941658436752588,2.9109166915313867,0.2176570528505344,0.3775348078961695,1.482642340711813,0.6380475113337387,0.08195183034185514,0.08106036076886793,0.04304912465019143,2.0,2.0,2.0,2.0,3.0,1.0
1100,0.12725727545428223,0.48991766410395077,0.0008906099805251985,0.04697086714433363,0.006502663998244506,-0.00015764271096559032,0.08297726312701642,0.002711020954736344,2.912342719177457,0.22011681175538184,0.3717879070163605,1.5638897236521918,0.7083251860059216,0.08937583264619406,0.08014050011032404,0.04056687665512254,2.0,2.0,2.0,2.0,3.0,1.0
1200,0.11931360086568676,0.49850687631309626,0.0009375705293203986,0.043501821437584166,0.0066598649361678764,4.5250421722244734e-05,0.0874800587438339,0.003081096138074428,2.910005423680648,0.22726313264812542,0.40411945515450276,1.6439711610273189,0.7937706634533286,0.09567742697988645,0.07845760518728795,0.03757447967211914,2.0,2.0,2.0,2.0,3.0,1.0
1300,0.09992617215152441,0.5084982473746127,0.0009824169341069726,0.0418145850948363,0.006805971079334628,0.0006237662606426576,0.0956460807936927,0.0029025297722089275,2.91008912269686,0.24128849938691097,0.42469581422342434,1.698229999522424,0.896450456341649,0.13090874783486162,0.08250838027712744,0.033004001438230776,2.0,2.0,2.0,2.0,3.0,1.0
1400,0.09992755316919039,0.5123197285346359,0.000998507246221549,0.03770285475527088,0.006994686158507787,0.001033005480105753,0.09435053082937686,0.0024954091716725877,2.9093179218293064,0.24560096954001756,0.4544197857855957,1.7750909739180256,0.9532824749548516,0.13321886839480196,0.07875911090396803,0.031388453283892725,2.0,2.0,2.0,2.0,3.0,1.0
1500,0.08546127125304513,0.527093188126715,0.001064001548390057,0.035181391336057036,0.007112780597010324,-0.00029650582123171845,0.10120045141883532,0.002228610262666474,2.907978481301756,0.261675818938901,0.46352172231501976,1.851856268210625,1.026803953495829,0.14492256504679676,0.08063489618523001,0.02832574344441026,2.0,2.0,2.0,2.0,3.0,1.0
1600,0.07978848559798778,0.5350175704642869,0.0010929881299331099,0.03348841782240464,0.0071497887603144605,0.000889701007933058,0.10828763664384042,0.002748106886334871,2.9079633445184627,0.2685650754011296,0.49681699600267676,1.9079139334585282,1.1050956197938582,0.1617803043424596,0.08612778667036494,0.02778580332187339,2.0,2.0,2.0,2.0,3.0,1.0
1700,0.0755444402720801,0.540855554372231,0.0011181310997127646,0.029812796762570808,0.007238344807536412,0.0005462662196238976,0.10904243178673902,0.003455160863660868,2.905610812385015,0.2775991438493788,0.5013602249269244,1.9208584975432914,1.2167536724369243,0.16364224704380048,0.08686725049021389,0.025011286442218405,2.0,2.0,2.0,2.0,3.0,1.0
1800,0.07507609531831565,0.5451581508529303,0.0011533384461645858,0.028329315799432386,0.007292761028332925,0.00040767703936856375,0.1122859672326266,0.0038130511729037534,2.90603121576292,0.2870423321629242,0.5472028666505089,1.9757782117834672,1.2813365048028833,0.20240201483447767,0.08247872721608278,0.024538013815857573,2.0,2.0,2.0,2.0,3.0,1.0
1900,0.07174891197251962,0.5438998747768158,0.001153365602763786,0.027863075416090802,0.007304211468420971,-0.00022757401814449564,0.12026057235223334,0.002943524520478688,2.903075279015587,0.2949695521404971,0.5668090386218173,1.989523037933299,1.3694644741700637,0.19205256128371384,0.082683188236919,0.02157065659691284,2.0,2.0,2.0,2.0,3.0,1.0
2000,0.05807342194025297,0.5563281948661631,0.0011789394354360429,0.023829370843024954,0.007303712668433842,0.0008774927131248254,0.12271719093640757,0.003669290180189887,2.902060938013635,0.29594582077044,0.5604945775814131,1.9729186696049807,1.509707342972713,0.23510509262264748,0.08767720728708232,0.021580713111039006,2.0,2.0,2.0,2.0,3.0,1.0
2100,0.062416120985263834,0.5563170059884821,0.0012270997006344755,0.02260235293686378,0.0073779813415780875,-0.0002409360174640263,0.12621695941380434,0.0033525717173505105,2.901500895714545,0.31108496406350267,0.5876365341654775,1.9727449266823835,1.5657324913890365,0.24161932000662503,0.09203873581051521,0.021137400539310985,2.0,2.0,2.0,2.0,3.0,1.0
2200,0.05814430164217395,0.5629514007537134,0.0012214158906504228,0.022259543678625534,0.007313168684072559,0.0006057447043750187,0.1275903085393126,0.003760171640118378,2.901305527947905,0.31377731096077127,0.6233152625649082,1.9832341074800186,1.6805096307942609,0.26111212951493834,0.08729354483942622,0.019340798212235288,2.0,2.0,2.0,2.0,3.0,1.0
2300,0.04978939274047179,0.561802848865072,0.0012456233606262337,0.019380667447081622,0.007259570638581736,3.52664591875646e-05,0.13031826914318206,0.0036435403402031025,2.898577401920396,0.32128599772850047,0.6456167760538738,1.9874610780747615,1.732416723394885,0.29675411247001293,0.10254227479403845,0.019412305540480606,2.0,2.0,2.0,2.0,3.0,1.0
