milliseconds,N,Na,Nan,MF,F,Bp,BN,A,K,B,MAx,Rasa,ERKa,Xa,MDusp,Dusp,Rast,ERKt,Xt,D,Kt,Fgf
0,0.49505696348957257,0.20505138086144978,-1.4892991497499732e-06,0.09902929644596922,0.0010147636009208726,0.09931822954560157,0.0028259828548786647,0.09937843098335744,2.9988356831875738,0.10536787526843898,0.09236260743131645,0.5155342180861229,0.20850844011299527,0.09246140195580278,0.09723911654281571,0.1004669092415867,2.0,2.0,2.0,2.0,3.0,1.0
100,0.4339925623544915,0.2506707639269982,0.0002618931171193435,0.09226814689136549,0.0018915509597053916,0.0014161068732888376,0.01440524773689497,0.03967503302835087,2.947378232229785,0.16319595186455776,0.1284925176355457,0.5815227830150773,0.2302364336036064,0.11108190490299956,0.0979551050147177,0.09182781400754232,2.0,2.0,2.0,2.0,3.0,1.0
200,0.3835650306903767,0.2919422372274656,0.0003746294072187956,0.08680692224925694,0.00253937299150673,-0.00035822518482607815,0.02556991766940871,0.01737842405710187,2.927517676523952,0.16429896283000742,0.16874211011708362,0.6879495046239622,0.2293645941688607,0.08394419298028351,0.10009179932059427,0.08368382045611926,2.0,2.0,2.0,2.0,3.0,1.0
300,0.33592451811383106,0.3207507243103221,0.0004408478835188745,0.0826192724960331,0.003213386631152354,-1.8021859215609966e-05,0.035031354648777484,0.007615780257151386,2.9197051039283477,0.1695563069765859,0.21367286381021328,0.7850590382206004,0.31667214207279887,0.08245550026168874,0.09360147248493203,0.07742127240877653,2.0,2.0,2.0,2.0,3.0,1.0
400,0.2981582199308687,0.3528944481733969,0.0005169771253508004,0.07599199212558523,0.0038210613678151656,0.00033457111398347205,0.04581948678402984,0.0049261855349049324,2.917137469923098,0.17115011960144616,0.23388945291112506,0.9061351556311694,0.31252479101513575,0.09415206204911933,0.09304602819889855,0.07040142893929029,2.0,2.0,2.0,2.0,3.0,1.0
500,0.2563324252271868,0.3866624939205675,0.0005756167586059877,0.07089584791189169,0.004430293980876459,-0.00018797496014939715,0.05013824301329696,0.002596562500775742,2.914209327246678,0.17351441903678688,0.25430352818631485,1.0092888593838194,0.3952243563349531,0.09121842011114153,0.09769439656583534,0.06526178572896141,2.0,2.0,2.0,2.0,3.0,1.0
600,0.23242084852214603,0.40882426579996806,0.0006299791808850057,0.06787960435616704,0.0048613375776094345,0.0006400062793012248,0.060619270507450765,0.0024552454592920844,2.914702762104893,0.17868891195059727,0.29498517168941485,1.0910365502569563,0.441855779104411,0.08764899899777885,0.09576889216034365,0.059218041280063215,2.0,2.0,2.0,2.0,3.0,1.0
700,0.1980595067445638,0.42438437065218665,0.00067104894668449,0.06261318078750393,0.0052123524028516895,-0.0003878726551524211,0.06748345457545499,0.0030210756931222317,2.9131519421184553,0.18682841369233347,0.29852380649362276,1.1806964703635323,0.4484007951481804,0.07075855308715036,0.0835700639505624,0.05526218124160012,2.0,2.0,2.0,2.0,3.0,1.0
800,0.18305731654573026,0.44216353395422375,0.000726227896051956,0.057286290574728255,0.005714440157868874,0.0005319891512558005,0.07033050024577304,0.002841786768531355,2.912093903538839,0.2005232834020261,0.3158255986319353,1.2699763820082806,0.550317651352535,0.08673643829859838,0.08249476864694383,0.051325595676428824,2.0,2.0,2.0,2.0,3.0,1.0
900,0.15992896949627552,0.4645170926148899,0.0007787951670190853,0.05514948294882437,0.005920065999584585,-0.0003580838706247694,0.07428353231590867,0.0019039676002142948,2.9112641732766735,0.20482591184875412,0.34781558992546463,1.383511798182895,0.5529630552706033,0.0806346563865433,0.08673783900706564,0.04739841958548814,2.0,2.0,2.0,2.0,3.0,1.0
