miliseconds,N,Na,Nan,MF,F,Bp,BN,A,K,B,MAx,Rasa,ERKa,Xa,MDusp,Dusp,Rast,ERKt,Xt,D,Kt,Fgf
0,0.5054617320089361,0.19512627622609638,1.3381195815499713e-05,0.09920402364911507,0.0010325462926848706,0.10012896376485825,0.0041127102101067275,0.09954536240456605,2.999940060213006,0.09982728059512475,0.11550344556594355,0.5078096623052761,0.21290602894001215,0.08286913824904264,0.10177845384696903,0.10021142305554577,2.0,2.0,2.0,2.0,3.0,1.0
100,0.43435804101946457,0.24288285318824934,0.0002709446126384011,0.09475406599530159,0.0018738134601468226,0.0014537850565955375,0.016577649860738477,0.04063143999835758,2.9492406803657496,0.16710262869979312,0.1526105496964015,0.6131720151386411,0.19504703797784534,0.07941437995073904,0.10171561766287641,0.09138390984651601,2.0,2.0,2.0,2.0,3.0,1.0
200,0.3778808573087665,0.2855533602747497,0.0003633088646645574,0.08739257934701974,0.002590380772247691,0.00034599835131392454,0.025853159760374216,0.016085270825164106,2.9274219346544452,0.16998675281715442,0.18724529113683416,0.6892442919474433,0.24842931385324385,0.09318814799796218,0.09201606093837625,0.08447502885578162,2.0,2.0,2.0,2.0,3.0,1.0
300,0.3403496101927526,0.3271936407851618,0.00043481266324015564,0.0819099953770014,0.003306363473403873,0.0008352547317242065,0.040036734573730436,0.007282297261747797,2.9203539193937935,0.16675168974254947,0.21487634846521156,0.8113812152088996,0.2972470061804362,0.0835634952287662,0.09095139742158759,0.07745862644290737,2.0,2.0,2.0,2.0,3.0,1.0
400,0.2970899300247141,0.36039684655276594,0.0005156247822016669,0.07715728124896755,0.0037755776775522313,-0.00020388675412108255,0.044319042759286185,0.004806666859538116,2.917226940746658,0.16900516737125923,0.2317352408138285,0.9176363642951612,0.3258348304919805,0.07417686331329133,0.09698824817215497,0.07060691560619245,2.0,2.0,2.0,2.0,3.0,1.0
500,0.25664947270728483,0.3810403726945915,0.0005502716172415279,0.07204255637393103,0.004332992586070928,0.000906477861832693,0.05351688283215767,0.0029767109461266146,2.9153831565439177,0.17530270417023147,0.2542581936317715,0.9786994258921045,0.3673398428992411,0.07692797018907287,0.09029680078238786,0.06590872033859572,2.0,2.0,2.0,2.0,3.0,1.0
600,0.22812064127488363,0.40783166961807976,0.0006125351565470749,0.06534481836969198,0.0047912020060626994,0.0009155947196478542,0.060106722146137416,0.0031315554410763875,2.9129112140213365,0.18255682767296894,0.29123661570506804,1.1087133897048933,0.4324169620000394,0.08987429072366465,0.08646068995089279,0.05952480021666377,2.0,2.0,2.0,2.0,3.0,1.0
700,0.2019610829690498,0.4224253640938412,0.0007051258164706187,0.06203583221246112,0.005310968192809608,0.00019309337137245598,0.06543727646405893,0.0029766469315156015,2.914209177891752,0.19155838918420987,0.30064599512256496,1.2073223958287593,0.47635189397259736,0.09933167498369119,0.09216547365922619,0.05554400674579265,2.0,2.0,2.0,2.0,3.0,1.0
800,0.1733041159323963,0.44573168046436407,0.000740361041400972,0.0574774929095012,0.005686245151346836,0.000371067236229785,0.070346499142494,0.002739357484144101,2.9120535457247403,0.19387950878665686,0.3276894753617729,1.2609601683424623,0.528142603268682,0.07953644752923432,0.08915759684994358,0.050662667764951784,2.0,2.0,2.0,2.0,3.0,1.0
900,0.16012198102691708,0.45844577672010456,0.0007981010765471174,0.05368285343195953,0.00599163354244776,-2.9200545546921445e-05,0.07297098767664868,0.0024149851617855577,2.9112131991818133,0.2110259123701214,0.34103306414554546,1.3784097853456407,0.5797294427546136,0.07733989436980598,0.08762446177367093,0.04657570955010175,2.0,2.0,2.0,2.0,3.0,1.0
