milliseconds,R1,P1,P1_prime,R2,P2,P2_prime,P3_prime,P4_prime
0,0.01006664858130529,0.10042379340039255,0.09664124180073123,0.09901642572101721,1.005878373631919,0.9955526014185921,0.08530250925214858,0.09934690941852295
100,0.009833459820202672,0.09890450032978321,0.1405781310352159,0.09802823806647593,0.9874344871247324,1.0333349879703513,0.13653859498975948,0.09532591000238384
200,0.009573368950505385,0.09568212261980966,0.1694022739325771,0.09587940732408869,0.9741144198998402,1.0865682510816415,0.1452794025090339,0.09267576916418678
300,0.009322635634939505,0.09444378557835638,0.1924786943964078,0.09357557781669258,0.9532244819058862,1.109248406301289,0.1656214903695769,0.08901330766810302
400,0.009011849845204273,0.09276493843467637,0.21948725606048541,0.09168490865676321,0.9329776073025499,1.1470164412690247,0.2065925631073632,0.08588472514223011
500,0.008948897546534518,0.0923447716362539,0.23943901564500103,0.08885610340671474,0.9185594279086803,1.184758073214051,0.24624981568294174,0.08228995281110398
600,0.008773559802237383,0.0902279880309896,0.2589158147610315,0.08708270476113936,0.8971105099115414,1.2154751658896736,0.2878588682911988,0.07886910151123425
700,0.008523560353656475,0.08762538857846174,0.28034198955232953,0.08506937407708429,0.8767428849944923,1.2403927824405383,0.2962274913988802,0.07604901710571862
800,0.008225009652043995,0.08705940484766805,0.29291027855132823,0.08199697257786577,0.8717507827931916,1.2755567926411888,0.35303981625191727,0.07480526368799188
900,0.008072458641060756,0.08580971814938633,0.31505970985656134,0.08131122322267192,0.8502277619436724,1.2981176523864504,0.3572614854237278,0.07115298408249669
1000,0.007902946348498942,0.08285769919375956,0.32391844759154503,0.07933001038625195,0.8452963517567402,1.3267052253214564,0.41541248263120883,0.0690866071151897
1100,0.007800906899137751,0.0816443024593255,0.3408711977966829,0.07682578343003552,0.8196807726149536,1.347941319625124,0.42281169926048784,0.06709031337205132
1200,0.007615939779155841,0.07992530239591376,0.35197600480795055,0.07463708542686813,0.7998739433930485,1.3761737329564843,0.46651024747291114,0.06525314066605435
1300,0.007318793352216647,0.07973520149476807,0.3628916697833571,0.07454833139590823,0.7961345043585238,1.3881170208455622,0.4963416111378942,0.06222071844713202
1400,0.007287916840048721,0.07774252626477506,0.3743703834691926,0.0714919288842894,0.7815451504771883,1.4241405982773894,0.5333295567372516,0.059837952410106685
1500,0.007127194921330575,0.07732116774212279,0.3810178691758377,0.0701448906547159,0.7669581785997069,1.442124934203903,0.5463040019264912,0.05697828083587704
1600,0.006894583837072308,0.07549839287835781,0.3882134320706717,0.06902553915211139,0.7536703138749384,1.4587603521246497,0.566205103431132,0.055033136493317675
1700,0.006756919865156465,0.07357864958389485,0.3997361263035759,0.06770847601708685,0.7432211144489749,1.4650523736590684,0.5917839177545566,0.05386889534902123
1800,0.006516050086469938,0.07307613478293105,0.40770703532833424,0.06622529507379182,0.7295054617155351,1.4778198300247043,0.6300535962352004,0.05157895306492066
1900,0.006479430599900839,0.07146076031352976,0.4189261461943346,0.06451664490800073,0.7055874683820716,1.4977230446715066,0.6528463723053891,0.048808878861300836
2000,0.006339046571396054,0.06963633681321295,0.4216927773034372,0.06292336058977167,0.6939241112972176,1.5244951017134354,0.6693241949805316,0.04690782406540372
2100,0.0061651859608904055,0.068913271617573,0.42448773572043674,0.06004244532406261,0.6911920979307976,1.5288609160500146,0.7160435146686219,0.04577537514839511
2200,0.005973921433482846,0.06725950271283453,0.43763067363732194,0.05922417301253768,0.6667332206931136,1.5367416247579975,0.732276202628726,0.04409232939304593
2300,0.005755286472281379,0.0655238032455224,0.4400546177466641,0.05819317955396572,0.6620428273728868,1.5539304508308993,0.7621731521190245,0.04203804942544744
2400,0.005698427532711143,0.06497814228444082,0.44434723480852956,0.056830924580860004,0.6497789330942876,1.5678381196406728,0.7601495011626289,0.042254798558375085
2500,0.005494164532678354,0.06435408259018584,0.44526254973540563,0.05561577629102612,0.63609537874791,1.5796827685280508,0.7790184433630687,0.03866854676517243
2600,0.0053350513922556225,0.06192509388210732,0.4497044339243135,0.053809197880915115,0.6195599863396274,1.5917861620016114,0.8164892611700291,0.03836717754944681
2700,0.005311480025699853,0.06095199895481898,0.45505185846414953,0.053595056402273175,0.6117163636484884,1.5869096094682185,0.8299352675521268,0.03768164037089256
2800,0.0052648718000587805,0.060888677714674155,0.4606709749808676,0.05199209534893703,0.6082626401349984,1.5926555043965143,0.8537910533308777,0.03584213174132241
2900,0.005109452033815501,0.06001722888031126,0.4559735144910344,0.05033328163697264,0.59433744989648,1.601562126869983,0.8758349086695705,0.03472162335299229
3000,0.004839817965207243,0.05824045867820993,0.46186647622746696,0.05020108195324229,0.5852584979766701,1.614014058183179,0.8944017565013314,0.033858064897283484
3100,0.00485018774258077,0.057665390117190074,0.461709148790196,0.04841476378674519,0.5774941696140856,1.6290523120806402,0.8843736080454536,0.032043659750759394
3200,0.004723736414771332,0.05591845484530744,0.45900838105334596,0.04714440652387174,0.5530089920868989,1.6330210253403912,0.9206525824341046,0.0303674010908134
3300,0.004602584267934783,0.05464309322565361,0.45580387638417835,0.04655801273240769,0.5516714521513892,1.6300219048286453,0.9220473555035553,0.029578839302687218
3400,0.004498471196739161,0.05483448155242125,0.45122643333368573,0.04574817249094666,0.5429906964018456,1.644794621819543,0.9301751407765023,0.028294128726273397
3500,0.004364182213330079,0.052479435265671816,0.4505408963628607,0.044739466318310626,0.5301707363923686,1.6439233227810717,0.9437974666877519,0.026704323814524904
3600,0.004215084426708231,0.05271208954353053,0.4531998488635943,0.042872843971353346,0.529005474209754,1.6576600362029565,0.9737565733158113,0.026089315464375838
3700,0.004187621815886061,0.051435212805087886,0.44680557968104767,0.041005564399864226,0.5058816343800798,1.6615065350758094,0.9928396562632823,0.02603396714469792
3800,0.004182552628443973,0.05087319971074846,0.4382209739659628,0.04091673296784124,0.49871163990488315,1.65283576248921,0.9928814534522746,0.0245879077550961
3900,0.004069291331471898,0.04886502637204242,0.43742736702749074,0.039936426648811585,0.49324309913131087,1.6616726141215585,1.0006371268243834,0.024272024733574774
4000,0.003833702514018534,0.04929327740120392,0.43207114336798996,0.03994130229709991,0.492072105907244,1.651678158678805,1.0184055187927603,0.023948139197882683
4100,0.0039039912934974554,0.04689942784180102,0.43047755814409944,0.03784824052188916,0.4682835664376402,1.6618937588533413,1.0221724979471023,0.021969622816340288
4200,0.003746911322428935,0.04671503787408934,0.42341647687251643,0.03766128342224787,0.4605633075672381,1.670346535902015,1.05800606160586,0.021075543447292535
4300,0.003668886347784186,0.045014770010004694,0.41109251233936567,0.035455161541754814,0.4660318949518278,1.6745381324022228,1.0477729563751443,0.020512482340777436
4400,0.003510512741533543,0.04487639507578514,0.4065574036675847,0.03457681071399624,0.44244441226344844,1.6703406925705693,1.0499690373026547,0.02057587621420693
4500,0.0034873768491244404,0.04344573839749703,0.40280938001622024,0.03447759695875722,0.4343565629711288,1.6726847453297473,1.0843647455305943,0.01826977207556416
4600,0.0034136004343724626,0.04407283435446757,0.40037207856502455,0.034695102088950325,0.430574868915978,1.6783256813821485,1.0962488053746369,0.01967355653687094
4700,0.0032878649123442576,0.041650482179344764,0.39032077396832876,0.03284376136822125,0.4270885141434056,1.669742986145226,1.0989154606748353,0.01876835922499114
4800,0.00323561413688011,0.04169052831352244,0.3857165456268335,0.033126605814417176,0.41335599925567856,1.6743980814605222,1.106928670956978,0.017877782957099887
4900,0.0031471753760715392,0.04113908315471489,0.3743452761143699,0.03087096905960619,0.40317863830697676,1.6754038542699001,1.1245727999011481,0.01604037739146963
5000,0.0030439356482863727,0.04033334567381543,0.3684368135094533,0.030608269885980862,0.4014991429064482,1.6772520052285016,1.1274036526271785,0.01607957009517424
