milliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,0.0,0.0,1e-08,0.0,1e-10,9.4e-11,1e-09,0.0,1.6e-07,0.0,9e-08,0.0,2.1e-10,1.4e-06,7e-10,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0.0,2.5e-09,0.0,0.0,3.4e-06,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,9.998758751420758e-09,0.0,1.0124124857924207e-10,9.377636106687242e-11,9.976910379286975e-10,0.0,1.599999805115311e-07,0.0,9e-08,0.0,2.0996467421421368e-10,1.39999922719786e-06,6.986071364700714e-10,1.3915236381829975e-12,1.760396741917242e-16,1.7072727403558082e-16,9.91448138362482e-16,9.91448138362482e-16,1.9960203863799005e-08,3.9619623213023393e-11,9.684213015622275e-14,7.752267509210953e-14,5.945424551290936e-13,2.499978911779751e-09,2.108822024861355e-14,0.0,3.399997509825367e-06,4.7802453370362776e-14,1.7413114711395283e-15,3.497897904717851e-14,2.407378907065313e-12,0.0
200,0.0,0.0,9.99752252880096e-09,0.0,1.0247747119904053e-10,9.341780773151476e-11,9.953869943081773e-10,0.0,1.599999605581431e-07,0.0,9e-08,0.0,2.099290772904383e-10,1.3999974634625864e-06,6.972199741051969e-10,2.7762781298450615e-12,4.589472499516732e-16,5.114437986046839e-16,2.7750594412891327e-15,2.7750594412891327e-15,1.9920558024249135e-08,7.895499197530975e-11,2.671852351167134e-13,2.1684166254393545e-13,2.114940188867847e-12,2.4999579080554954e-09,4.2091944503897175e-14,0.0,3.399995020048529e-06,9.541535839842183e-14,7.513666701355757e-15,6.99522636042439e-14,4.809450252655227e-12,0.0
300,0.0,0.0,9.99629282683469e-09,0.0,1.0370717316531204e-10,9.292797661502785e-11,9.930877389409085e-10,0.0,1.599999400033537e-07,0.0,9e-08,0.0,2.0989321065063648e-10,1.3999943731761597e-06,6.958384862214271e-10,4.154293867413282e-12,8.400738777439004e-16,1.0293982185134737e-15,5.347286915803653e-15,5.347286915803653e-15,1.988106169009262e-08,1.18008559084449e-10,5.092307141521912e-13,4.165476942181073e-13,4.8950262693609864e-12,2.4999370147278456e-09,6.298527215380953e-14,0.0,3.3999925306835156e-06,1.4278000256855867e-13,2.0213198504798794e-14,1.0491981402770336e-13,7.206224190640229e-12,0.0
400,0.0,0.0,9.995071095249066e-09,0.0,1.0492890475093469e-10,9.231101577057206e-11,9.907931477799362e-10,0.0,1.5999991871433517e-07,0.0,9e-08,0.0,2.0985707571177427e-10,1.3999896304991142e-06,6.94462646444159e-10,5.5256013368041894e-12,1.3154714959129832e-15,1.7271446120284231e-15,8.704598912644392e-15,8.704598912644392e-15,1.984170947449841e-08,1.5678849331251952e-10,8.209101088007215e-13,6.749144739533235e-13,9.258723731703609e-12,2.4999162569299213e-09,8.374307007797666e-14,0.0,3.3999900398603445e-06,1.8983940565940222e-13,4.332327870718011e-14,1.3988159081765588e-13,9.597710642222227e-12,0.0
500,0.0,0.0,9.993858563640732e-09,0.0,1.0614143635926929e-10,9.157359285180164e-11,9.885030370891944e-10,0.0,1.5999989657600516e-07,0.0,9e-08,0.0,2.0982067796574198e-10,1.3999829574985486e-06,6.93092343270391e-10,6.890333987725044e-12,1.882032387861944e-15,2.60225928655386e-15,1.2831596608966154e-14,1.2831596608966154e-14,1.9802483961711636e-08,1.9532017604748012e-10,1.198586078687478e-12,9.88918092554708e-13,1.5483699263895444e-11,2.4998956560357714e-09,1.0434396422804919e-13,0.0,3.3999875417176725e-06,2.365450630390779e-13,8.0580509414538e-14,1.748376443057302e-13,1.1983999835602932e-11,0.0
600,0.0,0.0,9.992657038839508e-09,0.0,1.0734296116049153e-10,9.072218753738781e-11,9.862172891568553e-10,0.0,1.5999987341150326e-07,0.0,9e-08,0.0,2.0978401807194877e-10,1.3999739474268129e-06,6.917275650352961e-10,8.248504550841895e-12,2.539122312540587e-15,3.654791502471215e-15,1.7727305939417252e-14,1.7727305939417252e-14,1.9763373384727827e-08,2.3362092169662595e-10,1.6389314860116737e-12,1.3557648842314349e-12,2.397287701293437e-11,2.4998752433979138e-09,1.2475660208578943e-13,0.0,3.3999850315577717e-06,2.828258901209092e-13,1.3857693638639588e-13,2.0978789476084258e-13,1.4365079402356847e-11,0.0
700,0.0,0.0,9.991463884037759e-09,0.0,1.0853611596224205e-10,8.978813233674107e-11,9.839347403667263e-10,0.0,1.599998494635025e-07,0.0,9e-08,0.0,2.0974716528038128e-10,1.3999631567475825e-06,6.903668530525303e-10,9.601845681352603e-12,3.2628151470531136e-15,4.837901941595215e-15,2.3188812428818268e-14,2.3188812428818268e-14,1.972434286635569e-08,2.717576431148288e-10,2.124734220899226e-12,1.7609478918766509e-12,3.418842792218677e-11,2.4998549739889377e-09,1.4502601106148794e-13,0.0,3.3999825106868285e-06,3.287834450643017e-13,2.1306252804482129e-13,2.4473386017694384e-13,1.674232147011204e-11,0.0
800,0.0,0.0,9.990284583455084e-09,0.0,1.09715416544917e-10,8.874639315017531e-11,9.816566301511875e-10,0.0,1.5999982419579667e-07,0.0,9e-08,0.0,2.097100398406194e-10,1.399949394114467e-06,6.890118944505179e-10,1.0948354662557699e-11,4.080559955950646e-15,6.2057852821655505e-15,2.945116728819285e-14,2.945116728819285e-14,1.9685391760414345e-08,3.0970667769290384e-10,2.669876997487073e-12,2.216223384462156e-12,4.729468188653994e-11,2.499834942173238e-09,1.6505782676103767e-13,0.0,3.3999799607135433e-06,3.742043587326956e-13,3.200357851532928e-13,2.7967365718526314e-13,1.911410908643313e-11,0.0
900,0.0,0.0,9.989118217628387e-09,0.0,1.1088178237161389e-10,8.760606743962216e-11,9.79382611322381e-10,0.0,1.5999979768939014e-07,0.0,9e-08,0.0,2.0967266310816517e-10,1.399932854297621e-06,6.876622393747669e-10,1.228856540013965e-11,4.9850146953375055e-15,7.74395296838505e-15,3.6451744213122165e-14,3.6451744213122165e-14,1.9646513517057794e-08,3.4748321903636953e-10,3.269410430280234e-12,2.717395132779268e-12,6.310197650414598e-11,2.4998151322195024e-09,1.8486778049721567e-13,0.0,3.3999773837192558e-06,4.191241389088955e-13,4.583726038994185e-13,3.146077572053263e-13,2.14808663130684e-11,0.0
1000,0.0,0.0,9.987968034322243e-09,0.0,1.1203196567775865e-10,8.636923706740125e-11,9.771129369546541e-10,0.0,1.5999976959605517e-07,0.0,9e-08,0.0,2.096350154039294e-10,1.3999128146446376e-06,6.863183107744502e-10,1.3621975494882489e-11,5.982981097142409e-15,9.46585959364733e-15,4.4249632662765476e-14,4.4249632662765476e-14,1.960768478163417e-08,3.851119873821957e-10,3.9225099653983096e-12,3.2637477972415623e-12,8.231896010956487e-11,2.499795600319136e-09,2.043996808635357e-13,0.0,3.399974765355261e-06,4.634155141835169e-13,6.429232118991598e-13,3.495355819632081e-13,2.3842163362335003e-11,0.0
1100,0.0,0.0,9.986833989114843e-09,0.0,1.1316601088515963e-10,8.503972082823764e-11,9.748475326940997e-10,0.0,1.599997399047565e-07,0.0,9e-08,0.0,2.0959710233625688e-10,1.3998892806893542e-06,6.849799918069465e-10,1.494872372456922e-11,7.0725403908363885e-15,1.1367708319561189e-14,5.282854964532041e-14,5.282854964532041e-14,1.9568898107859695e-08,4.2260416480818396e-10,4.6271077821966325e-12,3.853551821876029e-12,1.0493972024217054e-10,2.4997763457750637e-09,2.236542249361233e-13,0.0,3.3999721037016204e-06,5.070800163104835e-13,8.757458974316749e-13,3.844572381746293e-13,2.6198106934538823e-11,0.0
1200,0.0,0.0,9.985718184786827e-09,0.0,1.1428181521317503e-10,8.362576571584698e-11,9.725864352676698e-10,0.0,1.5999970836170247e-07,0.0,9e-08,0.0,2.0955892073826634e-10,1.3998617767457936e-06,6.836473571595415e-10,1.62687213479395e-11,8.254822400411644e-15,1.3451731745517714e-14,6.219900289002582e-14,6.219900289002582e-14,1.9530124448844602e-08,4.5999641503210466e-10,5.378941694340999e-12,4.483225000497711e-12,1.3142985342946806e-10,2.499757405096878e-09,2.425949031212839e-13,0.0,3.3999693856733474e-06,5.500348679851209e-13,1.1705107546660387e-12,4.1937252861687677e-13,2.8548599559420778e-11,0.0
1300,0.0,0.0,9.984621108662955e-09,0.0,1.1537889133704611e-10,8.213209510262803e-11,9.70329659939404e-10,0.0,1.5999967488345233e-07,0.0,9e-08,0.0,2.095204725880227e-10,1.3998301887586052e-06,6.823203684511673e-10,1.758201404795226e-11,9.529163425453587e-15,1.5716619885512362e-14,7.235565551828361e-14,7.235565551828361e-14,1.9491348380166853e-08,4.973087612114648e-10,6.1755119911640266e-12,5.150657769706857e-12,1.6189925503918638e-10,2.4997387867989025e-09,2.612132010968076e-13,0.0,3.399966605055391e-06,5.922607333400173e-13,1.533443035821822e-12,4.542814488400371e-13,3.089366753451391e-11,0.0
1400,0.0,0.0,9.983544028174366e-09,0.0,1.1645597182563416e-10,8.056627747143833e-11,9.680772350837198e-10,0.0,1.5999963929428925e-07,0.0,9e-08,0.0,2.0948175848192435e-10,1.3997942264894645e-06,6.809990192552429e-10,1.888860953409767e-11,1.0895389489702448e-14,1.816203036127205e-14,8.329766151833264e-14,8.329766151833264e-14,1.9452544364183254e-08,5.345739494192888e-10,7.012853028270972e-12,5.852509163991692e-12,1.9663039925687342e-10,2.499720512936029e-09,2.7948706397069923e-13,0.0,3.3999637510210013e-06,6.337075787126071e-13,1.9756063225840193e-12,4.891839180810688e-13,3.323329726942724e-11,0.0
1500,0.0,0.0,9.982487996002613e-09,0.0,1.1751200399738702e-10,7.89382757083518e-11,9.65829315093888e-10,0.0,1.599996013847839e-07,0.0,9e-08,0.0,2.0944278086067528e-10,1.3997536417173507e-06,6.796832656198261e-10,2.018856015475788e-11,1.2352698048665384e-14,2.0786387026828626e-14,9.501898632289526e-14,9.501898632289526e-14,1.9413673251085903e-08,5.718406961648682e-10,7.885718623442339e-12,6.584348642212643e-12,2.3585952201751655e-10,2.4997026018955906e-09,2.973981044090643e-13,0.0,3.3999608070168944e-06,6.743336508321537e-13,2.513214426958999e-12,5.240798741292892e-13,3.556750683308716e-11,0.0
1600,0.0,0.0,9.981453984053307e-09,0.0,1.1854601594669296e-10,7.72560190016726e-11,9.635859973552593e-10,0.0,1.5999956098349202e-07,0.0,9e-08,0.0,2.0940354130616632e-10,1.3997082077396359e-06,6.783730802950469e-10,2.148189838135699e-11,1.3900575294774983e-14,2.35886805963295e-14,1.0751589896870668e-13,1.0751589896870668e-13,1.9374705087701753e-08,6.091465515571274e-10,8.78993913509423e-12,7.342657160703061e-12,2.7980417169068254e-10,2.4996850706300563e-09,3.1492936994326896e-13,0.0,3.39995776037e-06,7.141004683600561e-13,3.158812082900153e-12,5.589692578672034e-13,3.7896302774148025e-11,0.0
