milliseconds,A_dopa,C_dopa,C_OMD
0,100.92186908283297,0.06788498851885481,-0.19376103037832634
100,82.81691357937046,8.010554255090227,0.23543938960078736
200,66.47455181553252,12.9079245927824,0.49218821774559196
300,53.84098258572892,15.139495019256087,1.1734229031167596
400,44.978679573167256,17.04732181671909,1.6294805683285667
500,35.72154760586617,17.655790383463785,2.4869202295737054
600,27.02100852782343,17.03793518464403,3.0530793811184673
700,24.395943552263404,17.29178915668745,4.134120685661808
800,19.74380007122728,16.255319297352486,4.606178057069486
900,17.183707304599405,14.692895003798121,5.346875602571322
1000,13.128899559205163,14.03201300574378,5.6781078515522045
1100,9.214392334933926,12.402478513835867,6.575476423722664
1200,7.3513622414589435,11.772618015348664,7.046688282255104
1300,5.5554490242257275,10.331351658251975,7.320036752776621
1400,5.371942662291307,9.453822083699597,7.8451311203368155
1500,3.9194767255484657,8.226727281048166,7.825256202765778
1600,2.0107308767408885,7.031113605267822,8.124411021055172
1700,0.7672521437813793,6.942013123374848,8.321228217958314
1800,0.361574708380731,5.928789052833283,8.74393309835823
1900,3.265086940815278,4.707724174123304,8.75829247690367
2000,1.7423545079101297,4.427237449146462,9.023184762777692
2100,2.171108338729931,4.055688420286518,8.849670905187592
2200,2.355508750433575,2.9386015077419967,9.014676642674234
2300,2.908310917761332,2.8407704885059686,8.976616860822375
2400,-0.566841245586957,2.0403071270814848,8.984513502084111
2500,1.4634749519667138,2.277666187832727,9.393016847355371
2600,0.7869466248123989,1.634232014779248,9.171359961490158
2700,0.04330415311793956,1.9766859319850045,9.144457596756157
2800,2.065248690248058,0.928943619845359,9.268212312877644
2900,1.6217643891988005,0.9211807925547082,9.04983283523833
3000,-0.47644932531005857,1.257957070732691,9.514421633544963
3100,-1.7305938252251076,0.4983878244507565,9.541444455991401
3200,2.2612720264411132,0.6421202664436212,9.01313756996965
3300,1.954274868116718,0.17823781521772575,9.021241931751234
3400,2.0541289584907516,0.8420285335090052,9.1425823568035
3500,1.711633869374793,0.7578516351926718,9.022689876510146
3600,-1.1068714575174834,0.25959722484733194,9.297269590263651
3700,0.41272159301089817,0.023155569817596255,9.130273261487638
3800,-0.18038815455562693,0.8206403506768254,8.804990546172439
3900,-0.4431948049006908,0.023280275611777562,9.232328420016962
4000,1.5036326181445376,-0.30212553633772665,9.058575474404511
4100,2.077716065832583,-0.32328454643039006,8.696804837874415
4200,-1.23703303678139,-0.30441776015789684,8.967310081876674
4300,-0.9213378116565066,-0.035807469732239,9.083827372493138
4400,-0.8444603930421525,0.50894088177431,8.97631189564635
4500,0.041048090022629546,-0.35322485211905225,8.678835088592145
4600,-0.8438574017886911,0.0773121491059541,8.679929804882228
4700,-1.2934125723519962,-0.46003441958830693,8.417205754931755
4800,-0.6413621479037842,0.48701968847256993,8.690791517573077
4900,0.29744081401090167,-0.12914883478658631,8.25471209434632
5000,0.5927809821303945,-0.22406134159691382,8.196747019216188
