milliseconds,NatP,MisP,Hsp70,Hsp90,Hsp70_dam,Hsp90_dam,Hsp90_Proteasome,Hsp70_Proteasome,Hsp70Client,Hsp90Client,Hsp70_Hsp70Client,Hsp90_Hsp90Client,Akt,Akt_Hsp90,CHIP,Akt_CHIP_Hsp90,Akt_Proteasome,Hsf1,Hsf1_Hsp90,Hsp90_MisP,Hsp70_MisP,Hsf1_Hsf1_Hsf1,Hsf1_Hsf1_Hsf1_P,Hsf1_Hsf1,HSEHsp70,HSEHsp90,HSEHsp70_Hsf1_Hsf1_Hsf1,HSEHsp70_Hsf1_Hsf1_Hsf1_P,HSEHsp90_Hsf1_Hsf1_Hsf1,HSEHsp90_Hsf1_Hsf1_Hsf1_P,Jnk,Jnk_P,Ppx,Mkp1,Mkp1_P,Mkp1_Proteasome,Hsp70_Ppx,Pkc,p38,p38_P,Proteasome,MisP_Proteasome,AggP,SeqAggP,AggP_Proteasome,ROS,p38Death,JNKDeath,PIDeath,CellDeath
0,17600.001635835077,0.027351835452247095,1400.19904409257,1849.6359529809993,1.6898014814040646e-05,-1.0825415740491231e-05,-0.0008223443526453311,6.92096725343053e-05,490.21068080887943,589.5019225986116,9.856143929643236,9.989681579453517,339.97095467941244,29.987846612615293,254.99999511802267,80.00004130019822,-0.00022743250637044358,5.024314236643327,94.97420192471516,470.01690812973163,409.99159292805723,-3.3238083375121633e-09,3.3241608064994456e-09,7.215935005793744e-08,1.999999995510228,1.9999999987653763,4.87909176384826e-10,5.74059963353619e-09,-9.054658271762136e-10,3.7088077130150033e-10,99.95234424491085,-0.042164193258710056,-0.001939017037713041,-0.00019483298399757397,99.99952100204099,-2.8483763306331274e-09,99.99287961267625,100.0,99.94622521033924,0.030430227507242502,499.9953616371578,0.0037597350562805416,8.743249677897337e-11,1.3915040399128333e-18,-4.222485444373713e-13,10.000040353624428,-7.499902101804926e-08,-6.184437083316432e-08,3.4925971107146255e-20,-1.4437578226648443e-07
100,17600.00151068205,-0.004632590931482911,1394.9605128076128,1832.4631082325666,4.651692228020544e-06,3.2532742125611106e-05,0.0009348695507195076,0.0003914930257741746,483.362658775457,576.7358091966029,16.54349201322613,23.227280743550867,338.5437879919354,31.506854514403507,255.00005644370046,79.99997264755804,0.0003583967160856383,1.3897206091186431,98.55145345712617,469.9704913157074,410.00312706234007,1.5039014078973846e-08,2.403150019207771e-09,1.4222066542897429e-05,1.999999991575372,1.999999998631183,3.6682213186868275e-10,-6.54194643985064e-09,-1.381735781961437e-10,6.193444292432348e-09,98.48020952120179,1.6222316160936332,1.7590638319192209,0.033406771211221875,99.96603411483373,-9.128882420430781e-09,98.25479522226406,100.0,98.43740894511953,1.607368324870503,499.9921702025538,0.0038980431703195487,4.2191470900903686e-11,-1.6222287950952403e-18,7.711388039683706e-13,10.000045220409238,7.712037203415386e-08,1.3796169035101784e-08,2.0905856664480896e-20,-3.1929245123605244e-08
200,17600.00236639278,0.0897831712840299,1391.2369750689907,1824.4324815473458,3.750918234367304e-05,5.1501682523694084e-05,0.0030184070427950126,0.0017276747176474805,479.4109466276577,569.8330102510974,20.96652879950437,30.09174158816922,337.92748284084684,32.05338297179062,255.00023440713716,79.99986492064468,0.00034471561178036074,1.3490888537057293,98.59969502461087,469.9537554840874,409.9609629057757,3.294732416322152e-08,1.1451454651268334e-08,1.55241155596023e-05,2.0000000026213716,2.0000000067223556,2.2408594764843073e-13,-3.2048432551246164e-09,1.0278317481589992e-09,-6.554386356282027e-10,97.49385242197971,2.4260235062573625,1.7882935483016407,0.03615355338301302,99.96438797041296,3.5847325462841015e-09,98.24877893544935,100.0,97.52157428264329,2.464511782074445,499.99401562888505,0.010304502235375415,1.6445517310066648e-10,-1.8244714513821637e-18,-7.836040415063233e-13,9.999998528838232,1.0951609730039032e-07,3.248927257128722e-08,2.2109078831960166e-20,1.855426384884193e-07
300,17600.003677279397,0.1488220767589246,1388.9180973189475,1819.0913541510424,4.128487548341332e-05,8.08776872134691e-05,0.003301054703625246,0.0028241140321120482,477.12361387676117,565.007418528346,22.809292125707607,34.929722291901804,337.6878734124994,32.268146864630225,255.00027471267887,79.99979253767668,0.0004914197626962359,1.377840755456262,98.61927211616393,469.90275657913287,409.95010823404743,4.5347398172152356e-08,1.538594253021661e-08,1.750203203363443e-05,2.000000001061604,2.000000000827541,2.7429062476669247e-09,-6.5158966083157695e-09,-4.682070753647289e-10,-3.145810043710411e-09,96.95791695731178,3.0042030171791385,1.7536248323188233,0.03629751646186534,99.96419609826724,4.7206647244460495e-08,98.20788321652546,100.0,96.9683071111545,3.001806377524331,499.973831282723,0.008374826504295923,-1.7578353770696007e-10,1.4143392282529595e-18,-1.2753843914504877e-13,10.000049535632773,6.118920253376404e-08,6.432244683764908e-08,-2.9739478502300402e-21,2.7290211733119636e-07
400,17600.00655509611,0.12501198858533852,1387.542525889899,1816.398907802203,3.711771152815701e-05,6.412510910384194e-05,0.0025808535284208055,0.002134476162458266,475.6455349305951,562.4060246519388,24.14802420053155,37.67570841385013,337.61759241710985,32.34283464153977,255.00023117661982,79.99961678675619,0.000736772987883803,1.3649785461671904,98.64942789283643,469.89681028878204,409.9392685580921,5.3496458969352994e-08,3.003019951847917e-08,1.870296912370807e-05,2.000000000705121,2.0000000065815215,2.432533335060519e-10,3.189872598790162e-09,-1.0586061135005179e-09,-2.7167168311990085e-09,96.57149317720744,3.3386160364667483,1.7486534655248482,0.03601466438827084,99.96352750654289,6.3238110470601e-08,98.21328109878253,100.0,96.59632081068003,3.3779931435259427,499.9694149448747,0.016562092941329883,-2.2901482137910182e-10,-1.6324724966745585e-18,3.912207322874924e-13,10.000101703600558,1.951809636182678e-07,1.091343896389522e-07,1.2057679417962797e-20,1.65018361694325e-07
500,17600.006283729916,0.2639638238989859,1386.5096592341408,1815.417876763622,6.975423056480246e-05,0.00010914469235498177,0.004226410391048264,0.003200482702848226,475.09258816382686,561.7741301387126,25.38745567215137,38.86354560802147,337.62923460087114,32.398456575645795,255.0002766792369,79.99971340452599,0.001366573115532934,1.3810652888038193,98.61998538317351,469.9046362778369,409.9128355896294,5.737593626117688e-08,4.920435575245738e-08,1.970827399439278e-05,1.999999998245481,2.000000004516918,2.2670596349160866e-09,3.1536670943621585e-09,7.333261896446477e-10,-4.330223380483358e-09,96.50037182460888,3.5810484734118373,1.7506850994665293,0.036266999268083286,99.96426895986333,5.7768341128383544e-08,98.20497437721725,100.0,96.46834715101262,3.602189312302529,499.97400421637286,0.023969689890145616,-1.628297960778912e-10,-1.6696908767351846e-18,-1.2298317316579652e-14,10.000111444476696,2.273218341028294e-07,2.2795095181021495e-07,-3.043984805556699e-20,2.8937864090292606e-07
600,17600.006324976403,0.29908743070773147,1386.0619827500955,1815.0415289904206,0.00010169896531414576,0.00011818825598258692,0.0053764760015969654,0.003970658240689087,474.35273419851467,560.5950810574312,25.58753681485008,39.4402368383824,337.6304773263414,32.39057421335543,255.00055955640934,79.99959772719123,0.0011831856688348154,1.3855915322425814,98.63368697241829,469.8394007153358,409.90044444125414,7.26071762567162e-08,5.946914828993939e-08,1.953805279622415e-05,1.9999999947119766,1.999999985853236,1.3709705781818332e-09,5.638514906306317e-09,3.340464779111201e-10,3.931781200363044e-09,96.3151168326129,3.661182170016236,1.7480079845991785,0.03560437938188983,99.96440055286303,1.0288402917321968e-07,98.21937306465053,100.0,96.2655052338235,3.6188507539112957,499.96575558211566,0.024871218029238765,-4.294784788132676e-10,-3.5982972789588697e-19,6.169982001443521e-14,10.000191787712302,2.3490450965382705e-07,2.910322848262081e-07,2.70875118424027e-20,3.730104132045076e-07
700,17600.008543648913,0.34259185217479743,1385.8385330906076,1814.50134854424,8.997091572272835e-05,0.00012061770396953623,0.006677733179230374,0.005402890908146485,473.9518280139289,559.6919372797884,25.829783504802872,40.045775867694346,337.6462800845527,32.38394352263425,255.00042776786876,79.9993674877168,0.0018880030067556831,1.3583098266674274,98.68749575604998,469.80617339553004,409.87039313915716,7.819280664805504e-08,7.608508790106778e-08,2.1281081501138183e-05,1.9999999844875629,1.999999998180069,1.4210162145858122e-09,-3.1135417474335408e-09,1.886014202102474e-09,9.076724683998862e-10,96.19527419770527,3.7472274562295467,1.7901273419738606,0.03617329633112129,99.9643187705616,9.951974563608356e-08,98.20766702976205,100.0,96.20708484981812,3.782943830418303,499.95669396684247,0.033163038775138605,-1.7914991135907668e-10,9.837089446326322e-19,-9.50786559268551e-13,10.000173703365908,3.338752422658354e-07,2.2719273386116916e-07,-3.648889514822567e-20,5.39521066972677e-07
800,17600.010084163285,0.36131385429417884,1385.8637701747027,1814.434467142174,0.00013038914344094355,0.00012137276247318202,0.006941633971059587,0.005979082778723902,473.8856673889878,560.2245809730142,25.927157923595207,39.88097307469082,337.61693999399745,32.36483389516161,255.00062717356292,79.9994940678996,0.001712194206320053,1.365781692799477,98.6150676164103,469.83565692396417,409.8375948626638,8.537696989195685e-08,7.631898188278309e-08,2.2032161457380447e-05,1.9999999872165508,1.9999999987303676,1.8802196201132033e-09,-2.131976977805308e-09,5.793823593029869e-09,5.157464393099986e-09,96.24085324260692,3.7436206653180504,1.7740543092797818,0.03612366837117378,99.96386770971264,1.4801362565339042e-07,98.24900284518952,100.0,96.21042527678588,3.76102187594123,499.9555649692464,0.031370491525351256,-4.689264263826286e-10,9.063581004380703e-19,-6.97748035765649e-13,10.000226874811197,4.365449673991968e-07,3.0356383335701706e-07,-2.298638327586668e-20,7.500051770962552e-07
900,17600.010297264515,0.3732616917579594,1385.9339627434958,1813.3625962056312,0.00013341020932343105,0.00016565747365572208,0.007109186304243087,0.00721654468872985,473.97741182339627,559.3942111774728,25.938111433118813,40.36401033407535,337.60333188903945,32.3452033858934,255.00078761751865,79.99935021284864,0.0018240130640405795,1.3387285271669243,98.59414699018461,469.7602774543804,409.79724830739593,9.111148190948343e-08,9.768636847863569e-08,2.258517540758264e-05,1.9999999884636988,1.9999999798472088,6.513779173352503e-09,8.745827615766397e-10,6.497054648891695e-09,1.071069199602184e-08,96.2430148572943,3.758132475550909,1.796024651494672,0.036571356228293,99.96426718601592,1.720706422321477e-07,98.25226078104096,100.0,96.22334869534788,3.852753540052974,499.9410367539682,0.03699526841903856,-6.39894965696732e-10,-2.0811770237439955e-18,-1.7359382279137657e-12,10.000242146955026,4.3970689003795455e-07,3.557511487316517e-07,2.6541348005533578e-20,6.898529555528798e-07
1000,17600.01076201939,0.3834331780092186,1385.6027801892762,1813.4618155814803,0.00012162189287759476,0.0001844681232935224,0.010330179660483373,0.007453867826876365,474.0774416781747,559.0878683859414,26.082121717592372,40.739555655901825,337.63394930363535,32.364218846625334,255.00078751631528,79.99923182876373,0.002579775901685128,1.3461098398848674,98.68598527504622,469.7398896412006,409.811427187846,8.894885285017474e-08,1.1286152276630207e-07,2.4083857793922535e-05,1.99999998072707,1.9999999769337566,4.4602725675572525e-09,1.145518911073795e-08,7.736159970455716e-09,4.6601475415753515e-09,96.13303805618132,3.878987270302167,1.748325096620047,0.036558895538266786,99.96425701311381,1.5731129657630755e-07,98.22547977926726,100.0,96.17152347481286,3.813117619689304,499.93646375726956,0.044466157256743355,-6.244089040939124e-10,3.926762683826264e-20,-1.959926938193351e-12,10.000328474852886,5.064511702077259e-07,4.57297299980239e-07,-6.0534227802685794e-21,9.6887481898304e-07
1100,17600.01496571484,0.4507404824937169,1385.816052331769,1814.07976052399,0.00013807794506105213,0.00019145107408775474,0.009442594852312363,0.010304076011175325,473.69959838555314,559.4423175254165,26.373260472972365,40.16935562874679,337.5997005644457,32.402104330411156,255.00094679508373,79.99914508457759,0.0028409678869501143,1.32976029115865,98.59287211752445,469.7531275380411,409.7835625066818,1.005562898193187e-07,1.3132508084592174e-07,2.3591568288849354e-05,1.9999999785847205,1.9999999814587142,5.512778152266003e-09,1.1807355230047516e-08,6.650460257932383e-09,7.119868447307716e-09,96.15428366142928,3.868925303782943,1.752481852637224,0.03642665451976807,99.96368849425603,1.6492561736054721e-07,98.22547919997653,100.0,96.22505698746396,3.8065145626801904,499.9386989624285,0.045872561164130916,-9.99216607635553e-10,-6.094015201758126e-20,-2.3924928478326007e-12,10.000335015660557,5.05280077297966e-07,6.090076984828559e-07,1.4724236651360134e-20,9.486127001904604e-07
1200,17600.01530591443,0.46142083974016573,1385.7265365614512,1813.7880812410392,0.0001581551660175989,0.00022285901767152242,0.012088507942323209,0.009062071434234197,473.93712644927894,559.2980243998854,25.978991186839732,40.19314164237819,337.6163377964342,32.4028264463211,255.0009371212349,79.9990439483555,0.002843915978511164,1.389635418808706,98.59811525847347,469.70211842040294,409.7771356904366,1.0610724595152137e-07,1.2363516867174708e-07,2.5191646549228405e-05,1.999999973712706,1.9999999798620682,8.069528698739063e-09,8.311957240426614e-09,6.119054723253525e-09,1.0651655056106643e-08,96.1945529844364,3.8990461107824554,1.7501958964216322,0.03643113202330923,99.96440801109013,1.804549137541787e-07,98.21439571625483,100.0,96.22232922561379,3.8091352341117317,499.92157980743383,0.05213635938116625,-1.1130565891601875e-09,1.2209648309595696e-19,-1.8402908610521093e-12,10.000376160055195,5.396812398323927e-07,5.583722166183384e-07,8.995604506699665e-21,1.033546622240307e-06
1300,17600.01539749998,0.5245700040303759,1385.6596487191182,1813.4707993217203,0.00019649988480274034,0.0002447315581851526,0.012982938869595173,0.010332902088222894,473.6551852006185,559.9120051484565,25.981179303555017,40.99227669647647,337.6416191476437,32.3966196116829,255.0010279956562,79.9989556166161,0.002955597563150727,1.3914501710756064,98.6496065895882,469.6848278392288,409.729796286317,1.2351555752099836e-07,1.6161237677539862e-07,2.570662451563788e-05,1.9999999764365652,1.999999970736864,1.0281693276973823e-08,1.861823987114118e-08,1.0163298354011968e-08,1.259511405132905e-08,96.20825203434259,3.860735675779789,1.7709428595614962,0.03564314816057261,99.96421361914337,1.9448724195099895e-07,98.20767077539921,100.0,96.12091307263347,3.817749119308854,499.9135745010749,0.05639882100810187,-9.458755827811156e-10,-1.5288111291220425e-18,-2.856913779577803e-12,10.000377575242776,6.102646139696923e-07,5.995496581819737e-07,5.076999648399402e-21,1.1597961500346224e-06
1400,17600.018339549788,0.5918287539216605,1385.7547842179354,1813.8816437428611,0.0001930874751903857,0.0002463559996802074,0.013406354543752429,0.011967178991022563,473.693590239711,559.7578730790469,26.09707940982242,40.45361968620044,337.63051840144834,32.386479931430294,255.00112251891255,79.99892567716036,0.003617549478849985,1.3175866584661462,98.67084996006808,469.658240606069,409.723550112011,1.2077449993503822e-07,1.7280723701324617e-07,2.6504558010772557e-05,1.9999999630732985,1.9999999649223839,8.407362298722635e-09,1.7078985168663214e-08,1.1143235978372172e-08,1.2388294085082854e-08,96.17300381085474,3.8815152953799172,1.7763264355492172,0.03606671946189711,99.96411866957364,2.2485040861810403e-07,98.20950474941294,100.0,96.1021063626352,3.8389044865739788,499.906998759205,0.06738278506296719,-1.5011250736780868e-09,-2.537871087030283e-18,-2.9613540277260072e-12,10.00048618475682,6.591882890355351e-07,7.368133548318764e-07,-1.9683120088300378e-20,1.3129217423065934e-06
1500,17600.01892596884,0.6140682122337154,1385.729099627576,1814.1703126939055,0.00019177987467880803,0.0002774577106552434,0.014653246063395116,0.012379812545532632,473.5730398386233,559.2022105486601,26.466424853142023,40.422699766217754,337.61623911674786,32.37004679291989,255.00103894589373,79.99894491356301,0.003700449706442905,1.3151364674712502,98.65745595815909,469.67479076524074,409.72421351949004,1.2568015919223716e-07,1.63846449907672e-07,2.6029118811783387e-05,1.9999999732192557,1.9999999623456601,8.571692891929264e-09,2.6771516581090302e-08,1.0132099550363042e-08,1.8633096014061908e-08,96.17811047274606,3.882283722279675,1.7681550426311123,0.03605421558314569,99.96405192276086,2.3800535717272647e-07,98.21191958688546,100.0,96.16861754851784,3.818123664334526,499.91067676093104,0.06257878105400108,-1.4595531664776348e-09,-5.2147280822873235e-18,-4.0759476315226354e-12,10.000481569746931,6.953158819943132e-07,7.732925577540737e-07,-5.181708201107283e-21,1.3755179664377345e-06
1600,17600.02026505626,0.7029731691714357,1385.9062695427322,1813.7867322857237,0.00021120038511367623,0.000286130930265747,0.014698153993950296,0.014208033051170535,473.87831035857147,559.6536917403959,26.021385611071743,40.301431635945846,337.6185139038965,32.377183463606606,255.0012761468735,79.99872919531195,0.003607206134275608,1.386354787900666,98.66317756366252,469.65792454048375,409.67598492223743,1.3611354159873342e-07,1.767313715419206e-07,2.679007198559961e-05,1.9999999652837643,1.9999999586088937,1.1136937522000507e-08,2.5982725397256457e-08,1.1129668460481006e-08,3.1728875918604064e-08,96.14663443756776,3.8844971739843865,1.7687712976008687,0.03642875837317641,99.96438621009453,2.8698805088716555e-07,98.25130263046042,100.0,96.12416665022998,3.783029123391452,499.8930757196753,0.07545306314878712,-1.5717817701074846e-09,-5.5093305853490956e-18,-5.3969116254211e-12,10.00053637546576,8.54541927270495e-07,8.242464956642785e-07,-3.474134172157187e-20,1.4581312822650343e-06
1700,17600.02140192632,0.7470910028427962,1386.0570194178722,1813.3879467614265,0.00024609218842097094,0.0003029488258788266,0.016243704777989327,0.01416176236383508,473.66540017584225,559.1216762700225,26.135791467957855,40.53462570167032,337.636601576963,32.371326120666694,255.00133314433177,79.99861299752686,0.004176210482556268,1.3210978716912354,98.66115548191122,469.6080571534035,409.64503433874034,1.3755982242653843e-07,2.244397842376916e-07,2.7977868525350564e-05,1.9999999617026514,1.9999999658087413,1.560887056247724e-08,3.149542215998453e-08,1.5206173873913018e-08,3.0253436828499714e-08,96.17580454841782,3.8459785875347183,1.795470407515526,0.03642994057688178,99.96378490764891,2.8388490598964437e-07,98.2108401074731,100.0,96.16549014003122,3.8544260887650794,499.8867186615581,0.07974810784973907,-1.675588582573225e-09,-5.839760080641824e-18,-6.186598160395915e-12,10.000544565661942,9.088581682382736e-07,8.337558330921335e-07,-4.466285584644334e-20,1.5851670996202827e-06
1800,17600.022647465146,0.774698873541931,1385.684101328684,1814.1272024653724,0.00025484590630391664,0.00033370933460076453,0.01623472807399166,0.015221496459408223,473.6734654650295,559.4342715309033,26.504153927372656,40.61393998287367,337.66083008536793,32.352756176666865,255.00140067636218,79.99870363556879,0.004131931147236014,1.3765637465976472,98.6480121667569,469.6191709965846,409.65184423009026,1.4397839177152285e-07,2.0961332486492773e-07,2.8067900311848406e-05,1.9999999424412518,1.9999999466438425,1.5573944888023095e-08,2.6482343551282293e-08,1.5795547405568725e-08,2.5911763403735195e-08,96.166434458116,3.847969238148774,1.7884892862168529,0.03599165556475565,99.9636478943249,2.9639704280181155e-07,98.20642827853173,100.0,96.17158468399461,3.8990307102121093,499.87877885521976,0.0748467839234181,-1.6222174803658346e-09,-7.365633240093352e-18,-6.211946865125433e-12,10.000653026465965,9.205718712220132e-07,9.301986649181124e-07,-4.674487051828369e-20,1.9665338593625456e-06
1900,17600.024336066184,0.7788769230478416,1385.7369519478673,1813.5506295620196,0.0002447972478508796,0.0003370910686056351,0.01628100542306395,0.014524388698854286,473.8879487543756,559.8536443167794,26.37825616279454,40.58150339633721,337.6226329664495,32.361665989461116,255.00145289987472,79.99854881126085,0.004342520501225925,1.3240834761082212,98.60449583742975,469.55008110329715,409.63769616638064,1.4901179290335058e-07,2.4426600530594027e-07,2.8888964023080725e-05,1.9999999397623502,1.9999999371585213,1.5848201066162632e-08,3.5507806408638155e-08,1.7932398690239085e-08,4.2700539882916196e-08,96.14764852078892,3.7894860084252593,1.78057636831965,0.03618976148526426,99.96430662395714,3.3971386942061117e-07,98.23785409146845,100.0,96.17747274771948,3.858610543235001,499.8772192236736,0.08858578833739256,-1.7144228464144835e-09,-7.339478731902487e-18,-6.710618083151505e-12,10.000617016393337,1.0110140263334335e-06,9.658879224787877e-07,-4.381519974050401e-20,2.0710318153519838e-06
2000,17600.026060860244,0.8381229471596908,1386.0297406878249,1813.8929435459104,0.0002761726534877868,0.00038177232833517226,0.019067224453410477,0.017458796962735345,473.67767699414054,559.5876030134273,26.131995837691726,41.09008911200956,337.5956486652043,32.402347487546415,255.0014252818734,79.9984923504834,0.004536364457051692,1.310785438043478,98.62760541314636,469.56905406378854,409.6225247544182,1.6051336142244145e-07,2.549952461581997e-07,2.905844216371363e-05,1.9999999419262686,1.999999932829628,1.6839227517882316e-08,3.5210222776928206e-08,1.7286206237764097e-08,4.273347141939147e-08,96.12719320702357,3.857019097486733,1.7556891173982994,0.036105892354329656,99.96387987663438,3.215655064074449e-07,98.21987384092002,100.0,96.13337529595594,3.872630620625188,499.87945901743524,0.08134911168115994,-2.1058191078512003e-09,-8.405021312330771e-18,-7.860941793953307e-12,10.000708571820677,1.118640946045386e-06,1.1116185441408171e-06,-8.471150624891738e-20,2.003656264157472e-06
2100,17600.0268981981,0.9173503493446017,1386.0426852590672,1814.3200509472654,0.00031052825770738285,0.0003814479296664267,0.019720791398527875,0.017554601836574157,473.95929055987074,559.8847453596293,26.446710904796177,41.03947625790259,337.6124098056151,32.39350913651572,255.00158978001156,79.99846741312511,0.004714055516166455,1.410176387854692,98.65820517413614,469.539275193403,409.5874013753448,1.6586468354932328e-07,2.575993650415475e-07,3.0497042591098826e-05,1.999999930247424,1.9999999313618289,2.112960356385933e-08,5.40185609841337e-08,1.9672556250049504e-08,5.110390885473526e-08,96.1478743969635,3.8874990704752395,1.7544614767043405,0.03586063201896334,99.9641778568933,3.663833677556587e-07,98.21812040549065,100.0,96.15030541347551,3.8507421314277708,499.86759871623,0.09792368261613993,-1.7732204250531413e-09,-1.2859167129932455e-17,-8.928663281569129e-12,10.00072662921344,1.056572788617763e-06,1.1571354485207776e-06,-1.0514123149324151e-19,2.1245135704032953e-06
2200,17600.026630080225,0.9520612982111226,1385.7380241289175,1813.9022498485222,0.00030251535048394,0.0003907746276512431,0.01953650624679907,0.017403894324109232,473.5220186901864,559.0636891476427,26.0009807751658,40.31762826422089,337.5940809329978,32.389964472892544,255.0015735965403,79.99838395535343,0.005473112875570273,1.3165950317774933,98.66099443322024,469.53101494566806,409.5404797448913,1.6484763395224388e-07,2.7196945477382267e-07,3.0025706783356086e-05,1.9999999191587086,1.9999999193634876,2.0439253197565114e-08,5.98907049639496e-08,2.2832978009775723e-08,5.884770189908964e-08,96.12019757363345,3.839056172825114,1.7738934206211887,0.03656138177542426,99.96348634161579,3.801000308776503e-07,98.23603684818116,100.0,96.13796773189038,3.90391342696927,499.86882077831666,0.09809031399448652,-2.133579086297462e-09,-1.4531485476249716e-17,-1.0129290555585803e-11,10.000818384010666,1.1345637580652333e-06,1.217326351457909e-06,-1.3444536663444324e-19,2.272351860601542e-06
2300,17600.02900024719,0.9817267394392464,1385.7627168924673,1813.6279235258428,0.00032235499513104117,0.0004048685817851342,0.019821720514186715,0.01789736721597395,473.5311705534916,559.4470178655743,26.422905472680103,40.10797790985168,337.64275555504105,32.389724257817,255.00170667835621,79.99828272955976,0.005264893179168005,1.3687007133163887,98.62858564316761,469.4917154901923,409.5574394536775,1.7636346559754537e-07,2.89621212072613e-07,3.0415943922419546e-05,1.9999999190719568,1.9999999136984399,2.400519252661025e-08,5.867338515278653e-08,2.2739202094185257e-08,6.277541074365015e-08,96.21251500101941,3.859213138547686,1.763136219908673,0.035612139566186446,99.96425172878429,4.050684943315684e-07,98.22891217050585,100.0,96.14946475598832,3.9102717501412654,499.8464933682429,0.10645246330781778,-2.0002829199333526e-09,-1.6065038816415825e-17,-1.1449903499931834e-11,10.000791807278116,1.2437996575626215e-06,1.213530749597971e-06,-1.778303076582521e-19,2.4541141857418154e-06
2400,17600.02958588211,1.0253925804125,1386.1995886139493,1814.2703586638588,0.00034946627539298835,0.00045494617549888926,0.02269658198014592,0.019599886001022176,473.4677544579816,559.739210261792,26.200713813393914,40.28973039555093,337.6025263485469,32.33731725249549,255.00190073365636,79.99820701551681,0.005688593168636744,1.3748081509228691,98.63367642339428,469.4454213380369,409.5462532849478,1.8225684928144975e-07,3.0326293170584327e-07,3.151392231128209e-05,1.9999999023271287,1.9999999171138452,2.147361291041786e-08,5.958344121972687e-08,2.3440543255532712e-08,7.05386532692077e-08,96.18244389593244,3.8043293309682875,1.7638735360146123,0.036275317877568464,99.96393595003192,4.099169920487098e-07,98.23449054531564,100.0,96.19346001862202,3.889050100600301,499.84904149337984,0.10745729532092747,-1.8576937568360648e-09,-1.6185196610195408e-17,-1.244258180564753e-11,10.000849184903043,1.320076377317821e-06,1.3227043826705014e-06,-1.5416264351335607e-19,2.3892629126577036e-06
2500,17600.03242432383,0.9895359439993683,1385.970071476436,1813.501664686653,0.0003529604432417305,0.0004468394942089799,0.02276642626839886,0.020391903885344866,473.9418224212925,559.7305245638507,26.030352761550468,41.001833889580794,337.6054605013046,32.38489648132712,255.00188802598228,79.99814546807679,0.005829577265559992,1.3989320829542824,98.60418326520252,469.4483624094813,409.4957632121587,1.8581661243824116e-07,3.2251742969243424e-07,3.1185103962106434e-05,1.9999999066897771,1.99999991293055,2.6565664327023522e-08,6.446701536667182e-08,2.3550614742721074e-08,6.707515916873348e-08,96.16629843885488,3.9088715385609523,1.7613262927851039,0.03569685793487795,99.96387801159473,4.214894164834462e-07,98.25030343266474,100.0,96.12737969824313,3.8366425412034033,499.8494744765453,0.11529903269979026,-1.7981917832110347e-09,-1.789904124480276e-17,-1.3624243013493491e-11,10.000898622686782,1.4105596659606633e-06,1.270382578830466e-06,-2.0511488729925592e-19,2.5533631478378357e-06
