miliseconds,T,E
0,46.92500008524946,4.948983301921998
100,34.933177465057035,4.3753890472737735
200,26.687334302147853,3.877123941896769
300,22.83086933292433,3.343626090282557
400,21.451609729081667,2.948560315741286
500,15.976958633258288,2.5199373111751173
600,15.008910912106069,2.1521797274641625
700,16.148261358891848,1.925134504774708
800,14.741896209808216,1.651489130393258
900,11.987956080964464,1.4743921647815597
1000,17.62068042157881,1.305159783300431
1100,16.434639601705694,1.1122695263490137
1200,13.04836646880991,0.9841092097373885
1300,15.38563213811636,0.8680799167741239
1400,16.430798156608855,0.7251769884466615
1500,20.329787483264756,0.6504901279492408
1600,19.688104437650793,0.6564799148565524
1700,26.05149111729234,0.628087557238104
1800,23.739123923058106,0.5746206491184976
1900,27.150860465566968,0.4259460378698516
2000,30.790017849121703,0.3974632930402537
2100,36.63067449464902,0.4490584882751393
2200,38.08762528001245,0.3993602367275643
2300,39.819148919143586,0.3422469111920268
2400,46.802787343475465,0.325632937494042
2500,48.059921236603834,0.3306009878378373
2600,52.77326160069452,0.33636724088889336
2700,59.366886955454284,0.2872018599399804
2800,68.3171151498829,0.31074933974946506
2900,73.22107452029395,0.32301431460765884
3000,76.27213165242814,0.34730174643383116
3100,86.47777915583828,0.2416051053357364
3200,93.91060318906233,0.28611913169744724
3300,98.86518134370824,0.2339258620550255
3400,105.87579565457129,0.2524799886613259
3500,112.56175619013867,0.3177027488199818
3600,120.5365367956924,0.22300239268799682
3700,126.52851519730852,0.2489038426612036
3800,137.86800458522282,0.3012912153988282
3900,139.58396893938743,0.2382480150233944
4000,150.0823117741676,0.22175381049071263
4100,155.35005072723325,0.23219253004230633
4200,160.93605875430416,0.19712223474553875
4300,165.06572945120487,0.20620055414020844
4400,171.75949561067668,0.20101877604336413
4500,174.8583879528809,0.20665211818333518
4600,181.7077291938608,0.2488569893403591
4700,182.3660376676319,0.27350982815210434
4800,188.10370425382592,0.21618615404724287
4900,191.56638326714256,0.16440282301152262
5000,192.7852249706137,0.264444212513789
