miliseconds,S,I,V_L
0,831588276.6788588,147098.71486373612,3779937.99861208
100,832702847.480411,759250.0166448922,-44135937.13779584
200,832378462.987351,2479781.6103803967,18918398.548074096
300,816311636.0646894,3726631.3546868237,30762688.147076163
400,814883575.3711066,4423864.193919338,87924839.31452632
500,824508228.9428644,-223488.03030550177,-27258919.333302528
600,814919423.4390525,1305697.8447551576,37571200.97942211
700,810357737.532624,4612678.013328228,33739230.37347984
800,812103935.5148382,2458441.1497543794,98856058.5019292
900,819489700.5484229,5997710.3232657,92246836.21933049
1000,804937751.2344451,2114151.788007781,125782176.88521178
1100,811045169.5986296,3915612.4413968823,159348618.91629857
1200,798701598.0403649,5137105.390508366,10424570.605326086
1300,811522298.7182113,7188908.916093393,162783146.5746813
1400,798161023.5120721,3690892.305810631,214891597.93371058
1500,800830329.3612846,5277109.840448579,222898531.94619757
1600,798258002.5512524,8677803.649967013,147978135.0016092
1700,789403002.960315,6959100.902357256,95774648.2453637
1800,786026583.0739075,13334771.923797231,143442312.3045028
1900,787909324.1194102,9439395.37988935,315849077.28948945
2000,783680813.9038739,14375108.743070256,358612576.2244545
2100,785854219.4130532,17313707.096220694,394084393.14089906
2200,776040913.9522291,19559605.304754913,454774638.3281048
2300,760849758.4979506,18607724.916765936,323253749.09275603
2400,767668466.6216304,24285273.18093995,417410157.9357383
2500,750703182.4329226,24442865.40039712,485139780.90731215
2600,745444757.7259336,29057717.29110431,586442139.3114123
2700,744178967.5519595,33666491.61903299,633296089.3255235
2800,738947454.1835713,35904370.17411618,744585816.6718448
2900,729714414.2953856,38480060.63752084,836764809.4267995
3000,717858502.9681666,45299202.32816901,963065733.2226331
3100,707068777.8762265,47340456.96416655,1063518821.6517196
3200,691825339.7128922,57795376.086573616,1188123415.9223514
3300,674248078.8561397,61579384.80649747,1406800559.5666742
3400,666658379.841075,66062987.90005518,1549881623.1197865
3500,643061754.8383809,78073629.77808022,1755998805.9341264
3600,617734530.1243964,83176737.5326716,1933609517.844125
3700,599742034.4654835,93189411.21054202,2074762169.813268
3800,588173969.2315532,97247097.95897064,2406447311.61151
3900,558665792.3482124,110899238.53174785,2711562550.6902823
4000,532993061.34942573,117897753.80638538,2953323487.1269035
4100,513940523.0103572,128260870.83534859,3284510310.3097873
4200,480254684.3776458,133342496.78035204,3480062774.444062
4300,459670653.09317863,143270174.22388026,3977262707.481719
4400,425452358.32188255,150619024.38562378,4214237743.684454
4500,393747273.9284381,162975901.89797515,4617126312.881191
4600,373182071.0398997,170947418.5297593,5045909205.571993
4700,338572573.47087055,177385046.1277957,5549086886.671916
4800,306629983.59377116,178706221.64331427,6076458017.785394
4900,279737332.3438136,188165863.33048424,6402839420.779491
5000,251467060.05811813,190254264.61129358,6863532460.806652
