milliseconds,S,I,V_L
0,830570984.2599945,1495216.5181992534,92865638.76820108
100,835470915.8711225,-913570.9444609135,-5638003.930330813
200,833679709.9270339,3352729.248836982,121861303.98618332
300,823240555.9802771,2533277.9260748653,30632385.12319898
400,827125373.6183358,3462125.521293558,62905646.955794856
500,813459212.4926782,-825044.4251993219,93268292.56182532
600,824520175.5320855,3062416.0440847543,47574786.27873354
700,817897516.6011572,-143140.07913613785,99280572.57553124
800,815545402.4268222,3777173.9268339397,24182778.874079734
900,810177901.457367,837817.1394097363,139994918.024327
1000,815924179.4658118,2150104.2888525496,-16147442.105832428
1100,812746993.3187091,1665718.9506060374,117358499.08458577
1200,806313015.4242016,5661594.936370362,111954297.51401258
1300,810377934.6585357,5028306.738253891,192209976.6560759
1400,808736913.6851974,6803426.8753281785,82907423.72489786
1500,799989633.209656,8317234.164446789,207811709.00761628
1600,794392608.4081212,8042049.176069226,130858896.17798033
1700,787210995.1949656,11050681.548883054,255902008.8567183
1800,792843227.6292288,10221832.490952453,203274007.24600315
1900,784052327.3378146,9581650.14525691,267932440.84824792
2000,777787013.4386712,16680962.505550697,272901414.5815768
2100,783308470.9935106,14079993.250067208,318967985.3910405
2200,768775182.6166383,19896154.616816245,442925178.5746883
2300,773176436.1523412,20202028.948930178,317402057.012761
2400,759803912.9497249,23498581.67035249,489184145.8204504
2500,749098555.5739977,24403937.996085636,488216386.2564307
2600,753888621.586048,27474973.992246933,605422107.030093
2700,734361933.9531958,33677557.23911372,667500864.3817555
2800,732309653.9188827,38607513.90349026,776596478.8307725
2900,722171872.6461904,38490780.71159257,898387465.4510691
3000,717524724.355668,44875437.97857186,1048953994.4322572
3100,703785493.1443917,48527325.59154802,979862974.1535075
3200,688675970.0891142,58023182.293368384,1130349678.6010814
3300,680425770.5119501,61388553.85753272,1307804154.677442
3400,665384961.482195,68135240.43173853,1453426392.9362888
3500,636881855.2612695,74339583.57203083,1737246160.4945655
3600,620873977.1770462,83968950.63360818,1809929692.347582
3700,608697065.0206715,92375592.69691503,2210564506.3976045
3800,582751888.5400751,98287865.40400042,2389583001.71342
3900,559530039.0202563,105733461.71643147,2558459592.4504466
4000,543935913.4844695,119343437.02610354,2926683815.410883
4100,509222902.73176813,128500580.16999114,3227370063.1765513
4200,479161751.5921442,133542862.17973034,3654904956.7464623
4300,462631504.0379849,146097091.6163341,3995002251.6916437
4400,435931574.9799179,152330826.632529,4387527617.69459
4500,393599793.3786932,164518049.80420315,4700009347.35776
4600,369706365.0115959,170756330.83733046,5220013714.307759
4700,347479477.6664415,173527945.78045022,5484934805.374175
4800,312452979.1497548,180431486.60413876,5975931995.290755
4900,287290584.24004924,182698431.57604417,6552390095.776398
5000,260881342.7627955,186306114.9188488,6887587776.441382
