miliseconds,S,I,V_L
0,830367169.7647954,-612115.1458376702,2572421.5891346335
100,822094300.4512228,-1174403.9917005326,81332233.54135203
200,829685027.8404511,1125594.0700717454,971748.1152801961
300,818443364.607704,-1647880.7218961192,-48444404.51888017
400,824264783.1212714,-1575936.8429136942,92342624.65995434
500,825901620.3738722,1946189.357944101,94775360.05226332
600,820357230.6131372,4997414.68291864,57271646.413525835
700,818704093.5892029,1229239.273806778,-10590693.19863052
800,822367335.8106335,1892482.5373868835,66353662.45578299
900,811261733.3027335,1959400.4635265355,-1424279.9797836095
1000,808589265.6534377,5285440.375422582,131580066.03081548
1100,803489614.5849268,1705381.8388945134,132441514.45173942
1200,809747010.684241,2791551.261259196,127244851.60853624
1300,803174387.2642313,7382017.818881195,62372039.095618315
1400,794320695.3850298,8160194.232436014,177700941.8222693
1500,807397548.251445,8749360.130008176,114615609.70356941
1600,801614663.5967491,10693088.445698481,237285828.24232328
1700,793407230.2156404,7614665.106483697,256303293.89869535
1800,798694786.6462798,9997600.248698367,271188744.876136
1900,787832137.7096674,14567556.26733029,213209913.18738878
2000,778328495.9511886,13977122.222845627,218252276.17397094
2100,782055705.1595156,18036328.42152976,223331503.37795436
2200,777814495.285191,19265967.29976587,289902672.3596062
2300,775111948.3875153,20695465.449635323,451690180.58974195
2400,768814669.1147262,22658364.72096156,531746859.78948414
2500,755351938.5748001,25972859.6366995,490131460.11268884
2600,753252777.337626,30795950.986887828,660522927.6654037
2700,739485868.5570412,34439581.63762348,712612795.3884705
2800,732393727.3880391,35021963.65112126,733888815.8966027
2900,729662350.2924174,37205239.76418619,856376639.4439741
3000,718088225.5449599,41522438.49742081,862513106.1962869
3100,708646805.6187946,51040107.071497165,1157621316.4899511
3200,680595278.1068345,57866086.750149526,1224960031.3128006
3300,674059329.303748,63178765.57847163,1367434388.9663758
3400,660129248.151584,70714550.88918522,1495118386.9147015
3500,639643152.5299888,78293591.04265599,1756493829.7894185
3600,617130966.8505872,80914044.87700127,1916276167.6085017
3700,606174157.0329862,90490048.19644727,2153145463.7834806
3800,587520877.1939468,96969329.87803262,2442903508.7237544
3900,567094790.0754945,110522967.18353851,2568039290.5366063
4000,537819194.480665,117820889.07470743,2838392000.4140244
4100,511506891.9701076,127590340.6792202,3231669677.4825892
4200,485117620.5154978,134159781.82938191,3502709080.415725
4300,455942616.68178856,142185466.47349745,3993756751.6724877
4400,425809871.5554708,151397617.78793144,4376468005.075635
4500,402437234.3598797,160382010.74554038,4657814410.400852
4600,373874486.5052223,170511337.33946264,5047201039.300446
4700,339051898.9530903,176969637.0845533,5599851996.734737
4800,311282979.4291193,180113040.09720075,6044587950.661963
4900,289802986.95106894,184677712.96457398,6569227661.024456
5000,247652333.1087664,188701803.229443,6931168968.360461
