miliseconds,S,I,V_L
0,836924665.898933,1314997.7782735259,37347136.59202368
100,826571837.8448822,3079940.421722707,113020250.00092405
200,834267986.3471185,1883226.4453117005,9134166.60680547
300,818240164.7017635,4100756.4272251027,105054003.12038171
400,823676406.6310134,3786308.851843323,77051668.99249642
500,819306755.7309794,-300578.68961501634,-13606947.485175252
600,821335549.8224018,5090038.343414027,123604974.25444654
700,814446771.5708313,1747584.450022565,27712380.48076353
800,807695999.6472228,5841043.248366518,17295956.25142391
900,805698656.0402747,6393808.637613686,28081545.267479517
1000,809786208.9017798,5074535.141093377,32486311.473228805
1100,808171671.8346303,2835861.890972358,5069707.422250152
1200,814748229.048265,4619367.956783338,134438016.55998755
1300,804830561.4723821,8642991.761988156,68286787.72354305
1400,808257353.1703914,5401775.302121455,202417678.46296602
1500,799849192.607337,5282390.903624657,106642055.1234321
1600,790291850.1947883,9718839.429261118,132822644.33832145
1700,786906630.6743729,7255799.033857606,125096569.29903752
1800,785524577.7932996,8619703.110893372,120378409.11769095
1900,786907070.413586,10318076.163489252,258244514.2527368
2000,791085412.5334104,12538612.212945811,312815436.77977246
2100,786613126.7619466,12523301.896609496,259851980.09050164
2200,768616698.1326542,18708882.370990172,296025506.2364276
2300,775729156.4679577,20788334.72157053,322198468.65524393
2400,755698855.4087822,24669356.557249986,399662895.53622496
2500,747888323.2458715,24061607.79045524,511584127.9334389
2600,752798326.1901546,25897967.732108526,595420574.1427517
2700,737388630.7748547,33646060.9241773,613498828.1026101
2800,726611932.2137448,36964615.16342402,652431457.2498804
2900,726698570.7786679,39345380.163754635,856476386.7234972
3000,713750222.6464356,45854009.84647975,928518509.5152898
3100,698540443.4447848,51527208.98715642,1150518210.8346114
3200,687442133.1246947,54260257.814890474,1289849301.9062939
3300,666415789.4961547,64211805.16832021,1257558419.339494
3400,664713673.1698261,67613460.5316486,1476836236.1537585
3500,645780105.6978874,74916496.8457207,1710016107.1616986
3600,617353322.5346744,81494346.89172642,1858549735.1133907
3700,611462130.5640666,93460532.9225745,2074579693.3440173
3800,576106802.1634194,102333493.26213467,2284171854.7978215
3900,561705509.8220563,106487689.49339774,2540322240.529277
4000,537551349.9574798,119623159.01241276,2975726258.439282
4100,510126986.59249306,126829498.46750125,3164571338.489977
4200,489733023.95164907,138909091.9247144,3517001953.5104446
4300,450523001.2660702,145230046.73276594,3901147021.332934
4400,422499608.8258046,151340356.4723734,4338696016.616506
4500,405172060.0358822,161097653.66627568,4776329313.29401
4600,372393608.09117067,169888508.07495543,5185996617.937764
4700,340476997.9376447,178561017.46742874,5550189566.64459
4800,311016539.1535827,178806793.2869032,6063027935.101293
4900,284052591.52616715,187545069.7463523,6452352274.209006
5000,250049665.75439486,190264780.30193415,6976609732.636662
