milliseconds,S,I,V_L
0,835136829.128304,3014807.123775168,-22936139.439506628
100,833826162.7746342,1789870.2865929392,-32980841.813077256
200,833308858.9598106,622145.5335306041,113783761.02753559
300,830937606.0121157,2225867.8619729024,10493544.124183852
400,823321095.969314,-1145958.0332457987,84931037.04640663
500,820256520.0761136,306792.8223413727,86360688.88438511
600,821451365.3213851,4586961.091198631,122292986.54981083
700,817186267.3227913,713605.6188640178,55721676.747222126
800,807440475.2217852,572094.333041078,115616528.49260592
900,809000735.4019085,2290151.800994687,116699575.37180248
1000,817184158.3550353,3337272.301345251,59089483.23723777
1100,810835374.9638175,1695322.550783522,67307985.12699868
1200,810412853.0719235,4627650.60154136,12987743.750528917
1300,810007512.5701995,6724936.773913993,179684714.44628096
1400,805132168.439113,4031769.484746971,86079628.85829493
1500,801664423.6854161,8043727.899052256,186564553.56233668
1600,796178103.0360134,7011767.588966142,256865372.50286633
1700,796075992.0690178,9908281.753719928,284712372.85220367
1800,789796469.2480385,8480544.707857274,151337311.98650837
1900,792811976.7429844,11452794.325708935,256615740.0394293
2000,786005099.0602789,13369570.174841937,316712643.6959393
2100,773253043.7029197,13646953.522000467,383150768.5762193
2200,776425666.9995601,18776589.052650347,262375322.0318048
2300,773790896.4079444,22425359.41222395,420668108.66955465
2400,766881742.749934,23600087.385544725,479539587.87843364
2500,760818573.1066844,26008385.87390291,453512881.88416195
2600,745157869.040991,27495211.766629,520630393.01812905
2700,746754293.1991168,31583130.111655504,651208145.6161858
2800,737007450.5566372,33023049.99957883,698849342.6371676
2900,720304288.8434625,42647788.74298029,884339389.7038783
3000,715257533.0068712,45284771.16780074,982453971.4116161
3100,699378558.5584315,47767827.39997474,1017231544.5170925
3200,694289762.1618351,55356984.99434347,1238351557.3830066
3300,676913327.0215925,63136138.698123716,1285406099.549779
3400,659154080.7358302,65701485.17365703,1529542969.9320242
3500,647225836.2061409,74243693.770946,1777422216.5526602
3600,621091957.6832594,81648418.164541,1862110906.3845983
3700,598185874.7458847,93314950.80413176,2172941619.49097
3800,576293979.7749704,98149057.0761585,2458852756.2975345
3900,560145467.717181,111086344.57146147,2649464698.4389043
4000,533086132.0341538,117878313.48091185,2941771405.6261396
4100,519358291.672653,126430686.38170066,3232689897.3357124
4200,492059637.38018763,134312805.78651434,3548867697.3110113
4300,465005215.85148764,146982478.75180998,3945035278.8296623
4400,425392645.9953827,155600407.51825064,4281898650.1716275
4500,407864363.1363109,159550841.53573862,4799241275.035938
4600,373169007.65414876,169594429.22931334,5172016800.284408
4700,341713779.54025716,177467380.01127166,5568854520.759986
4800,307191068.4763219,181515815.4148492,6080597311.077897
4900,283250448.1042126,184101416.74531397,6577806062.22523
5000,260862215.5729503,189166183.30646074,7034332124.945638
