milliseconds,Ttum,Tplas,Tnew
0,999889.7407413309,4022767.7717015524,-26.10156037557943
100,999760.3507283654,3766857.8983839764,278.1285739561457
200,999541.5735059908,3535668.7883317117,553.426466298622
300,999580.7904066378,3214945.1590173184,733.1891070878795
400,999206.376200875,3030201.709643626,992.1361488874423
500,999025.0744158883,2884687.440219127,1113.8696996632696
600,998571.0209710823,2636348.889238787,1363.1963882963812
700,998553.3241524794,2463401.7734712027,1506.335951217042
800,998163.0618060703,2291013.2487742202,1649.799795188244
900,998132.665689479,2168542.303583945,1806.1567425874139
1000,997778.0025135169,2002693.3396119745,1968.2987827810819
1100,997680.7483045104,1904821.642941218,2064.7581601342126
1200,997225.4765396405,1777642.2711579592,2193.612868033566
1300,996731.0992982741,1641227.823076969,2289.5158049523766
1400,996679.8379197132,1573786.3367174363,2442.532782395012
1500,996323.4896067182,1499271.5522395167,2545.8603198295073
1600,996166.2189005606,1372628.2956990392,2647.5904831823414
1700,995657.4177088182,1238280.2563606692,2709.472618441283
1800,995361.9850661033,1218090.7809880888,2782.771465647585
1900,994758.8408938976,1157064.9742779345,2923.0739714441556
2000,994412.1793477943,996150.1904393963,2975.799619221118
2100,994055.8990724153,928449.1541629643,3004.239054758669
2200,994083.9382270732,952024.5432434273,3034.9052352252297
2300,993651.96725913,895315.9077801378,3109.539753458671
2400,993283.1092316441,825240.946118823,3246.5597550678376
2500,992709.1739078463,760370.1534277512,3277.0183883086856
2600,992638.5123752333,716772.8823375771,3321.5091548906216
2700,992139.6724072313,704160.5323163519,3294.019134327864
2800,991837.5165462737,584177.8639636434,3419.3610778572283
2900,991582.6976731252,537803.8482932951,3420.800513106892
3000,990904.5742696607,507010.70095649804,3448.381284857248
3100,990713.381306354,553980.7420271236,3545.3756397438665
3200,990433.9957175687,522015.26177365397,3574.887782756771
3300,989900.7251724063,413070.97520493617,3554.521217196942
3400,989221.1738298502,457511.6659034238,3579.2496234190958
3500,988837.759084004,396411.9150169056,3567.3178934065863
3600,988593.5160038762,345830.6499537474,3605.708936391646
3700,988310.7114973813,380443.297147331,3615.4566698057974
3800,987726.0122374113,298187.19290281396,3652.7548686674377
3900,987693.8139890482,327433.0886332803,3735.3659783791263
4000,987380.2430590171,326769.19534662616,3745.4359199081696
4100,986502.4583808865,278574.15357666387,3711.7963469635256
4200,986184.9246988696,259348.36559456895,3726.857606276017
4300,986194.0213635332,204357.26358994373,3822.7775103052118
4400,985377.7534873228,174030.66295462137,3792.1677350105065
4500,985049.597110294,213948.1921668787,3773.3499616148456
4600,984629.9540682423,176057.7925442522,3783.094334080489
4700,984522.9045890997,159265.0358274324,3865.3567635193917
4800,983965.9703284577,134157.92088618767,3899.1146590451476
4900,983849.8305073751,167331.44833087694,3855.853953990607
5000,983288.9701467414,118295.10983048612,3830.4073904086845
