milliseconds,Ttum,Tplas,Tnew
0,999911.4397527884,4019066.373375103,41.53975864874744
100,999991.4121708195,3712649.364230459,209.2901535270226
200,999588.32167008,3466289.8904758953,533.5652789202412
300,999382.890703769,3288017.830914881,696.0672362559376
400,999349.4557537937,3108318.3891712683,939.3129522960098
500,998928.2896804992,2909082.25756863,1180.1628811411188
600,998946.4095380912,2686736.7932914016,1328.1394779299083
700,998750.1052005728,2519086.738074431,1451.9345770686546
800,998244.9735322243,2313245.9869042267,1609.2995572629534
900,998210.1377117956,2135861.5797356777,1787.8334094721147
1000,997991.7884398304,2076895.8946836784,1915.3264586141984
1100,997552.2963635705,1864299.8768332137,2065.342057431312
1200,997034.1086051598,1835886.2125094482,2219.5557301359786
1300,996722.8450678803,1665566.2586632578,2329.107560419298
1400,996443.2447087982,1529393.1974001229,2454.7283224190883
1500,996025.8593473121,1489709.0433265646,2583.9074973129127
1600,996096.3400765868,1350072.2606106333,2636.3070935634287
1700,995746.3568316122,1298313.528209651,2670.405130882453
1800,995230.1386266703,1172633.3345290879,2761.8953409591186
1900,994841.1426263881,1144002.2846458089,2927.990533275816
2000,994826.0821137826,1038958.1260364547,2920.4719645286723
2100,994047.9611368058,1019261.9627552656,3049.290192352585
2200,993785.2630337231,868952.477786991,3132.2847678165895
2300,993689.1335451651,852469.4666557229,3105.0574889632567
2400,993382.2803790623,810343.4508417717,3150.237433158977
2500,992571.5746900296,804214.2128664391,3281.1072053592584
2600,992682.1578605372,756254.3667166276,3276.2347982668625
2700,991935.8654475154,686273.1890182592,3349.1087911996506
2800,991771.8438344591,615016.6756658587,3361.7386645631414
2900,991144.8596541885,576073.277170036,3424.2186623569364
3000,991221.0592031373,537599.6943329473,3417.632469347758
3100,990434.038999865,489225.38770035375,3523.9026788739206
3200,990161.1769326472,458729.050914865,3494.6703495934394
3300,989689.9833479759,464237.90801390447,3509.391712728321
3400,989671.147525906,417863.8127513387,3581.4762047600857
3500,989213.1952535546,408058.2646196816,3582.246709532279
3600,988439.9264164122,366850.61411995353,3642.091971189346
3700,988295.2122676321,344507.87069815805,3638.205296601396
3800,987921.265513043,335784.25053177285,3691.4474529548243
3900,987741.014321695,266773.1778215461,3674.409361212118
4000,987102.4257422605,332827.63061093603,3750.1897512915716
4100,986524.1824706574,220695.30202426208,3716.2908986814778
4200,986490.3484358876,282815.0314122926,3775.3410907989205
4300,986088.4774756128,253983.33001915456,3814.5336863008624
4400,985357.7153618331,266660.5447533836,3835.108374163923
4500,985348.7554342065,217220.76674746213,3829.8223346955115
4600,984617.8127290121,236398.3588153852,3814.0031704980374
4700,984200.4986359132,217022.90633480638,3826.176689420627
4800,983783.0773432647,178133.91737729468,3886.2313944298967
4900,983703.6465024215,213792.26863728624,3902.3307658527046
5000,983151.0131204017,111789.6967550829,3895.388433853155
