miliseconds,Ttum,Tplas,Tnew
0,1000078.9234340674,3958609.3066881397,-28.886273582236374
100,999713.5694486978,3733436.8475658433,287.50934975347656
200,999432.9280005408,3482799.1462194645,469.37097587316805
300,999365.1115415919,3287005.457516413,768.6520740388306
400,999093.9102347872,3024627.240064975,889.103418039475
500,999072.9321421741,2882808.515401663,1159.848309638085
600,998766.5644823407,2652396.384867918,1326.9421570149125
700,998797.9366460649,2541352.4944116045,1512.2505268876555
800,998196.1789783632,2321228.8363316013,1709.035820830313
900,998003.4462381761,2137791.101409411,1860.105915234571
1000,997758.8388648756,2061609.9948759472,1997.2048108955778
1100,997491.4243173643,1904887.4067965192,2045.1396033878516
1200,997159.5887616297,1768305.9758770438,2211.3754493413808
1300,996930.7275521995,1631512.9891006618,2363.9557586614605
1400,996629.583282396,1550892.0550790092,2475.545695292613
1500,996339.6167594108,1486326.6860985467,2581.9508325879624
1600,995831.8248241519,1406433.7914790444,2612.0569888801156
1700,995825.9966378378,1290156.3732254293,2758.636356299809
1800,995212.5502454701,1172648.3789507982,2841.6163141157626
1900,994882.7399330046,1078626.1673161762,2859.402734675049
2000,994439.1604153356,1003157.8021155561,2993.264661149251
2100,994396.4963838567,1005031.230357839,2994.5215192380597
2200,993866.9951546668,868574.5535497168,3126.5557047101074
2300,993358.9765221324,879888.2756136224,3093.5585179350596
2400,993289.8680862102,794655.8513565762,3181.226702751226
2500,992975.4048732944,756246.2508704092,3208.9336633525418
2600,992638.3575545484,709111.7867130886,3247.6186018212443
2700,992237.1942550795,646301.1106347062,3321.986469072029
2800,991489.490625891,659913.9014717302,3429.5487795165104
2900,991149.0856548271,585498.053076107,3433.23169709043
3000,990932.3246019352,594745.6894214851,3422.5609673039785
3100,990582.8762804352,497599.6690230398,3552.608627116335
3200,990332.2975542315,489018.90412561735,3507.950053560529
3300,989916.213285466,497633.6880945058,3541.0570673764696
3400,989223.586590617,420907.7804618429,3622.2635875760157
3500,989016.3400113203,396960.3769521909,3664.7308428150122
3600,988676.950278077,415636.62019890046,3696.0611289864714
3700,988410.2545016431,396203.1674194762,3625.6376170143703
3800,988041.8769133571,316738.7857120609,3642.56448557276
3900,987318.4491291213,340602.37179096503,3759.133631836272
4000,987269.7321956815,282070.2674588982,3764.442880291467
4100,986964.615182914,265943.3450303042,3769.6109023730933
4200,986372.5482111812,281029.665478916,3731.067803428802
4300,986112.4042064991,273134.28512609075,3744.2007782420173
4400,985469.7495193483,189056.34465295874,3753.415719243433
4500,985037.0857615438,248201.8268209117,3798.9066553450502
4600,984765.6442736231,246654.81654685174,3849.7963093932635
4700,984514.5057854312,220438.98631357905,3880.493919123177
4800,984138.142123512,202207.40034234908,3866.2968710350833
4900,983340.9942551731,181527.33134145103,3910.474717652813
5000,983252.2844156221,150526.78357878607,3905.2141973669304
