miliseconds,Ttum,Tplas,Tnew
0,999963.5833786223,4031188.1205781032,9.007649351105982
100,999590.2744829302,3783822.1917305365,255.87138984142317
200,999550.9237026452,3474797.6157182152,455.62326414812514
300,999229.7769810027,3231791.3852920164,730.9088254738582
400,999065.1252872881,3044499.4208735228,936.0231832752935
500,999042.4122257767,2904130.727576071,1084.3942215588756
600,998740.3750432384,2676608.8512531775,1280.32026764255
700,998390.2561504315,2464183.0006497134,1510.4665105552044
800,998363.3239826626,2381640.579606213,1604.6348731117776
900,998061.2978235177,2210945.9898474794,1845.922829113317
1000,997804.9221732323,2062131.5624097448,1996.8236168140236
1100,997580.2763000706,1910956.1472339083,2135.8023785564933
1200,997076.7537188496,1747613.578743665,2255.5090536008665
1300,996639.756703833,1718567.5629486507,2322.73643329176
1400,996358.7365166289,1552798.836590245,2386.4433301584795
1500,996292.8064869803,1454032.0614398145,2478.8777401553407
1600,996180.3736993247,1388371.178371197,2607.3170820153364
1700,995383.1365277438,1295996.0553334584,2708.8340958252593
1800,995180.563895173,1193943.697393295,2815.3754809117927
1900,994773.481186316,1097020.0504157518,2828.5915590899194
2000,994359.6069442191,1002578.0595838662,2980.1731688688706
2100,994386.5834841387,1008373.2561856197,2964.8863879617174
2200,994114.4526559478,916137.4820468528,3099.8064088290403
2300,993344.0134682198,887374.6950702281,3120.4751061435145
2400,993036.2387223853,784522.1031479599,3179.21255560655
2500,992600.9726995173,725960.0226626999,3294.2416662724117
2600,992522.2138168288,750429.386814923,3319.8679537517955
2700,991976.7568397234,607332.2378336001,3343.686667421619
2800,991722.4145945611,664701.0034174188,3405.1275142151712
2900,991402.5013110689,603504.5723545105,3377.3029440272776
3000,990991.3224303145,579057.5419488553,3502.8894019076065
3100,990353.4520660904,543222.238565542,3538.633036980439
3200,990376.0164605345,434428.44381318195,3498.7943652115227
3300,989777.7804240935,466092.206549642,3552.550305224114
3400,989258.7989640393,430842.2146749119,3579.2758338940826
3500,989229.151942639,404903.53984542046,3649.8241981265437
3600,988604.6338141074,377344.393857476,3695.3389668147406
3700,988469.5643400898,371765.0173934061,3665.405716380303
3800,987915.078839891,300702.29172931047,3718.5803602303495
3900,987682.1559789983,342277.9460863058,3732.0881589303963
4000,987337.3287916054,255611.66613525248,3680.3505704504983
4100,986637.9701096199,250356.5069793284,3771.821018507306
4200,986368.0635397113,268605.8777631258,3762.0405715124903
4300,986098.6765703564,202758.94638150168,3807.8059923373808
4400,985589.7551223955,247547.77179857166,3853.3505025784334
4500,985304.9228824588,202196.29163675313,3806.254813546727
4600,985007.2432443867,182737.73424021754,3788.5251921826007
4700,984347.6998040929,155939.6478026704,3820.419632064867
4800,983846.7906133917,143348.81458005134,3866.537538066241
4900,983778.8170629034,214482.61654359387,3891.6902807856236
5000,983207.3176593616,180366.84912826927,3855.341804964208
