milliseconds,A,R,E,G
0,0.9719038672310757,50.91576357201962,-181.77288837244018,100349750.69510506
100,2.920047882970167,-17.855964363324226,39.00845285378054,61742162.96944774
200,3.801914726108201,102.32767988672275,444.3840275155262,35834496.60214547
300,4.425420632729405,246.10033208007448,729.5900779439305,22002212.19988026
400,4.555060356234967,251.21944958083114,1479.0486743755323,13591263.438893305
500,4.57276772986682,382.0292506320674,1579.3188823584017,8005833.074350616
600,4.517835065567007,419.97677728023024,2389.6771563004095,5890344.025840867
700,4.551230234126693,539.7363153841128,2702.220377552174,3566783.5189035116
800,4.340421524408574,703.8741714644519,2764.4778304273777,4183135.6252334155
900,4.212346367357573,695.8512920705629,3113.973027912077,905283.4288350008
1000,4.101784475059136,789.0147451052924,3592.2267124376986,3231939.050074854
1100,3.8909622236769,978.0626742415609,4123.430215255909,2069254.8191962382
1200,3.6542878088611057,986.6313159692658,4280.054146437734,1350812.5553975175
1300,3.5007318133738474,1100.2869615195134,4302.148461491949,142453.59832325578
1400,3.5316581161123612,1166.2061285242578,4822.430722797876,2903879.5272714887
1500,3.319390922279595,1202.3821762019004,5120.614496799841,2501965.053543629
1600,3.177274659782343,1301.8753340942587,5340.369476080647,775179.0203689653
1700,3.1258012932932937,1324.1850897810168,5110.322062732569,2299740.3432118255
1800,2.968647295738096,1397.1819377449615,5630.828245733068,2982101.048948824
1900,2.8830598334702984,1458.3337046652923,5530.9302920950895,2319999.9549867706
2000,2.8915375352273016,1505.0264948845554,5859.708261886505,1182108.3390198252
2100,2.7208003762396586,1491.461088561774,5718.793232141685,2554572.924778078
2200,2.608207277212474,1555.4105448700911,6140.017225239902,3890142.9702231996
2300,2.5513041675989143,1593.5720576842875,6276.962539346594,1563511.2467790395
2400,2.4322443315395352,1690.9110551747744,6191.660552593737,1507506.1770974332
2500,2.527416204408604,1716.88997345963,6514.262817728306,3948542.309054521
2600,2.3990547882835838,1723.1993560922415,6443.919279463988,2039668.4471341004
2700,2.2707609916610383,1767.7851373565893,6475.839375866341,3452235.1714424067
2800,2.354418982843697,1800.5209632823573,6690.283589932046,4076770.2717010817
2900,2.2591502533298646,1821.0652306634993,6504.814123535145,2355940.913983403
3000,2.109101984317962,1790.2261061175911,6831.350989507236,3648149.7794352532
3100,2.0915164627923617,1820.3782420936654,6842.097314790952,1732569.9265090078
3200,2.0215143418315584,1852.0648304027332,6704.880498323665,1747001.4964336818
3300,2.134689474545763,1869.0351589837155,6792.9519629733095,3534250.225889228
3400,1.9496466497128189,1884.108499084477,6776.098847738792,4242372.5094075985
3500,1.968706085415822,1873.0824407817308,6820.782983836881,3591217.480584527
3600,2.0281526483442964,1926.983751871394,6987.853383423781,2854880.2161639957
3700,1.9036020897604526,1878.3794528331496,6837.661019781477,4215324.822108547
3800,1.9866833307710303,1891.1631644128975,6857.911104961734,1980175.9911026503
3900,1.8410978127162354,1988.832517924811,7081.41673149642,3075007.3180719865
4000,1.8980237933934352,1977.1031467800926,6989.657601551206,1659553.9763671444
4100,1.7996331820690359,2002.2472282580125,7030.489234795015,1701630.0793607093
4200,1.7562209056069864,1957.0186496528524,6890.223339789138,2750606.2211433197
4300,1.757666657872426,2023.8270261960142,6905.11934720113,3322282.049046146
4400,1.7142487284262302,1967.3304778569009,6990.959114692209,2673043.308056796
4500,1.7063752430304193,1922.6355246321953,6888.84759001823,2768900.485493074
4600,1.6674105722356405,2041.1734527869198,7004.764862040842,2336928.1182803633
4700,1.803501162695458,2033.4254037030175,6957.434758526896,1430262.4716144982
4800,1.6936515176527287,2007.853619067066,7058.0189713208465,1931685.2451763412
4900,1.7620870251770886,2043.346368119881,7008.571334728731,4183588.105398127
5000,1.685234456192713,1935.1247696628684,7024.842158071775,3925234.5625836747
