milliseconds,A,R,E,G
0,1.0274316368117027,-5.921800163215431,196.29147331184575,101443058.8611572
100,2.9634357304462084,-12.537596532771758,3.2943910355412243,60850825.08765099
200,3.803428084238156,82.68766297271061,534.2851188248118,36712487.84487901
300,4.3673911346644285,243.7943316052809,792.8308817132161,22998067.57094133
400,4.702208470312409,285.52654819503607,1436.5209489026768,13410941.472764706
500,4.606942439189268,329.29317183050665,1698.6837258510727,8657562.337634427
600,4.50727050492297,453.4993647710711,2212.7729248986852,6767187.526054581
700,4.564160521798148,535.623114784805,2744.478306333791,5333741.736382459
800,4.284701030665555,697.7692665113948,3165.6720301079745,3691389.867457811
900,4.18130704319524,785.9855981907332,3271.756636449956,3590086.2374517205
1000,4.093904889548526,791.268182778148,3544.386614920796,2788283.9721420393
1100,3.9144840270799866,863.448803794934,4045.7067299779455,912904.4080091802
1200,3.696719994181777,960.9455868089951,4252.023075911169,164290.76030415297
1300,3.5645395864730745,1058.1354476851754,4402.171777015079,1930439.2653263118
1400,3.4798325164549166,1175.4984558964527,4623.177247171325,1724041.8599471734
1500,3.3137914081015563,1181.6657153241943,4842.249958976423,2607022.300475887
1600,3.180619524746735,1271.2123611399584,5105.882664415815,429776.6792874066
1700,3.1342609004430706,1336.1521765838568,5382.186637372963,2593731.5152855236
1800,3.058664923242207,1316.7605908995681,5677.2973448098855,424541.8015641719
1900,2.99453067846301,1369.3523591406088,5704.458425365257,722494.1391340771
2000,2.779575302910932,1454.7758956849557,5671.1418627169,3746875.8553027418
2100,2.7874965122970865,1519.4133408558953,6114.889006606462,881853.5030093112
2200,2.5517845753941875,1598.3244498887764,6187.924557382272,3246503.226047783
2300,2.5748367083067127,1580.8931909185092,6340.617408127073,3168817.4302555253
2400,2.490957409806965,1609.7354048455668,6284.9666384345755,2308055.3753254577
2500,2.3510910046794034,1672.8788139752098,6440.279351485731,2250685.1889045727
2600,2.379465119392621,1640.2730389843114,6264.744048064743,3217290.695928721
2700,2.4131564779226067,1735.417603536015,6429.308363061709,2045466.895136464
2800,2.3597209306936064,1786.016585580284,6352.822014340114,4124804.9391879295
2900,2.1926031114327253,1716.395111016483,6419.908829635664,1957965.9834986997
3000,2.245731595419858,1789.8306174134984,6795.688167990811,2152762.208423713
3100,2.2096672593965727,1813.5632115296494,6920.346743929799,2933704.1348411595
3200,2.0377785874560566,1838.2432299143197,6616.891776642157,4256496.776383865
3300,2.0525106963655855,1892.3050934127743,6919.785966008856,3181034.2155085057
3400,1.9346925267829589,1925.927353457261,6670.392258730748,1126776.0223932415
3500,1.9430952301347435,1866.1669158126656,6697.290240741372,1784645.1136586112
3600,1.9794318806495497,1883.9556158904677,6915.48836282044,4241484.471037315
3700,1.992100789035324,1860.2371800050225,6970.701931145963,3218179.2961593843
3800,1.9238621536641647,1972.377091516626,6955.944339524791,1908976.5418862444
3900,1.8943507783140214,1911.6762845716562,7130.51266790807,4264679.179414587
4000,1.9446608491510136,1946.6582812347397,6978.0262823161565,3915340.8816825068
4100,1.8509232799810615,1904.329885688138,6972.256007173959,2493179.6237973073
4200,1.8730072103558886,1936.609712236517,6821.723926802758,4016402.411080623
4300,1.7254928616552385,1976.1258239004985,7048.738778737372,2591218.2123851595
4400,1.8517440754080985,2003.428956260219,6962.83729637818,4295521.159233436
4500,1.7938916558895068,2040.1081500074527,6929.8201880498855,1670584.3549783807
4600,1.6497577794976934,1956.7422522618049,6932.4918171503205,2395383.8161263736
4700,1.7535547878351672,2030.8963563062978,7134.7787305484435,3701064.8347417396
4800,1.7320056668228998,1975.7338490215525,6764.1270201482475,1745458.7157657947
4900,1.6848106968808474,2051.5296585242177,7065.742481025573,2541278.15480057
5000,1.6041607907205169,2038.7743725838536,7055.095389958769,1934422.156417455
