milliseconds,I,A,D_II,D_IA,R,aux
0,10.0,10.0,10.0,10.0,1.0,0.0
100,10.022310467848365,10.060626944217328,10.019924272641887,10.033358955251675,1.090663944591689,0.0
200,10.033471649537335,10.10458251491127,10.041638206208669,10.083361094426731,1.1819686901349313,0.0
300,10.04672711882726,10.145582658662484,10.065405497051042,10.136290477459223,1.27380234000828,0.0
400,10.061716048304955,10.18531349180412,10.092274109883057,10.190460996469671,1.3661353163042051,0.0
500,10.078365724018395,10.224083890568174,10.12245822505486,10.24556378367719,1.4589501362559716,0.0
600,10.096668011463036,10.26192147497036,10.1559982832946,10.301571227514659,1.5522315851070103,0.0
700,10.116620361578384,10.298831529871276,10.192919930974021,10.3584780515673,1.6459643910698591,0.0
800,10.138220662641483,10.334812358833233,10.233244098969672,10.41628596071534,1.7401330544920683,0.0
900,10.161466993542634,10.369861871666243,10.276991274725809,10.474997053590837,1.8347220441076098,0.0
1000,10.186357542563572,10.403971153347182,10.324176928475534,10.534620253653987,1.9297155085846225,0.0
1100,10.212889475036851,10.4371378306567,10.374820570918486,10.595157942562093,2.025097628782673,0.0
1200,10.2410593160337,10.469356917354387,10.428939127862698,10.656615114988417,2.1208522425488097,0.0
1300,10.270862191130092,10.500627234213551,10.486551244119639,10.718992958589807,2.216963057294467,0.0
1400,10.302293348873778,10.530946957276019,10.547675152060012,10.782293305754497,2.313413784180771,0.0
1500,10.335346135911902,10.560317057119729,10.612329460617488,10.84651519432854,2.410187860477651,0.0
1600,10.370013863347216,10.588738161318926,10.68053227718337,10.911658005160682,2.507268774209505,0.0
1700,10.406288653812409,10.616212415072388,10.752301652663416,10.97771960147083,2.6046398728134084,0.0
1800,10.444163849667992,10.642740507772615,10.82765582873291,11.044699302289821,2.7022846322555356,0.0
1900,10.48362937038381,10.668327018912205,10.906612894317314,11.11259253653686,2.8001863953136104,0.0
2000,10.524675601115797,10.692975997139746,10.989190962246303,11.181395263976754,2.8983285247424018,0.0
2100,10.56729380921894,10.716690488940609,11.07540818383283,11.251104446540483,2.9966944170973604,0.0
2200,10.611472724739507,10.739477511937505,11.16528182132469,11.321713075009145,3.095267617602639,0.0
2300,10.657201362522036,10.76134330246557,11.258829487635705,11.393214921454094,3.19403159129998,0.0
2400,10.704468394064515,10.782294473872048,11.356068796851085,11.46560338093349,3.292969794778359,0.0
2500,10.753260508078672,10.802338875445093,11.45701669071265,11.538870612557531,3.3920661871507267,0.0
2600,10.803564623269112,10.82148503031415,11.561690281815839,11.61300810159506,3.491304451037369,0.0
2700,10.855366882411376,10.83974223642808,11.67010648733817,11.688006558492544,3.590668369825012,0.0
2800,10.90865463839701,10.857119666952467,11.782280973071684,11.763856818477517,3.69014242900993,0.0
2900,10.963412985282277,10.873627980971229,11.898230097944683,11.840548230855926,3.7897106901108115,0.0
3000,11.019627002859453,10.889278230792435,12.01796969874381,11.918069751707181,3.8893575140276635,0.0
3100,11.07728097637672,10.904080838199953,12.141515477583374,11.996410967633537,3.989067897093107,0.0
3200,11.136358961780173,10.918048014980855,12.268882763081352,12.075559675230348,4.088826524882039,0.0
3300,11.196844658944926,10.93119209076937,12.400086558877506,12.155503553243719,4.188618446197404,0.0
3400,11.258723450322139,10.943525457448779,12.535140636092057,12.236230218168515,4.288429256287882,0.0
3500,11.321978240818314,10.955061492781404,12.674059389107311,12.317726300617784,4.388244391581561,0.0
3600,11.386591998449983,10.965813716862803,12.816856662395837,12.399978288868924,4.4880496741934035,0.0
3700,11.452545866080563,10.975795196731834,12.96354644830255,12.482973124253382,4.587831404923809,0.0
3800,11.519822124263445,10.985020382104226,13.114141920602599,12.566696365423443,4.687575850272013,0.0
3900,11.588403162102361,10.993503653289231,13.268655587259682,12.651133640435258,4.7872696782447814,0.0
4000,11.658273943379033,11.00125940630385,13.427098161921739,12.736270561634575,4.886899987774758,0.0
4100,11.729415945409825,11.008302783314596,13.58948154856358,12.822091995215303,4.986453939194519,0.0
4200,11.801809912644444,11.014648708967993,13.755817425143682,12.90858302488875,5.085919102888692,0.0
4300,11.875433476408261,11.02031175137074,13.926118374978516,12.995729090903518,5.185283436026003,0.0
4400,11.950267557641743,11.02530755195342,14.100394944375127,13.083514560181833,5.284535043037181,0.0
4500,12.02629592452449,11.02965136969469,14.278655699614593,13.171924182095351,5.383662431831324,0.0
4600,12.103506283893523,11.033358395240034,14.460906732981334,13.260942774346404,5.4826544605358825,0.0
4700,12.181880058425413,11.036444372113213,14.647156673768263,13.350554601756508,5.581500206996214,0.0
4800,12.261393522250907,11.038924698127033,14.837416289635762,13.440744274855664,5.680189131319702,0.0
4900,12.342019961541473,11.040814765718132,15.031697337706396,13.531496409547545,5.778711019290172,0.0
5000,12.423739329778844,11.042130353210107,15.230007645479757,13.622795235846333,5.8770559310914905,0.0
