milliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2750000.0,200000.0,7200000.0
100,2752471.3729332234,199159.23018225728,7204936.1026642695
200,2754945.663654501,198321.73367088567,7209867.245203981
300,2757422.918514401,197487.70903851025,7214793.095268609
400,2759902.9912084243,196657.16271874524,7219713.60651827
500,2762385.686540201,195830.0780290819,7224628.760651481
600,2764871.118082078,195006.46241752605,7229538.572208083
700,2767358.9090942987,194186.27716016804,7234443.016645442
800,2769849.1041811104,193369.52684174004,7239342.096869292
900,2772341.634347153,192556.20329584123,7244235.809977193
1000,2774836.1354220947,191746.2659984971,7249124.13682694
1100,2777332.798514897,190939.73621584062,7254007.08746396
1200,2779831.2349663987,190136.56928471726,7258884.642838214
1300,2782331.4532807036,189336.76618238474,7263756.803366527
1400,2784833.3847656203,188540.31849838427,7268623.565810845
1500,2787336.4666361557,187747.15956841604,7273484.90308314
1600,2789840.9269926753,186957.31641194815,7278340.8261623625
1700,2792346.730676655,186170.78486430238,7283191.33335626
1800,2794853.842529571,185387.56076080058,7288036.422972579
1900,2797362.2273929,184607.63993676455,7292876.093319063
2000,2799871.4912671708,183830.97410095017,7297710.325533425
2100,2802381.4371466404,183057.53918637426,7302539.11017925
2200,2804892.185497159,182287.35016544216,7307362.45301069
2300,2807403.6508510457,181520.39668697343,7312180.34992827
2400,2809915.7477406207,180756.66839978774,7316992.796832513
2500,2812428.3906982024,179996.15495270464,7321799.789623942
2600,2814941.255504072,179238.8132765247,7326601.312529801
2700,2817454.340908635,178484.64456111626,7331397.365568281
2800,2819967.5645711455,177733.63888380682,7336187.94479279
2900,2822480.821030659,176985.78315358594,7340973.045126324
3000,2824994.004826231,176241.0642794432,7345752.6614918765
3100,2827507.01052934,175499.468135644,7350526.788704838
3200,2830019.732823119,174760.9770333084,7355295.421210055
3300,2832532.066165634,174025.5804660193,7360058.5541993035
3400,2835043.9051098027,173293.26490034722,7364816.18254957
3500,2837555.1442085444,172564.01680286246,7369568.30113784
3600,2840065.6780147776,171837.82264013545,7374314.904841101
3700,2842575.4457905516,171114.67136978297,7379055.990364969
3800,2845084.371978515,170394.55112373334,7383791.553808939
3900,2847592.3266843376,169677.44700643627,7388521.589050089
4000,2850099.2114207502,168963.34587224,7393246.091250067
4100,2852604.9277004814,168252.23457549285,7397965.0555705195
4200,2855109.377036262,167544.09997054303,7402678.477173093
4300,2857612.5458997027,166838.9343840273,7407386.354837984
4400,2860114.313313868,166136.72322171152,7412088.682768963
4500,2862614.575739707,165437.45301255365,7416785.455912514
4600,2865113.242322832,164741.11110254368,7421476.6697553815
4700,2867610.222208854,164047.68483767164,7426162.31978431
4800,2870105.439455395,163357.16245120956,7430842.402140956
4900,2872598.899487924,162669.53701791176,7435516.916540531
5000,2875090.458430969,161984.79272895164,7440185.856141173
