miliseconds,cpep,cglcex,cg6p,cpyr,cf6p,cg1p,cpg,cfdp,csed7p,cgap,ce4p,cxyl5p,crib5p,cdhap,cpgp,cpg3,cpg2,cribu5p,accoa,malcoa,fer,fer_ext,fercoa,ferdicoa,cur,cur_ext
0,2.691914710925595,55.49949894989668,3.4874324207558995,2.659718252540813,0.5988254262052024,0.652351873403068,0.8083812850628407,0.28673554729288614,0.27563699365123034,0.214785185047477,0.0979366075443295,0.13876059053764683,0.3963485833397566,0.1697031571617622,0.00794187304427563,2.132536475547991,0.39524865928362074,0.11135838580728849,1.0324922719768024,0.9978669143852067,0.6919989810864168,272.5428767511288,-68.46970143674599,0.000282261549598377,-1.3436467029526199e-05,-0.00012260074352358127
100,1.904265613908369,55.48025834754018,4.523000929225739,3.9224411145443527,0.7665948796746326,0.6546309799538023,0.8097556062798787,0.29539628926504674,0.2863872535042722,0.21938974352583948,0.1013693977185675,0.1489310232790683,0.3967830625445156,0.1716656249343368,0.006433293886716353,1.7324456135627884,0.30674194572163366,0.11248353799479571,1.0427374664008553,0.8781553835886228,266.06045166466157,265.70318012951253,33.05468945085625,0.02592804119109243,0.0030378920419232014,0.0016436892360478293
200,1.6933471432885598,55.46962360059591,4.79915491116591,4.4034704847382855,0.8132748180007678,0.6558058871100964,0.8138390638762336,0.4747906452277533,0.30261461554850916,0.24616659443090608,0.10850084209968201,0.16541034126675552,0.39905817851775965,0.1998420110328076,0.005531646755436938,1.4722200185933227,0.26500251748367426,0.11721934298586308,1.110215250410964,0.7399526552834673,265.8504958738297,264.3315094874405,223.79153956519133,0.028278950980013873,0.004718581538731374,0.003735251426300352
300,1.5492368811899624,55.46469926520282,4.893520930912398,4.684237121311896,0.8197240527896174,0.6575198761898369,0.8171509841876579,0.6358436580936007,0.31230761836075877,0.28568778917158427,0.11880108023956357,0.18091310497242458,0.4078559809594568,0.24597004228894864,0.004918578014463038,1.3049595162867562,0.23973700988155255,0.12410800469812089,1.1692282766042037,0.5999962571267208,262.04737635179777,263.67345217344945,241.71625912403368,0.028543921337850803,0.00675668152997495,0.005420880069236849
400,1.3899129683422526,55.46227063984919,4.842726421552704,4.893619863537074,0.8171005072556452,0.6603626148831612,0.8216116936484764,0.8212864343077101,0.309326610409357,0.3288049564021682,0.13186362800189252,0.19421463215041146,0.4191523688475244,0.2824973417060553,0.004492468888734225,1.1673883795832374,0.21393113466120464,0.13098078257135845,1.3404959497133544,0.4707654169548441,262.7821088965623,262.23585204488194,448.8129028572429,0.028512654932783276,0.008991969120637853,0.007550954447347579
500,1.2920479966600964,55.45673275596769,4.79576599376188,4.999792366374688,0.8098233328259928,0.6596849993540214,0.8251071650734659,1.0688371094610016,0.3050534240505438,0.3736922533825025,0.14240240369622498,0.20495466049488864,0.4366246268241469,0.32227115607299994,0.004244183839523278,1.062890651010545,0.20054630006411311,0.13801151902079484,1.4835544196374055,0.3405918098518952,258.4283191299651,259.371254427719,419.09379246537867,0.02814603220354841,0.010765004013599758,0.00941729947110692
600,1.1537640359190098,55.45277209521829,4.742906068826618,5.202417028924215,0.7952514082883172,0.6621612574256673,0.8286994439206855,1.3461292112771446,0.2935704789469445,0.4123970396767968,0.15359957424376375,0.21117822342270332,0.45461100714826835,0.3660982620101713,0.003834029673183669,0.9855508950390934,0.1839341761364169,0.14318764085832453,1.4655313634976133,0.2061481763342389,257.8877475669072,258.82716301641676,506.5009785901382,0.027446639926504188,0.012756699709614095,0.011406258312545934
700,1.0593506949734486,55.44809958415938,4.6551214386580355,5.339278906753751,0.7832147821190627,0.6628765835609186,0.8321323951248618,1.5962646907598406,0.2830967037323434,0.44561122454054053,0.16153843119327566,0.21411333815144185,0.4741502201868028,0.4052751415058933,0.0035998630464206933,0.9105898080027675,0.16756128781315852,0.14758190987887038,1.668014805366226,0.08012787086305591,257.46256923791054,256.6470771234944,643.1276184828066,0.025124918818145534,0.014848635132870833,0.013546014449236107
800,0.9452248722199198,55.443590502665835,4.565339897984519,5.446197614522317,0.7650813778798407,0.661180870222667,0.8347786713623023,1.8016233137577504,0.2730091223316178,0.46972054801867374,0.16802219049869024,0.21655994254232935,0.48880550124412026,0.4325353717673784,0.0033694253114286577,0.8558889839181096,0.1527273269164618,0.1512662706627829,1.7672338665057934,-0.008647255820584027,255.1320832975287,255.93684675692666,780.3312834163345,0.007613763992870795,0.015898327013343146,0.015179567102048656
900,0.8379666219616752,55.4411974963674,4.4554363629043685,5.533080248360894,0.7488688960268799,0.6633003449088513,0.8377117608754421,2.0389480798677146,0.26474337665391373,0.4925942203269183,0.17187638599556748,0.21606365958505364,0.5035942747582455,0.46490084789793695,0.0029813120042050537,0.7434702582043121,0.136164475922807,0.15330697535985835,1.898098914576519,0.0026021735656358218,254.9467337416532,254.44423375628023,844.2197400914819,0.00030198718821080424,0.015315118795852987,0.01548423637520748
