milliseconds,II_f,II_l,mIIa_f,mIIa_l,V_f,V_l,Va_f,Va_l,VII_f,VII_l,VIIa_f,VIIa_l,VIII_f,VIII_l,VIIIa_f,VIIIa_l,IX_f,IX_l,IXa_f,IXa_l,X_f,X_l,Xa_f,Xa_l,APC_f,APC_l,PS_f,PS_l,VIIIai_f,VIIIai_l,Vai_f,Vai_l,PC_f,PC_l,TF_l,TF_VIIa_l,TF_VII_l,TF_VIIa_IX_l,TF_VIIa_IXa_l,TF_VIIa_X_l,TF_VIIa_Xa_l,TF_VII_Xa_l,IXa_VIIIa_l,Xa_Va_l,IXa_VIIIa_X_l,V_Xa_l,VIII_Xa_l,IIa_f,V_IIa_l,VIII_IIa_l,Xa_Va_II_l,Xa_Va_mIIa_l,XI_f,XI_IIa_l,XIa_l,APC_PS_l,APC_PS_VIIIa_l,TFPI_f,AT_f,IIa_AT_f,TFPI_Xa_l,TFPI_Xa_TF_VIIa_l,APC_PS_Va_l,IXa_AT_f,Xa_AT_f,VII_Xa_l,V_mIIa_l,VIII_mIIa_l,TM_l,IIa_TM_l,IIa_TM_PC_l,mIIa_AT_l,XIa_IX_l,LIPID
0,1403.2927207763908,3.833971012882802,2.5045650605207487e-14,8.179231738872401e-11,19.96993504312826,-0.032937062661873656,6.083814674339471e-11,-2.765574922309739e-07,9.930152544492156,0.004041643608381795,0.09986478409549379,0.00033203163923700387,0.6991867152462427,-0.004764964149325532,1.3876619559748694e-12,-2.3704848313387596e-09,89.97313690267681,-0.1616581380906481,-2.7342808926911053e-11,-1.6122026647204633e-06,170.551296798233,0.3377055995816312,-2.476272699433978e-08,-2.1094241283237647e-07,-1.5710247983235905e-15,-2.537342959334842e-13,301.4730855623713,-0.03242250636767631,-2.2116006072429053e-24,1.5638372687058963e-21,-5.540584607252811e-23,1.8852337017266437e-19,60.156104951104496,0.2418020387999744,0.005004720313610013,-4.702943786682407e-06,-5.15188497668944e-06,-1.8518000737071558e-06,0.0,-1.2757398684701866e-06,4.632106770438261e-07,2.9208035719866197e-12,1.0541111010159656e-14,-1.4342273082034236e-11,3.863835218237835e-15,-1.7552043002001934e-08,5.925435786367583e-08,1.2745021596190471e-11,2.9805113048415533e-12,3.070395384550149e-14,-5.8010025372755015e-12,1.5871144158491123e-12,30.000000000004988,1.0631843037099745e-12,1.6685943622318892e-12,5.780523173476938e-13,-6.826937029021877e-21,2.499999998382002,3400.0000000007,1.2542242347449826e-12,1.4016221858329757e-09,-4.741889790159283e-15,2.996586594731841e-19,6.017691289005933e-13,6.334077427531746e-10,-2.3063883372810672e-08,-4.1519646180662626e-12,-3.250763117973049e-13,1.0000000000014264,2.1992811900052516e-12,1.7094892672399717e-12,-1.5958890709848121e-15,-4.625489025979513e-14,850102.7924192238
100,111.56517863297772,1282.9705744921855,1.4739408797187292e-13,7.788520181406525e-11,0.08518367360469101,19.86592715140087,5.271107492012051e-11,4.806112583070697e-08,0.05196914496650756,9.934446834161577,0.00042257323193296007,0.10047573053473587,-0.0020496610736574243,0.7033982498399406,1.2105801463083426e-12,-6.408742859826033e-10,0.3695631640479275,90.18378432167141,2.346831383460209e-10,-1.055933780801364e-06,5.404499830706004,165.452516921305,1.6207045759685687e-08,-3.1259285011713695e-06,2.1701336639109276e-15,2.604586447511152e-13,-1.4919358448345845,299.5495776545273,2.416262132029802e-24,3.59927032098921e-22,4.810964052012161e-23,1.2233744780983039e-19,1.854265727945938,58.29688166097107,0.004974088604282996,2.2437532501110015e-05,2.7581935132507354e-05,-2.6790306076670658e-08,0.0,6.4425491819459776e-06,3.3041109839445412e-06,1.8499634355218408e-13,1.3473486225705202e-14,-1.534298344722705e-11,1.1757746490235974e-14,-3.975574299262569e-06,-1.4809779565789065e-08,1.0541001335527324e-11,3.419060169631791e-13,5.42170319902725e-14,-6.495957088412149e-13,3.440535879468247e-13,30.000000000001794,2.865308024599796e-12,-6.181218511954454e-13,-1.2486373034686721e-12,1.4068844542580583e-20,2.4999999961374533,3399.999999999636,5.071775633009979e-13,-1.2677697428179313e-09,-5.642845130983969e-15,3.9822548212180635e-19,-1.2272683465566888e-12,-5.457270241969543e-10,-1.85068342187413e-08,-8.202015126831055e-12,2.1186332808953922e-13,1.0000000000037312,-3.732757171126083e-12,1.3949723968223063e-12,2.380407904761705e-16,4.4706104969065804e-13,655606.0877878835
200,46.22649657787842,1356.7274124187186,-1.3791577508253143e-13,-7.215221145751315e-11,0.10828200629389347,19.851604717241937,9.800007141912618e-11,2.439311492579462e-07,0.05196562599853272,9.923257722989934,0.0006603850529169434,0.10011719733334527,0.0015229162771650416,0.6956275845213336,-1.5274094861377266e-12,2.3583578890722665e-09,-0.5539304910968808,89.64332231618016,1.1740009145750296e-10,-1.2099203906566785e-06,4.745455613280248,165.05051432234316,5.555282111347788e-08,-3.6232559957982145e-06,1.6818225182277634e-15,9.41227258638617e-14,-0.9069250209508674,299.63933670129916,-1.6028354599172652e-24,-5.416583703321463e-22,3.218619059584697e-23,1.0735179177731298e-19,1.8141855386095656,57.77997712563361,0.004904616404923554,3.0049561254229056e-05,3.834958704245332e-05,2.70632742443685e-06,0.0,1.4511336940603237e-05,1.4687522941190551e-06,-5.098526574334999e-13,-9.517451279322793e-15,-5.9872914136662665e-12,3.1515887377831047e-15,-5.273236523087146e-07,-2.72613781057296e-08,7.079515738556017e-12,5.613919066093342e-13,1.3638160020337458e-15,1.3089937031961938e-11,-5.331190700346117e-13,29.999999999999943,-7.631393076663954e-13,1.7376406700707773e-12,2.869146449620028e-12,4.3310291983606465e-21,2.4999999983294026,3399.999999999818,4.484411234878876e-13,3.3072168654154826e-09,1.3513099684960617e-14,1.1727614401512295e-18,-1.4218997936493767e-12,-7.249035803808341e-10,1.730795589711366e-08,8.855077040070442e-12,-6.167406629197578e-14,0.9999999999996712,7.586879759830149e-13,-9.560444336469327e-13,2.4955289657878096e-16,-6.656740403572012e-14,648768.5320376339
300,39.21258808179475,1350.1983586047158,-9.057103074741972e-14,6.171305132461098e-11,0.042670547324818384,19.883649627480786,1.0347935150642518e-10,2.1691601546024997e-07,0.047619718353124244,9.93266598203737,0.0005182933275439442,0.10004644595426335,0.004883298802656217,0.6999564970913797,-3.04853671122129e-12,-1.4605388966861826e-09,-0.03536945033091854,90.2459254230378,-6.046674083721044e-10,-6.285124193579532e-07,5.893177010927802,164.09620820386195,5.8869624022964595e-08,1.8310357614781924e-06,2.4282991619246883e-15,4.0082972389975477e-14,-1.8954907070538316,299.0263529969785,-1.962979889489649e-24,2.2947793505645884e-22,8.088509676854437e-23,6.629476924740219e-21,2.075090500468461,57.88580222307209,0.0048577882410397975,4.20678355908435e-05,6.22119611564779e-05,2.996270182546299e-06,0.0,1.8285291903464306e-05,7.683291490837085e-07,8.752224553443812e-13,1.2764174545053858e-15,1.0038528698704907e-11,-1.2297503878454959e-14,-4.778260239009173e-06,-9.027925852705683e-10,-8.068978252242117e-12,-2.586424142655985e-12,1.8725350181351313e-14,-7.724448563041003e-12,1.975702061951391e-13,30.00000000000475,1.7771367641527832e-12,2.0357933141772234e-12,-1.8667023147857563e-12,-1.2570835809395513e-20,2.499999997265533,3400.000000000118,1.1111820534662384e-12,4.111140715275929e-09,1.4663262360101536e-14,-4.957628886433544e-19,-1.328971799764262e-12,2.6818419441796354e-10,1.1080192615706308e-08,3.75178354252616e-12,2.0464903033201808e-13,0.9999999999993276,-2.9060276969359867e-12,1.2743152044790352e-12,-6.615258413990771e-16,-2.8293774402459444e-13,650924.7291100057
400,46.82195444753857,1350.981381596615,1.341741438699795e-13,-1.6678799346527416e-11,-0.008163726760624193,20.07602849065284,1.2440701003078415e-10,-2.296136428862502e-07,-0.03223425106044907,9.965756836948833,0.00013918368654686564,0.0994110978074897,-0.00021638720497219928,0.697477230557756,-3.111870030416915e-12,6.717292217324821e-10,-0.1333818152430311,89.82705697153428,-5.256167233992563e-10,2.291248610624339e-06,5.591785068769259,166.11774950487282,-2.239856692230266e-08,3.1649734339896613e-06,-2.9369588020806208e-15,1.826642316278027e-13,0.3697351607558219,300.01154151616635,-5.667847776098984e-25,4.26598518006272e-23,-7.609166583113545e-23,-6.91398567705027e-21,2.144058922052423,57.62890869103935,0.004821922689387317,6.077279591851085e-05,0.00010954120475535387,9.99612202008447e-06,0.0,2.834625288449138e-05,9.130191991957083e-06,1.9049615008700123e-12,5.937311894943924e-16,-1.6045658131542123e-12,-9.599212673192797e-15,1.981512491220503e-07,-3.312866656899707e-08,-1.0193354186940666e-11,2.712550006886113e-12,-9.924023352912213e-15,-9.220718432488193e-12,2.7178760167593822e-12,30.000000000001148,9.820498117316457e-13,-7.455397466314717e-13,9.953923694683636e-13,-1.7194955312676883e-20,2.4999999960774253,3399.9999999998367,-3.360636575845291e-13,-2.148522369992597e-09,1.4078552516150137e-14,1.419701464410594e-18,5.43935326459388e-13,6.911102188155331e-10,-1.9157623163816854e-08,-2.0034446107915597e-11,4.1955740266517537e-13,0.999999999995504,4.480420505930156e-12,1.338906100274237e-12,4.331618112479469e-16,4.330046292547487e-13,650297.5499656441
500,53.74839109694813,1350.4893822739743,5.915658761389965e-14,8.779313422498966e-11,0.10049628828435431,20.056761337090975,-1.289241186942631e-10,-2.604970872882531e-07,0.07214596075006746,9.993888149907624,-5.3343243213559055e-05,0.10012264353083478,-0.004239079248218755,0.7026629659964924,9.915723416104787e-13,-6.948031069019829e-10,0.2118775040177059,89.49788267453567,6.895758358883858e-10,9.230011046731024e-07,4.723283726270033,165.7709077643666,1.7766282522114866e-08,-2.20404648240351e-06,-1.4338778878597757e-15,-2.1792862116530014e-13,-0.0941156073147609,300.9605289918738,-8.915282688616939e-25,1.801148543853802e-21,5.685240971749472e-25,-1.2956303973456199e-19,2.242905061530202,57.6727615463074,0.0047730487691069485,6.85120299331435e-05,0.00010710661119061879,1.0430190981785886e-05,0.0,3.0251758837281374e-05,8.595859994658723e-06,-1.2705237044389248e-12,-8.180518391151867e-15,9.470682020742811e-12,-8.185553821820052e-15,-2.018112592111456e-06,6.171292925268914e-08,-6.709367306020773e-12,1.1914247361286695e-12,1.5674561122318983e-14,-1.6853231011992464e-11,-2.8496207982357677e-12,30.00000000000501,1.7181010347564838e-12,-5.946483609170208e-14,-1.2678540463820471e-12,2.680992192092111e-22,2.5000000013962547,3400.0000000004957,1.496106473508926e-13,-5.632034663694844e-10,6.36584589039425e-15,1.1251426555822155e-18,-4.694026040362808e-13,8.157586256122754e-10,2.7435688985918645e-08,4.915046562720149e-12,6.085196882839499e-14,1.0000000000054121,3.476770596467439e-12,1.5358870124851563e-12,-3.9067906335876876e-16,-2.920351816902278e-13,648820.3648858474
600,54.5300696707605,1352.2411404668392,-1.388220357844525e-13,1.5187916568266037e-11,0.010317676018931517,20.071713677338145,3.8830053407771984e-11,2.8448139964621807e-07,-0.018865158775309962,9.915602432662808,0.0006865038334128381,0.10017729922085257,-0.0011561438241442972,0.6981620661953502,3.3136770762434314e-12,1.2267674283536953e-09,0.5999035887124577,89.99021297101164,4.790870503786065e-10,1.896208450116731e-06,3.722685171555339,165.4373084341566,4.245966195112087e-08,-9.01631601547233e-07,-3.3410424199004086e-15,-1.1443343807347896e-14,0.5920369616911763,299.78687609859884,-1.8175426486274907e-24,1.3928057870517724e-21,-3.750819606002192e-24,-1.8470032326463932e-19,2.0541770684532255,57.60112846470099,0.0047045383573935074,8.288563449828765e-05,0.00013174433678475128,1.414208024705475e-05,0.0,3.907528046495054e-05,1.1904805860329905e-05,-2.1712211363149204e-12,1.9317192537173113e-15,-2.804773673369865e-12,9.518469781467592e-15,2.3276887471894644e-06,-8.024728374997508e-08,7.884832649712664e-12,-9.52720614955153e-13,4.3292020856641324e-14,-1.3918321249810437e-11,4.1581142518284997e-13,29.999999999998277,2.5636920962254112e-12,-3.0105280457217926e-13,2.752519484136431e-12,-6.012828098367267e-21,2.4999999989917834,3400.000000000056,-1.051103641882339e-12,-2.3270900756127697e-09,4.602192317623585e-15,4.7894634195851824e-20,-1.3467931407226199e-12,-4.618937573798469e-10,4.4492571804662763e-08,-1.9843998553652683e-11,4.3798155939391707e-13,0.9999999999946434,2.3600625625823548e-12,-6.692619250341926e-13,-1.7950353790401286e-16,2.0472420032939303e-14,649942.7845088566
700,43.959161920202234,1353.938580541577,1.3720519999154933e-13,-3.099332395210265e-11,0.029438631533512612,20.083791771903055,1.0507588019395425e-10,1.4105516686452506e-07,0.003960355939901131,9.993339514485168,-0.0002031602241261407,0.09938801840421428,-0.0032436151075636178,0.6963233818949744,-1.7639781749264418e-13,-2.7652119809486582e-09,-0.4143866709113335,90.39423965671865,5.400553666930819e-10,2.2038474171491717e-06,5.468704386003815,166.2138383469403,7.099588277859757e-08,6.200887308940409e-07,3.2976486808103393e-15,-2.135322934069909e-13,-0.8629554491143044,301.30323457254775,-1.3687187036025147e-24,-2.053699648499129e-21,4.081747859904205e-23,-8.664421753880579e-20,1.8647917788257946,57.755042310196195,0.004665413476683772,9.231218121504647e-05,0.0001750590762599438,1.757639248827381e-05,0.0,4.2468294338162276e-05,2.1007322816187566e-05,1.6769925387366643e-12,1.2157147874391866e-14,2.687417181101391e-12,-8.673041352714282e-15,-4.099801704125677e-07,1.2002358481526182e-07,-1.3527963621502471e-11,2.5637050914248054e-12,-1.1910544304026191e-14,1.1444688799326273e-11,2.3741583227124654e-12,30.000000000000814,1.5503093925885293e-12,1.5252148510218244e-12,1.4701972551263993e-12,4.941295089930665e-21,2.500000003745509,3400.0000000004584,-5.48693099003819e-13,4.179187287519093e-10,-1.5064825276263825e-14,-8.786014191933183e-19,-4.584588075488534e-13,-4.3063754574915406e-10,3.95899349011386e-08,8.423009799355995e-12,2.500859781020502e-13,1.0000000000021276,-2.5099956770247123e-12,-6.770353004541996e-13,8.527264674861581e-16,-3.5597284887149555e-13,650040.253553122
800,49.98836696063054,1354.7128350179696,-8.998043681467286e-14,6.257871130563635e-11,0.11308367485688209,19.956147146248632,2.8474887722523395e-11,2.5254428585944155e-07,0.0649827295831462,9.96746826051736,0.0005574757538533606,0.09986720462266876,0.0005827939477634762,0.6992223508095976,-1.1742896842933139e-12,2.1035063581838602e-10,-0.5733698435618576,89.45629167756643,5.277770516427159e-10,3.933015794465612e-06,4.591445403933797,166.02112644276426,1.0057418497491665e-07,2.9490683611663257e-06,2.296266712281767e-15,-7.719012397761188e-14,-0.8280259891306078,299.10728146742946,2.553444447860824e-24,-1.9397095445005946e-21,4.293009678830914e-24,-1.7760835186811453e-19,2.1924576601703407,58.040924751399,0.004595614534235032,9.564266374153503e-05,0.00020517334973990951,2.0195107683724366e-05,0.0,4.419891098839683e-05,2.507452229818684e-05,-1.8441127650325838e-12,1.173059178226863e-14,-1.319232489060987e-11,-9.218955934362126e-15,4.356029670945796e-06,4.68654079743754e-08,-1.2702208763826076e-11,2.566833177420798e-12,5.171931017376022e-14,-1.5677989807729606e-11,-9.205128521463058e-13,30.000000000002633,-2.2798882626391296e-12,-7.908632617414769e-13,3.010940493193451e-14,1.1886191767207769e-20,2.4999999970945015,3400.0000000005703,-7.90020007855011e-14,-1.1563774935103236e-09,-1.0057200045306422e-14,-1.0887979434071082e-18,-1.1657966822667543e-12,9.673860757268152e-10,2.406503960036538e-08,5.131129357291927e-13,1.6603259903862129e-13,1.0000000000056621,1.8869526918986186e-12,3.8547269877986186e-13,1.0894979432243073e-16,-1.1302832876093654e-13,649666.848480475
900,40.532628442448676,1357.085905850139,-5.400843601349022e-14,-9.461856454004615e-11,0.1356991877492334,20.00475966111942,-1.1006941770938881e-11,2.922584599924202e-07,0.06546203354376037,10.036345973614884,-0.00020551333247162618,0.09943661153439443,0.0008540374737666405,0.7027031028773045,2.9702996986375727e-12,-2.5092777619462528e-09,0.09030170327838338,90.26572316310745,5.087496234210786e-10,2.9480197767177983e-06,5.751841084925582,165.49035070247368,1.7087517988354837e-07,7.140089485647961e-06,-1.040801566825224e-15,-1.153577690111382e-13,-1.0066476314213006,299.02673134668805,-1.4371314618007205e-24,-1.863826825221217e-21,-4.9712741870912176e-23,-2.663367095597803e-20,2.441514888909208,57.85627081635927,0.004569406222225054,0.00011007417815020581,0.00021243016987377244,2.5860329517277373e-05,0.0,5.082100426663983e-05,2.7135974188916436e-05,-1.636268717739726e-12,-1.267165213261738e-14,-2.411816921974304e-12,9.771281623264002e-15,2.384481352722054e-07,1.668265750919652e-07,-5.663305785468846e-12,1.0669879044169325e-12,-1.914096919621972e-14,-1.2133729148602136e-11,1.5971020897980674e-12,29.999999999994547,1.3420491265294964e-12,1.2275157067063005e-12,-8.819616265123886e-13,1.5713094603136304e-20,2.499999995323031,3400.0000000002333,1.4439917564500218e-12,1.9252265660556995e-09,1.590879644245975e-14,1.2975487807483963e-18,7.613390757752984e-13,-2.5757655685258814e-10,6.308330847453973e-08,-1.0368355744432468e-11,4.3213246606624674e-13,1.0000000000004519,2.0428296802348916e-12,1.054702380223515e-12,1.2064807958047516e-15,-1.9741816785486096e-13,649228.6071951996
