miliseconds,II_f,II_l,mIIa_f,mIIa_l,V_f,V_l,Va_f,Va_l,VII_f,VII_l,VIIa_f,VIIa_l,VIII_f,VIII_l,VIIIa_f,VIIIa_l,IX_f,IX_l,IXa_f,IXa_l,X_f,X_l,Xa_f,Xa_l,APC_f,APC_l,PS_f,PS_l,VIIIai_f,VIIIai_l,Vai_f,Vai_l,PC_f,PC_l,TF_l,TF_VIIa_l,TF_VII_l,TF_VIIa_IX_l,TF_VIIa_IXa_l,TF_VIIa_X_l,TF_VIIa_Xa_l,TF_VII_Xa_l,IXa_VIIIa_l,Xa_Va_l,IXa_VIIIa_X_l,V_Xa_l,VIII_Xa_l,IIa_f,V_IIa_l,VIII_IIa_l,Xa_Va_II_l,Xa_Va_mIIa_l,XI_f,XI_IIa_l,XIa_l,APC_PS_l,APC_PS_VIIIa_l,TFPI_f,AT_f,IIa_AT_f,TFPI_Xa_l,TFPI_Xa_TF_VIIa_l,APC_PS_Va_l,IXa_AT_f,Xa_AT_f,VII_Xa_l,V_mIIa_l,VIII_mIIa_l,TM_l,IIa_TM_l,IIa_TM_PC_l,mIIa_AT_l,XIa_IX_l,LIPID
0,1393.931327621486,-6.455175914729262,1.4197832990460811e-13,3.6618453117193034e-11,19.907833493530916,-0.030999316163768137,9.041901177084797e-11,2.0122577995952061e-07,10.001057693125965,0.03474602680675301,0.10023277262484731,0.0006633664719486545,0.6987876013208136,0.000296856594425817,6.908987346681717e-13,3.0725663909553623e-09,89.48060794871377,-0.3694947148163823,1.5838331308501663e-10,1.222401615375873e-06,170.8931222501626,0.7781397018060077,-1.8271262942329487e-08,-2.9348677094950244e-06,-1.3843446300806447e-15,1.4841125293013014e-13,299.5438395808339,1.2164760153398024,7.133783446256293e-25,2.424318997262425e-21,-4.380065614183318e-23,7.402344097750244e-20,60.34972640213634,-0.04551538319453527,0.00500687722583343,3.94670670992765e-07,-3.947909927956091e-06,1.2863954422793448e-06,0.0,-2.428359084989105e-06,-3.3272611919730992e-06,-2.3378446711216917e-12,-1.229034531140342e-14,1.316702945056212e-11,-6.533362518008603e-15,-1.654143033776857e-06,9.208343762986755e-08,-5.2917617441787555e-12,-1.3460127872949737e-12,4.742851176683026e-14,-7.77607036395085e-12,2.431234041578736e-12,29.999999999999364,1.5784069712999492e-12,-4.2367215234359057e-13,-3.5123525194205088e-12,-6.471578850265334e-22,2.4999999958976575,3400.0000000005098,1.499755683110941e-12,-1.4800962620751857e-10,1.4614826890766537e-14,-6.938155993780339e-19,8.130116267207423e-13,-7.76993932668118e-10,1.5355656387657133e-08,-1.8142719382759822e-11,-3.3055159793740344e-13,0.9999999999975948,-4.054058618750524e-12,1.1887557948513898e-12,-7.652287600162199e-16,-4.974508936003051e-13,848619.5986831114
100,106.08884007917455,1288.2682880105403,1.489069728979656e-14,-7.70749765591269e-11,0.006950527741209616,20.101937841960627,7.941539381045157e-12,-2.3572773691336434e-07,0.013769951252331016,9.992452648592991,-0.00039877704517601533,0.09947371138499378,0.004079864401244913,0.7045922402704,-1.2161387333976484e-12,-2.0591425406949052e-10,0.22404020102942948,89.75559347044019,5.11310920537072e-11,1.4968042886846704e-06,5.53623883880326,165.08751133567023,-5.5990618160445436e-08,3.3873331463172993e-06,-1.834724579280929e-15,2.7895867073894987e-13,2.274198434951409,298.2659978598028,1.3092633511036655e-24,2.1787524296898916e-21,6.7068186087334e-23,-1.3779778855603665e-19,2.0934976033711243,57.608164956263586,0.004953887134892349,1.2874111839663201e-05,2.4363704335941066e-05,6.857292679383416e-07,0.0,6.2455324514323415e-06,-2.5646768935959263e-06,2.3610669163786996e-12,-4.811440584665641e-15,-1.440294596515106e-11,-3.696069972471492e-15,3.9282266620909106e-07,-8.628844033121583e-08,5.981974865895134e-12,1.4519220421077313e-12,2.0547899029458888e-14,-9.102985934541088e-12,-2.70026960464825e-12,29.999999999994266,-8.84739545944209e-13,-1.1868307958641021e-12,1.1542395443157417e-12,-6.981844723590516e-21,2.499999997057596,3400.0000000007126,9.10127651488942e-13,-6.829608521260678e-11,6.938348527501429e-15,-1.7129048428456016e-19,-1.3521235406945018e-12,-4.5983752268011446e-10,1.2148553227275649e-08,1.087179297254672e-11,-1.7488440226499815e-13,1.0000000000031024,-3.2679344695163935e-12,-9.424554204570025e-13,1.2637363902198719e-15,2.1343195242987993e-13,656742.1120421565
200,56.54009946007704,1354.9296880445347,-4.0501932905265495e-14,7.608766171001874e-11,0.1030972372271188,20.083211528008388,-2.6211573571448174e-11,-1.0378225633479858e-07,0.07130608144883427,9.947531862518172,0.0002765536753796318,0.09994989397498018,0.0007363503641654582,0.6979364056683236,-2.666812017446414e-12,1.680211991734642e-09,-0.34950379793079317,90.50497588240674,6.301790778740311e-10,1.4498607785181344e-06,3.8388235884037174,165.39813773070307,5.7406854830864715e-09,3.5798026954935934e-06,-2.853574152161492e-15,-1.6817612525869976e-13,1.8752682322208836,300.697342176143,-3.0883049792019024e-25,-1.2356988876931742e-21,-4.022284872781211e-23,1.9413304839525925e-19,2.3896081447252335,58.107814966079786,0.004906314835817067,3.6007597598616746e-05,5.0073523413204204e-05,4.008458800720757e-06,0.0,1.3290303390162822e-05,-6.996303194452882e-07,3.8779767055285755e-13,7.806906382283896e-15,7.2697452154326e-13,-2.2640527136231463e-15,3.100175122071299e-06,2.0595231629586806e-08,-2.003965975377909e-12,1.430231815437966e-12,-1.1236828020237226e-14,-3.955591019627307e-13,-1.6930015299588394e-12,30.000000000002935,2.670550134302013e-12,-1.9330179097268206e-12,-3.2748690718975545e-12,-7.786406997913197e-21,2.4999999994612865,3399.9999999994106,-1.0798365023720004e-12,2.2617137238743594e-09,-1.0596758254143668e-15,1.909850016746656e-19,-1.7060570371889383e-12,2.5037724562751457e-10,-2.2541181254224433e-08,-8.219529912894447e-12,3.0709677423667843e-13,1.0000000000061136,2.6178432004358534e-12,-1.6083318269850155e-12,1.200186627777493e-15,4.605592591291622e-14,650517.7698264134
300,52.390868880831526,1345.6107510391755,4.021769369156445e-15,-1.4028442856022964e-11,0.04944978989674867,19.97384788614891,-1.2736052156898554e-10,1.4672652362464813e-07,0.06635444933226868,9.991740760915842,0.0006634037361964333,0.09953442247554935,0.0011909113627678787,0.6965193548569745,1.0823805840580262e-12,1.6974857923126996e-09,0.5812522018283416,90.04210841153026,3.231392687641132e-10,2.0471791329343173e-06,5.92248471423473,165.03249116330724,3.4902713328258536e-08,-2.357445932060448e-06,3.9823746481734217e-16,1.94342643980429e-13,-0.7007730980686575,300.43105287704964,-5.872418764684554e-25,-3.938656231044558e-22,-5.89572865467538e-23,-1.0571383367411581e-19,1.91365033804385,57.822764972937364,0.004874927384254295,4.826574017360011e-05,6.93382269668113e-05,4.263134493256379e-06,0.0,1.9726956803869635e-05,1.2968562776165018e-06,-7.495606741260738e-13,1.473894259598988e-14,-8.337671212107734e-12,3.7985906453455865e-15,4.267148535837079e-06,-4.023990719413212e-08,-6.990474280970115e-13,6.76984413597951e-13,3.526848124121576e-14,-7.154473864204729e-12,4.062235114776985e-13,29.999999999996966,3.972703359362126e-13,-2.971284483281793e-13,-2.8399065644942046e-12,7.793588381093994e-22,2.499999998326789,3399.9999999998868,1.462468539263727e-14,-1.0369024150818869e-09,-1.105912361675578e-14,-6.973254056921921e-19,-4.63979088204991e-13,4.837743649427226e-10,-2.0296662349179636e-08,-5.67269192549347e-12,-2.1747692315207767e-13,0.9999999999963651,-3.178529290921654e-12,2.2516382083131604e-12,-2.576415239272074e-16,-3.835015074792672e-13,648797.8229361628
400,47.90725160892563,1360.344435197332,-1.347150871372779e-13,-2.0541285218878365e-11,-0.03016368672899427,19.999948565302695,9.28792191392549e-11,1.3664633485673702e-07,0.014943012656205606,9.915141627891868,0.0005340521581426772,0.09980151190960936,-0.004581671189796298,0.6986770047367196,1.2820423647604437e-12,3.1486671981443915e-09,0.1648926246852046,89.84098919143896,-7.269188754752764e-11,-1.1951575999473755e-06,5.018774443947053,165.36502223228473,-5.333251028804096e-08,3.4935025149516645e-06,1.998077440178984e-15,-2.362002127170105e-13,-1.4058291223584063,299.48660932955937,2.1357309299206453e-24,2.486893380104084e-21,-2.1031659702547042e-23,-1.9131717607149594e-19,1.812735154767708,58.27172422251424,0.0047945680248702395,5.515197865931003e-05,9.529226501375425e-05,9.608113302778135e-06,0.0,2.7946258283130746e-05,5.492505740308879e-06,-1.679642568182092e-12,9.384023746198355e-15,1.0227495077496548e-11,2.5618215589358787e-15,-2.2962856632344597e-06,-9.774985147717239e-08,1.1027837910972679e-11,-1.407041597264324e-12,2.114507089769691e-14,8.951930169597122e-12,1.279794112148805e-12,29.999999999994255,-2.863180369090374e-12,-1.3001424970781773e-12,3.6659247485489253e-13,1.3017900739243608e-20,2.499999998474125,3399.999999999499,-1.0326137011319455e-12,-4.045609227503212e-09,-5.358371207386509e-15,1.2474608237755148e-19,-4.429984505337059e-13,-6.630679691958528e-10,-1.4861486699454047e-08,-1.0576739858218174e-11,2.593450902092769e-13,0.9999999999963245,7.031351201023313e-13,2.0714529974180706e-12,-1.3711032113647938e-15,-3.1822355138421725e-13,649882.8323414619
500,40.89761348071104,1348.9307063279462,5.411900328700533e-14,-3.624870229738958e-11,-0.05922768382758338,19.94759412365963,-3.1090545220475686e-13,-1.1273324014658402e-07,0.0065178763275437444,9.962398968913876,-0.00047782755919549254,0.09988901400346564,0.003901762704131891,0.6989317655100872,4.0331197871446227e-13,1.8504465163546185e-10,-0.40213165380147964,90.13978736570152,-3.660852074630883e-10,-1.3479131807893364e-07,3.7556202693909073,165.56399176961096,4.7183435127945315e-08,2.5405182782084024e-07,-2.9316386168821163e-15,-1.0528422374442899e-13,2.0680518080139847,298.34954922670056,7.776699092024026e-27,-1.3213192955511278e-21,-6.702074292948315e-23,-1.1169902378045772e-19,1.745555601895854,57.76896066426571,0.004785796594356798,7.330542836977377e-05,0.00010789555707996421,1.0842008445753702e-05,0.0,3.273171864637849e-05,1.1290494256142795e-05,4.939257230426466e-13,-1.5108193760575498e-14,1.221194906548683e-11,-6.010574675381371e-15,5.039641951172248e-06,1.9936096570371702e-08,9.171944016581855e-12,-8.938841858841199e-13,6.907046327356998e-15,1.6768356443563634e-11,2.454081709158094e-12,29.999999999999574,2.8007257437770866e-12,1.3422339993267918e-12,-2.2818176961289805e-12,-1.2011862812847615e-21,2.499999997529176,3400.000000000277,-1.0676761891711114e-12,2.4096672922461466e-09,7.70510396694068e-15,-3.480268283520994e-19,-2.8138904670954124e-13,-1.4142860196002138e-11,2.554682656100249e-08,-1.0163915524588775e-11,4.3746224734224367e-13,1.000000000003014,-3.796327298517131e-12,-1.3174885796940408e-12,9.32952866356656e-16,2.0711402810292403e-13,650511.9905090185
600,41.689181402579635,1350.8851471184341,-1.0435089191816691e-13,2.0612666627345042e-11,0.1301857725645951,20.06771988492325,3.410392215874197e-11,-1.7057698779306478e-07,0.02041885732678394,10.025744566204379,-6.366460926562789e-05,0.09995040074554008,0.0016475700511074478,0.7027054291371244,-2.6142787338316557e-12,3.3017811197240465e-09,-0.13961073656845976,89.50245827946026,7.408915169851815e-10,2.322047587795323e-06,4.466683847400633,165.51803458080346,1.3783743819719305e-09,5.9376796414682805e-06,-1.1242028818612424e-15,1.7844721611270486e-13,0.5057491042722914,301.90410617999606,9.01239100751342e-25,-2.373155069945094e-21,-2.784399954337062e-23,-1.3051567400866075e-19,2.0576637310166963,58.02097758180805,0.004723281969969788,8.388042080702172e-05,0.00014796413173276158,1.4358316474346233e-05,0.0,3.5050854842991856e-05,1.6073180063792e-05,1.2933425724185546e-12,-1.401768669765129e-15,1.2099539076882878e-11,3.4970972109290167e-15,4.833355993909486e-06,9.760964501159118e-08,-7.0557737127499374e-12,-2.801213400715167e-12,-2.0976943762948725e-14,1.2387696846620546e-11,-1.8850760316909376e-12,29.999999999996295,-1.4765207252639838e-12,-6.366507287916611e-13,-1.3490488065536517e-12,5.795514455627383e-21,2.5000000013883077,3399.9999999998086,9.549850984833653e-13,-1.8153307852385744e-10,9.37061490208026e-15,7.468159190406591e-19,-2.0794019632600323e-13,5.953972918165058e-10,4.985667230723204e-09,-8.551995244569067e-12,2.740780224177985e-13,1.000000000002531,-2.934888883407912e-12,-8.436970875190418e-13,-9.934097081769888e-16,-3.932477612632731e-15,650768.2138174344
700,49.52260035553713,1350.1426112642566,-6.161963176760935e-14,-4.66548520453026e-11,0.1387394765538907,19.86808680801322,8.448946420685031e-11,-2.05227872227957e-07,0.012772774390688439,9.998391467388993,0.00020774321986953255,0.10021509821934993,-0.000996162780788187,0.6985523702902977,1.414974364944538e-12,-1.575365418468395e-09,-0.3456015592330244,89.47890297457128,2.883666670804448e-10,2.7650481055005026e-06,5.33934368274261,165.049034218806,8.630592732904148e-08,-4.714524401341589e-08,3.0510952291073067e-15,1.5624499781610687e-13,0.6223989590749184,299.82413352843173,9.435217416277572e-25,1.3421661464324718e-22,-3.002372445853275e-23,-6.025684019331322e-20,2.2291070242772673,57.989025945565146,0.0046875110233648475,8.541947464593776e-05,0.00015608675725505664,2.0088980948935333e-05,0.0,4.436009095227036e-05,1.8511227365039183e-05,1.244824334603993e-12,1.3366934265220786e-14,-8.996125747453713e-12,-1.099433218399536e-14,6.125250667234462e-06,-2.9091962503869223e-09,-1.1189562851432136e-11,2.3212243612185997e-12,2.7866490646549703e-14,8.930669239330416e-12,2.7657652589416475e-12,29.99999999999472,1.45797922911016e-12,-1.4980140261652954e-12,2.5427829267129366e-12,-1.3492703605529827e-20,2.5000000001101044,3400.000000000736,7.655165028061179e-13,-2.239372674851825e-09,1.5390713611439653e-14,-1.1611819689036875e-19,3.8374832587636696e-13,5.409245671751486e-10,5.055537979696121e-08,1.6361038119147506e-12,-8.139908871986371e-14,1.0000000000065101,2.4847559673307426e-12,-1.8596753776364073e-12,-9.824083144703405e-16,3.181048235049192e-13,649099.6132261353
800,42.68571059141098,1360.3742677318749,2.18083916655234e-14,3.832470213544574e-11,-0.11192295850442613,19.94196130849266,1.3518849901224901e-10,-1.4952273430150826e-07,0.06544068793929518,9.991642016844404,-0.00045618240770798377,0.09906300904331966,0.0023307015210759386,0.7006568573879347,2.626759221648639e-12,-3.0814024257543007e-09,-0.18584926751567232,90.05564730310122,1.2361534345664939e-09,4.293671593107843e-06,4.448927361060373,165.4408898583958,6.250078314571357e-08,7.923863714136406e-06,-3.1715032476672126e-15,1.829093483470943e-13,0.8647941262312377,300.00006892137765,4.915791932921921e-26,2.3346207170982373e-21,-3.355915584819783e-23,1.1124558162615065e-19,2.2970874407288457,57.56723594364465,0.004620925026632733,9.381455099626883e-05,0.00018766361428245503,2.1071260748720794e-05,0.0,4.934877654413699e-05,1.9136565546602233e-05,3.1178433303376748e-12,-1.0445313447794074e-14,-5.642129666839842e-12,-1.1461834335180734e-14,3.5935785750713817e-06,3.750284164005049e-09,7.195719876213241e-12,-1.4809541989994482e-12,-5.1359362172971514e-14,-7.24636309039944e-12,2.6729349840624963e-12,30.00000000000514,-2.1601093615336656e-13,2.280479618364832e-13,2.5341231970035236e-12,-3.1975010041651415e-21,2.5000000032569836,3400.0000000005125,-1.1675471630017014e-12,3.732980349867488e-09,1.0513732783685179e-14,7.059531426013418e-19,1.5581239865101843e-13,9.285428927520846e-10,1.3294394572436661e-08,-1.0340570366918898e-11,-3.8914982002670906e-13,0.9999999999958857,3.85578027759255e-12,-9.950476411947835e-13,5.538161502232232e-16,4.088832138198818e-13,650093.2545160848
900,51.90342215913861,1356.926262865735,-1.0464961895321556e-13,-3.0547298334716513e-11,0.05142106875774806,20.125744669355115,-1.210009319339694e-10,8.285678452255265e-08,0.0684993273099167,9.91853860055478,-0.00013132051657030442,0.10028593186372992,0.002420453945908079,0.7045359170776275,3.484577025018645e-12,1.3514477464854744e-09,0.04663122614335501,89.90903479097116,1.3249572101121305e-09,1.6889887949946814e-06,5.156176239908117,165.02087827987467,8.524506311378422e-08,4.377249880279194e-06,-3.2209815882376952e-15,1.3319487329364398e-13,-1.0405561280680269,299.50360698539316,-6.598007375951557e-25,8.553187545245184e-22,-4.429493633701904e-23,1.8154804906199386e-19,1.7080020260393969,58.031068253656514,0.0045776175585626215,0.00011026607508428995,0.00020867172073928415,2.7436211891867638e-05,0.0,5.170095175122489e-05,2.5932974523370212e-05,2.6008519088744763e-12,-3.3695308839188014e-15,-3.620813890119955e-12,8.847001428166452e-15,4.948859617671717e-06,4.3129811690217495e-10,-1.2568020843937423e-11,-2.5387500693511718e-12,-3.0870985207758344e-14,-9.230959359843022e-13,-2.735654372722186e-12,30.000000000002416,-1.0075363533533895e-12,2.9246539399432543e-13,1.8340607162253367e-12,-5.6649076576120006e-21,2.5000000001408185,3400.0000000001583,8.698465324383357e-13,-1.7799164701771982e-09,2.826768172221429e-15,1.410509389469304e-18,-1.170744363826778e-12,6.830926934795368e-10,6.271127127072767e-08,5.4211960618939595e-12,-6.035926300415698e-14,0.9999999999997681,-2.811832305292733e-12,-3.891780656796525e-13,-1.2507401272909858e-15,-1.8990541646708587e-13,649361.8032909771
