miliseconds,II_f,II_l,mIIa_f,mIIa_l,V_f,V_l,Va_f,Va_l,VII_f,VII_l,VIIa_f,VIIa_l,VIII_f,VIII_l,VIIIa_f,VIIIa_l,IX_f,IX_l,IXa_f,IXa_l,X_f,X_l,Xa_f,Xa_l,APC_f,APC_l,PS_f,PS_l,VIIIai_f,VIIIai_l,Vai_f,Vai_l,PC_f,PC_l,TF_l,TF_VIIa_l,TF_VII_l,TF_VIIa_IX_l,TF_VIIa_IXa_l,TF_VIIa_X_l,TF_VIIa_Xa_l,TF_VII_Xa_l,IXa_VIIIa_l,Xa_Va_l,IXa_VIIIa_X_l,V_Xa_l,VIII_Xa_l,IIa_f,V_IIa_l,VIII_IIa_l,Xa_Va_II_l,Xa_Va_mIIa_l,XI_f,XI_IIa_l,XIa_l,APC_PS_l,APC_PS_VIIIa_l,TFPI_f,AT_f,IIa_AT_f,TFPI_Xa_l,TFPI_Xa_TF_VIIa_l,APC_PS_Va_l,IXa_AT_f,Xa_AT_f,VII_Xa_l,V_mIIa_l,VIII_mIIa_l,TM_l,IIa_TM_l,IIa_TM_PC_l,mIIa_AT_l,XIa_IX_l,LIPID
0,1391.9139543224717,-0.9249697490888753,-7.514752140938979e-14,-2.5923442007194176e-11,19.940327557276156,0.1045748892171317,-3.0430565377194445e-11,-1.7444693057896813e-07,10.0460959849672,0.01717235554245023,0.09952039005895184,-0.00015864661683228634,0.6985661344747175,0.0044080519342736485,2.401962615630155e-12,-3.0334679351166257e-09,89.84291891425619,0.5538600426011272,-5.065090448085911e-11,1.1444487834070322e-06,169.17328113233805,0.47111946045899344,4.0494303110713816e-08,-3.0447993464992103e-06,-6.548536631687628e-16,-3.0989631841380825e-13,300.95772922194993,-0.650889407626549,-1.7497505739326804e-24,-3.4474489715373613e-22,-6.071581641376635e-23,6.457168318794525e-20,59.972469010543556,-0.1684531127456636,0.005027781357519745,-4.744791257815111e-06,-2.5424689597391137e-06,-1.971096642683819e-06,0.0,-5.169589800548616e-07,-3.846469137188678e-06,1.3155280211947103e-12,-7.640420027047849e-15,-2.787615209540389e-12,-1.1574375982444226e-14,3.613462946834446e-06,7.442228811635713e-08,-5.665282713851119e-12,1.7537871162469485e-12,4.0770462724724085e-15,8.914545767633688e-12,-2.0795847442726517e-12,30.000000000005397,1.876382478278494e-12,-9.609143164295714e-13,-1.0868133456421316e-12,1.3098431642996074e-20,2.499999996375689,3399.999999999371,4.727186375621768e-13,2.8513063355658967e-09,8.51310623548056e-15,-1.1637381476809666e-18,7.388823369620795e-13,1.489084111473604e-10,-3.1533123239302176e-10,4.421317089523686e-12,1.234013178944372e-14,1.000000000000529,-1.373313433829386e-12,-1.9741426395737303e-12,-8.405611644116442e-16,-2.2205297800299947e-13,848998.9867389901
100,113.67099492076662,1292.739551236708,1.863346634530168e-14,-2.5496263421700884e-11,0.1364154817011351,19.931940187586285,-4.0018886676064736e-12,1.2341816656322947e-07,-0.0026218158399856084,9.983329074940299,-0.0006083573359342698,0.09940239656391842,-0.0038882512962458192,0.6953601723617243,-1.2406495446349755e-12,1.6044279026014325e-09,-0.12771739588189918,89.54461291687893,-2.4302537096085196e-10,-2.2490259641756996e-07,5.6586923546002,164.16844522227234,2.0738163198180344e-08,1.1614387310675731e-06,2.046745592224208e-15,-3.9919186527418716e-14,-0.2928155230988162,298.39340377897764,-1.0413925858242896e-24,-2.238285581705151e-21,7.8951499074299e-23,-3.1901596748848265e-20,2.3436404767488495,58.168809454374404,0.004972235429016297,2.11285014200652e-05,3.076011253371463e-05,2.090914414290405e-06,0.0,7.1426165990957924e-06,-7.868570908416726e-07,-9.389955138209977e-13,-1.2873432064439443e-14,1.0246563718138268e-11,4.096027069725262e-15,4.761292644907513e-06,9.289891371002246e-08,1.2778126924597514e-11,-7.668728151793111e-13,4.267455506002108e-14,1.6397732953229214e-11,-9.06647823735796e-13,30.000000000005397,-2.561267178660947e-12,1.3840536856518778e-12,4.4664389017671196e-13,1.9947857357613842e-21,2.5000000001762945,3400.000000000423,-1.5920955968040372e-12,-4.058172809595669e-09,6.201035433180077e-15,4.1348694220253706e-20,1.3817267613239163e-12,-6.152028493683356e-10,-1.5974058553947345e-08,-1.917777832507572e-11,2.6545158650849737e-13,0.9999999999981015,3.756989007032486e-12,9.471584879356525e-13,-1.4582576957105682e-15,2.5583666192456945e-13,655360.2234420184
200,47.99885168266094,1356.0529201275413,3.112380294488694e-14,-3.02348137940209e-11,-0.09454284003328005,20.08445201970893,-2.2061735277976984e-11,-1.1840274410606939e-08,0.030316333701896327,9.998654315618557,-0.00019656939307909465,0.10002101522576792,0.0011862739627282767,0.7025569120608802,3.396103069136414e-12,-1.6488657206664661e-09,0.37002023736612333,90.01294483116314,4.358026178330184e-10,-1.6751356215558431e-06,5.983094760480194,166.07367881507412,1.4484047749181932e-08,-5.180393173017059e-07,6.035385991288249e-16,6.189916625682922e-14,-0.45852707603086673,301.45054442312943,-8.626179320349712e-26,7.066454437181156e-22,-3.7703681059231485e-23,-3.4296480135413414e-20,1.7498091375948945,58.05418860802849,0.0049258408676878815,3.3035556924305106e-05,4.5674640813705346e-05,6.710236955323933e-07,0.0,1.5309035253353966e-05,-2.062765269870347e-06,4.1489057250089657e-13,1.394705104990802e-14,-1.013666484119954e-11,-1.1606884011409907e-14,-3.7702176968158835e-06,3.6487552960024216e-08,-5.9876507511334316e-12,-1.9045324434826e-12,4.374990353825761e-14,1.0952586655870383e-11,9.489310840879962e-13,30.000000000001428,2.859166669661928e-12,-7.969488189494879e-13,-1.4684829268186784e-12,4.6512375424798255e-21,2.500000003040867,3400.0000000005107,8.336656801168754e-13,-4.122494752023574e-09,-4.573334625113784e-15,1.307402922519407e-18,9.72403763578525e-13,-5.06105897199957e-10,-1.582845154934576e-09,-1.56319327409549e-11,-1.8775748358799511e-13,0.9999999999934496,-1.467360811316489e-12,1.6994982645040734e-12,1.9023391446226145e-16,5.236869467567678e-13,648795.1130763448
300,47.56979349765931,1356.9409513807614,8.608977784251085e-14,5.483453297805949e-11,-0.05613543135757251,19.86218381526509,7.773117936811594e-11,-2.1975111545407304e-07,0.03215563065963033,9.990133841981262,0.00017975233927899572,0.10014344040854058,9.451488940502493e-05,0.6992329282557739,-2.6238459792156744e-12,2.2227548748469544e-10,-0.3234319164427438,89.66973449251682,-4.6163758090182487e-10,-3.799401154580694e-08,4.752477865278892,164.21661680703073,-2.4174743070930463e-08,3.7390450797269646e-06,-2.9779881629088923e-15,-1.9952190714489222e-14,-1.61715085366149,297.7339384249712,-6.8655496650816e-25,-1.9665282751982805e-22,6.3832884766924026e-24,-1.6868603197767433e-19,2.052602252690489,58.31582247534971,0.004848603111552936,4.4371617719247396e-05,7.402811720760696e-05,3.2539120750435842e-06,0.0,1.908950978077547e-05,5.276936552020132e-06,-1.9006043342460143e-12,1.4798677354796903e-16,1.5570885944972626e-11,1.2203593701951094e-14,-1.8546128550481417e-06,4.065477108990701e-08,-1.7343657197343493e-12,-5.216986855570953e-13,5.036408270871576e-14,-1.422817796937833e-11,-9.714239020131044e-14,30.000000000004277,2.7268878270607964e-12,1.0266202459271562e-12,-3.6297009445460795e-12,-1.3433726651662968e-20,2.500000003834795,3400.0000000002915,6.01020151758338e-13,-1.23613827201761e-09,6.361392851804891e-15,7.347170564709865e-19,-7.705655583807901e-13,3.7364113422011815e-10,-6.498164803516217e-09,-1.2920757693639493e-11,1.0655903038298334e-13,1.000000000003163,4.230611644640122e-12,1.864027714752529e-12,-8.845723575687839e-16,-5.25765433899918e-13,650639.3768050484
400,44.022459583230784,1347.312045215702,6.444580887615185e-14,-8.827235111328134e-11,0.09058124538596456,20.056936236330472,-1.2372513333846762e-10,-1.4083107396563225e-07,0.04574147475365631,9.945835909309695,1.165841706156847e-05,0.09925504658958993,0.0022795979421882805,0.7014672459226405,3.0204856671801517e-12,-4.334223835538443e-10,0.2134614369295662,89.48652219744368,2.3202894154760804e-10,-3.8805710300961453e-07,4.2335344190963,164.70410781500186,-1.965326055665523e-08,4.9160891644794515e-08,-1.753306687922693e-15,2.7083035926823743e-13,1.19874207430277,300.27214334472086,2.8306472759680235e-25,-2.0966276447300357e-21,-5.029127722380303e-23,2.7186234916437195e-20,1.880886320865537,57.931412020357655,0.0047946863687831414,6.067318958396249e-05,9.743821175523925e-05,7.852184558078827e-06,0.0,2.3501419458841993e-05,6.764099824587116e-06,-2.4945473292764557e-12,-1.0347769650902372e-15,5.861064962587134e-13,-4.8053568846265046e-15,3.874579966745775e-06,8.754333534474963e-08,-1.0554922546098313e-11,1.392897702356281e-12,-5.568911222846154e-14,1.1951509769310504e-11,-7.822434933724813e-13,29.999999999999872,-1.1150497087526768e-12,-1.254201669367258e-12,1.1564744545210315e-12,1.282301546383533e-20,2.4999999958300627,3400.000000000062,-9.041444015868365e-13,-3.5179485710903616e-09,-3.1313366150182e-15,-1.1229060909651189e-19,1.4827420738820064e-12,6.353514045948272e-10,-2.3826658518559886e-08,-1.64135114262996e-11,2.451369284913968e-13,0.9999999999949056,-2.6105565055583194e-12,1.4903116638026646e-12,-1.3299357100131598e-15,-5.1934163476992674e-14,650237.549769305
500,51.921297552088724,1355.1384875752458,1.1171196979926338e-13,6.539408610489678e-11,0.13426029882930096,20.121981134414398,-5.0452173324915755e-11,-2.5062552196260204e-07,0.05309019154663717,10.013791398386138,0.0005702150522157941,0.10035041674020273,-0.0022649974569176716,0.696627369698832,1.371553377149858e-12,7.76239198406451e-10,0.17796588174967826,90.5015032589764,3.6713689189469254e-10,-8.566423753485637e-08,5.352983737259668,164.12039395516345,-2.6604485655394043e-08,2.9293927873613934e-07,2.6117468712337347e-15,-3.1151136991218976e-15,1.8008598670992513,300.5142040183125,9.286469950566143e-25,-3.0124457170593483e-22,2.5098154191722146e-23,5.468828342241424e-20,1.7709460412189597,57.82755951646619,0.004775810091620262,6.773642087302978e-05,0.00012395696747160756,1.2831673093315183e-05,0.0,3.248283894309967e-05,1.4052578001892632e-05,1.4991578201982131e-12,1.0497866852878722e-14,1.1905135989401424e-11,-7.702729275138936e-15,-3.494100054936338e-06,5.673970970909669e-08,-1.2510362326222752e-12,7.84085345553301e-13,-1.1804389221776975e-14,-1.5179280497652223e-11,-2.40773458460128e-12,30.00000000000571,-2.5981379555451907e-12,1.3846692889952277e-12,3.2799081153825866e-13,1.0482852338615955e-20,2.50000000187153,3399.999999999535,-1.6003528306631812e-12,-3.912565170415091e-09,-1.611123251212138e-14,7.762549031139278e-19,-1.3862875865781399e-12,4.930214129515798e-12,1.9827715915240986e-08,-1.7061393592271807e-11,2.724402932731155e-13,0.9999999999954393,-1.1626122818828115e-12,-1.0740844003193803e-12,1.288412052049265e-15,7.493073382239248e-14,648402.9296997763
600,49.8563732090139,1342.6523306793908,1.5052026027286527e-13,-7.737775722770721e-11,-0.12177849926191557,19.99608350645781,6.172567326556968e-11,1.3993946360101718e-08,-0.02458560580567795,10.013511426376043,0.0007147241321721662,0.10010964813978865,-0.002386149754190026,0.7003860313744156,-9.436518813432195e-14,1.3059232421136596e-09,0.2406221389684623,89.89734781232124,-1.307748486079471e-10,2.4944412301640335e-06,3.8886222358322198,166.07299948023265,1.0019873075705386e-07,2.4846416145372568e-06,-1.6473762230022634e-15,-4.492064911983766e-14,1.4662674256277026,300.67197873753685,-3.3876029795713127e-25,2.314490282847394e-22,-2.3330126964478285e-23,1.237709165768219e-19,2.0374402719647726,57.97274743743932,0.004684982308125217,8.221097054351612e-05,0.0001421120658989103,1.5009252193290353e-05,0.0,3.8188096498618674e-05,1.2170954634170466e-05,-1.2727635681870201e-12,8.209528230818281e-15,1.1039418599760034e-11,1.0193453823838753e-14,-3.5473178392324503e-06,5.6816091682906314e-08,-1.5686373376470289e-12,-7.742389960495896e-14,4.73572651410575e-14,-1.3374946878335267e-12,-2.3433838618471904e-12,29.999999999999094,-3.0290314296278595e-12,7.30627768066573e-13,2.9620586449739618e-12,1.7387703125859867e-20,2.5000000013936288,3400.000000000048,-1.0791107360705924e-12,-2.267976078490525e-10,-9.324243404172585e-15,1.3896599546123999e-18,1.2841817526487135e-13,3.5531353682039836e-10,5.826676778735593e-09,1.602185396494789e-11,1.8587487856958783e-13,0.9999999999956125,4.2689219525652865e-12,-2.110499849043591e-12,9.535492811731163e-16,2.3343147565457763e-13,649629.155696253
700,42.66835959734299,1359.0998781733986,-2.49701494986854e-15,-5.438807854557215e-12,0.08491160871318594,19.930071265690497,-2.1457438724738718e-11,3.6426741738906835e-08,0.06072319172129298,9.972860896368703,-0.00019562074287409332,0.09996669642725826,-0.001478437303352569,0.6970670225776522,-2.5465243918471028e-12,-2.730483665622958e-09,-0.1120054309094264,90.42968179913753,6.09662173282935e-10,1.010093185931217e-06,4.918480691657866,166.2728393929507,-2.782927862373282e-09,4.821526058949627e-06,-1.4493128150616102e-18,2.504835928944512e-13,2.156202406003279,300.55670213660187,-2.1820852742403007e-24,-1.7192498970853424e-21,6.959420652636632e-23,-1.3879023151460558e-19,2.3318263625754714,58.26109781979475,0.004684230254887371,9.217852740158104e-05,0.00016182297586507527,1.7278789707527147e-05,0.0,4.135421423389472e-05,1.975179496999471e-05,-8.419762044499629e-13,9.773520915268194e-15,-5.095515478855588e-12,-3.8302767192407255e-15,4.290246230100729e-06,2.767223408669196e-08,9.481449425861518e-12,-1.8666749586860621e-13,-5.098496987567704e-14,1.452246294589026e-11,1.3350379175011378e-12,29.999999999996188,2.2280705630661822e-12,-1.0928376307239552e-12,3.281825336310187e-12,2.589871493456035e-21,2.4999999970959066,3399.999999999407,4.919577055024741e-13,1.1783189644176268e-09,1.536586632695002e-15,-1.4728140171975478e-18,6.029122560752031e-13,-4.786032144063794e-11,3.675390503849588e-08,-2.0764245942127785e-11,2.8435121156950995e-13,1.000000000003068,-1.4326939319159338e-12,-2.266877806122979e-12,-1.6043752075225535e-15,-1.8915213004092223e-13,648502.9951785112
800,50.49220620573926,1352.3207993482076,9.819615075406426e-14,7.654321549728037e-11,-0.09311935510942526,19.995105370937477,9.622605030973359e-11,-7.608087942388224e-08,0.027860604127797065,9.948177798080806,0.0003352322129658689,0.10022538574549254,0.00369058535998823,0.7006377356411005,3.7046301766373845e-12,1.1166285560826551e-09,-0.19353933192201317,90.29296498282028,1.3677383241710699e-09,2.5694662904191204e-06,4.110995649475585,164.63235595650622,8.00532115247135e-08,6.213061787555105e-06,-2.8134398950748785e-15,4.782581214177553e-14,1.0073703930334987,299.1923168934146,-8.68159211907764e-26,5.593954366545044e-22,2.346030387124883e-23,1.1933086069231147e-19,2.1297100422914945,57.946217764983835,0.0046213535088026995,9.968676295202826e-05,0.00019069138240876147,2.3455555925764256e-05,0.0,4.428334974876382e-05,2.6706733805915772e-05,-6.063104935951301e-13,6.054489763715395e-15,-8.802557045870486e-12,-1.0914262990353602e-14,3.830505930575506e-07,8.334949726454692e-09,-8.321359790719567e-13,1.0212033482275517e-12,-3.001118002339417e-14,1.368019926846679e-11,-1.5704858347461773e-12,30.000000000000227,2.7495365253383314e-12,1.760102988470372e-12,-1.6676803107409608e-12,-1.4226741989673385e-20,2.49999999729364,3400.0000000000723,1.3579062949305534e-12,1.2459820729613184e-09,6.250722933666999e-15,-9.328149772440285e-19,1.5933923439532094e-12,5.274951851285669e-10,2.4280971846040177e-08,-5.611909109885227e-12,3.6155391715048776e-13,1.0000000000024938,-2.8020891850135615e-12,1.1563120370792198e-12,-1.21681349738958e-15,8.123028613204683e-15,649355.7261248394
900,45.10080520679382,1357.7478858192974,-2.3641906021841045e-14,-7.49939054956379e-12,0.14243747984125477,20.115108871201414,1.4348810285639352e-11,2.2842741261356388e-07,-0.006166858228198489,10.021222386006809,-0.0003560337541651204,0.09941064792442461,-0.00409546292479781,0.698788059670316,3.224576444917988e-12,2.435613060148593e-09,0.13556758292492765,89.65602502053628,1.0845113257932888e-09,4.5257072019882205e-06,4.565146142540671,164.62176374318236,6.88635259488814e-08,5.0779613266977764e-06,2.8683120773238654e-16,1.5015502881920575e-13,-0.8245216633180529,301.4669318576956,-1.4361752925270588e-24,1.4301921790778772e-21,-5.6880265085525556e-24,1.1698238608616618e-19,2.4560822580680406,58.12968730009377,0.004596814111688933,0.00010937730338658356,0.0002131808024130458,2.3401568950935452e-05,0.0,5.285447769963903e-05,2.9809447096099596e-05,1.959866340829198e-12,-8.040868609647115e-15,3.91318539263441e-12,8.80275121927942e-15,3.0770202486443203e-07,1.3876326799304073e-09,-6.2280239708886375e-12,-2.540115804729919e-12,-8.57515230633723e-15,-9.397722789473288e-12,2.4714047284381706e-12,30.00000000000262,2.0029453193117655e-12,-3.161430254105337e-13,-2.4007657284437125e-12,-3.854081919236989e-21,2.4999999956045,3400.0000000000637,5.645149838032824e-13,-2.986960930847813e-09,-7.467964677187754e-15,8.501592976010806e-19,1.1122990099025338e-12,-4.3596551131110376e-10,4.000602071324452e-08,9.140352600216145e-13,3.631008171897402e-13,1.0000000000026759,3.378832541422096e-12,8.807403300348156e-13,3.66798308063724e-16,-4.3985884510058803e-13,650441.9682909588
