milliseconds,_75,_79,_84,_96,_99,_101,_105,_129,_147,_153,_174,_181,_198,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,_5,_9,_11,_13,_15,_19,_21,_25,_27,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31
0,9.014654661915155e-05,-8.965944967661743e-09,-2.099895690256904e-05,-8.065903447338835e-12,0.00024954908518985827,-5.613416619906099e-07,4.082997982966181e-08,-2.628520462800735e-10,0.0004773557632872953,-5.4568217159832435e-17,1.4265402413677855e-06,7.716589282731933e-11,1.3267046085170153e-14,-4.684015837835268e-07,-4.853980371031145e-07,-0.00010967281573371883,-2.70029747925347e-10,3.0147221107645117e-07,3.4951215448898213e-17,-2.3712146960103936e-07,-2.9669744101092745e-10,2.7551976099346414e-07,-7.860038669041415e-11,8.031865635896807e-13,9.913921465330932e-10,1.453740541205457e-40,6.469544807157934e-41,7.682609713367101e-07,5.7350623199822014e-05,-6.881147337639599e-13,-7.403549720309639e-08,4.716713649074041e-13,1.023159197729525e-05,-5.311752946235387e-10,-8.030870563054434e-05,1.1064793028159027e-08,-3.1180843969799033e-11,2.2630661206791326e-10,-9.637768585828522e-05,1.2404723205604496e-12,-1.2347191645597803e-14,2.7980667313113974e-10,9.000536537041218e-13,-2.2496527642943916e-08,-6.201414354048596e-10,-5.343241626600409e-06,-4.5855979163045916e-11,-7.781178785299524e-13,4.939325255410424e-14,0.09999999519129167,2.4943351706119346e-12,-4.4370742781511784e-15,-2.1405942370019669e-07
100,0.00012902614313497633,-9.663696536809836e-08,0.0012229947890945924,-2.540492351462827e-12,0.0017281735531955663,9.106043964324916e-06,2.6177194552736027e-08,-1.623888444725846e-10,0.0008074032741674261,2.807601653676473e-17,1.170832409496747e-05,-5.28133230308561e-11,7.944113466923337e-15,2.2705335495974884e-05,1.5795482184657697e-06,0.0030501031561811567,-6.89196255338837e-12,2.1055978143479813e-07,8.725767866189377e-18,1.7952938480652672e-06,6.576349866843703e-09,8.224550456647692e-06,-6.724278642318548e-11,1.6186412236550027e-13,5.053787528960699e-09,-1.2962366182034957e-40,-2.9463821446670054e-40,1.299875917569001e-06,-0.00017417566749350558,1.3587675692297053e-12,1.1782234369705006e-08,4.584611266927995e-13,9.986844989577934e-06,4.5095749438918835e-10,-0.00015600867506063292,1.2693869387364277e-07,-1.1339995959675719e-10,-4.74314691743747e-10,-0.0002712263454496979,-1.9427494256681766e-12,-5.0656317763274854e-14,2.9731635096296064e-10,1.3538717487482832e-13,-1.385670849881661e-07,-2.1022539041015757e-09,7.291029034856537e-06,-1.435729338095676e-12,-8.790769525085406e-13,-3.623606400076493e-14,0.09999999518336906,-4.7408349837213216e-12,-6.402094599002633e-14,2.112937209290125e-07
200,0.0003872497828591587,2.3731929210285797e-08,0.0029883925013667505,7.394530717660197e-12,0.0027557167987518356,1.8944566226678917e-05,-4.166532275290175e-09,-1.7317057733236019e-10,0.0024841709279266756,1.508135240471854e-17,2.0034729216196804e-05,-9.009287158080498e-11,-1.7886966936469826e-14,4.039408989493429e-05,3.5261458801591596e-06,0.009348876783502961,-3.6226383900440153e-10,7.858128808297007e-07,2.5132580687638608e-17,3.1597287504278464e-06,7.685617894695955e-09,1.447271361287302e-05,-1.2170986732753326e-11,-7.112781538428643e-13,-4.889019324281364e-09,8.683809136489727e-41,1.3221105082524195e-40,3.357373885856793e-06,-0.00012348440536417797,6.343780866985558e-13,-1.3968846389781941e-07,-7.025966292245919e-13,1.8740827166437518e-05,-1.7750419292170275e-10,7.027235538162289e-05,-5.902737805184453e-09,-7.459306439786566e-11,-1.7266097079638985e-09,0.0003494028395803903,-3.349259248758025e-13,-7.617999123463951e-14,4.483203406648637e-10,-4.006662530434556e-13,1.221660303215904e-07,2.1313783597361983e-09,1.0132001050759085e-05,6.930871751930667e-11,-7.610130688269834e-13,-2.2492900362891076e-14,0.09999999519325461,1.1400146867468052e-12,1.0157527083915933e-13,-1.3925582027164883e-08
300,0.0004551110110367274,5.435455876193435e-08,0.004206504788578421,2.2321060442363444e-12,0.004922414845077898,3.364415452047524e-05,4.01470560228692e-08,-2.0990160067664888e-10,0.003328040178841214,-4.226305450848965e-17,2.5047097281616562e-05,9.919948583442148e-11,-7.276586637089263e-16,5.53279753495707e-05,4.990732596199237e-06,0.013311047712121101,-1.9138483828089588e-10,-7.92956642910284e-07,9.997563176148095e-17,6.009745059185259e-06,1.3312600648819722e-08,1.8731331420261996e-05,-1.9180310356426542e-11,8.702699554404468e-13,6.255581136849424e-10,2.0993137995235527e-41,-2.502074501229785e-40,5.854913026965899e-06,2.5874651335324878e-05,7.710796690294103e-14,-3.3470264874618547e-08,-1.5217359155497265e-13,2.6741406115186853e-06,-4.0152941872033495e-10,6.966794276165189e-05,1.4853371670313621e-08,-3.787856064903272e-11,-1.7392979043185594e-09,0.0005062439835711655,1.1875194578247928e-12,5.443465524113929e-14,3.2223562440865584e-10,-7.378654673999651e-13,1.5601575037442684e-07,-8.901010165904314e-11,4.073389095125123e-06,-1.2361030066139635e-11,-1.3024360535274948e-13,4.623845516519601e-15,0.09999999519411543,3.2606679008903934e-12,8.228486445226651e-14,-1.5205011942326654e-07
400,0.0005287447222502993,-1.3028793739901483e-08,0.005282763224253152,-5.93307997500804e-12,0.005323328175979576,3.4556481674581784e-05,-8.785585335723102e-08,2.525287681020694e-10,0.004424394116571105,-2.432379671615072e-17,3.464914687709227e-05,2.4921090485083994e-11,-1.5935829159199003e-14,6.474873356132003e-05,7.3231514811849675e-06,0.017525088968208383,1.5865174030622408e-10,1.144634877366457e-07,4.736367417158288e-17,6.9388565311601686e-06,-1.6417257855756e-08,2.1621023069178748e-05,3.95986445439751e-11,4.2426226126316833e-13,4.578614378927005e-09,1.1532157358742408e-40,1.1993033983249555e-40,7.663069972742072e-06,0.0002183253466291557,-1.071302721960605e-12,4.8495486185287585e-09,-4.7887654358101165e-14,3.688483027867163e-05,6.355431255951075e-11,1.1801015968272634e-05,6.721980444022946e-08,-4.4780980152153854e-11,-1.1781208116333717e-09,0.0008859398989661024,-2.01496038610775e-12,4.5100981720223006e-14,5.318948491295911e-10,-8.050926495910565e-13,2.230636297636882e-08,-4.947951265125513e-10,1.1317602334980885e-05,-3.5597198726149564e-12,-1.2379318766409381e-13,9.378457723154953e-15,0.09999999519132562,2.41216052493135e-12,4.6076258388511575e-14,3.478424221526613e-07
500,0.0006530973965809448,7.805252549902304e-08,0.006643503337629534,-6.011623785424275e-12,0.0072389644254874696,4.58974048553111e-05,4.2194382895898015e-07,1.6832738186980056e-10,0.0056792123689837345,-1.7626094108246216e-19,5.432085177352641e-05,-6.29825830753929e-11,-1.2527977535584587e-14,7.467936008673553e-05,8.747702058244628e-06,0.020636779008057347,1.491678150407826e-10,3.913990488899031e-07,-2.6051932903240312e-17,9.420807367315162e-06,4.330320573071304e-09,2.3786820535795694e-05,-2.8930852643530313e-11,-2.56469010034377e-13,-1.2300660662007521e-09,3.3799786428206634e-41,1.443401196565659e-41,9.724029729773192e-06,0.0003443129540186629,-1.4569125943264118e-12,2.870315613435681e-07,-5.645328405140983e-13,3.663059178483114e-05,-6.36690491422435e-11,0.0001250629650952127,1.426126428772961e-07,-1.7190834441564415e-10,-8.384120998144639e-10,0.0010616103482370442,-5.350884336536634e-13,3.1341577911084176e-14,3.0372540374087637e-10,-3.1657331951177673e-13,2.1135743542306068e-07,-1.9075351359978964e-09,2.3752222562494834e-05,6.839211607065855e-12,7.029338523512408e-13,4.7712125821229195e-14,0.09999999517885923,-1.0409982323626077e-11,3.862972394861105e-14,2.7848512973041336e-07
600,0.0009488862702763532,-2.1363028085105387e-08,0.007479319187882921,-6.649868425571927e-13,0.00847929649142542,5.693044479688835e-05,4.943375010105664e-07,2.498175469930123e-10,0.006355425433221056,-2.727147403878524e-17,5.9676948019051285e-05,8.028086820758389e-11,1.2892811884561037e-14,8.600452013755556e-05,1.1479698566411617e-05,0.022835244413946933,3.6352233712272367e-10,1.2203029161359399e-06,9.35531235118296e-17,1.1105280660023445e-05,8.975242396188461e-09,2.5019926106045088e-05,2.9459883241021785e-11,-3.697503770851678e-13,1.553365063615122e-09,-1.8780878461249936e-40,5.4075526216930045e-40,1.1814512444142176e-05,0.0004570138274846569,1.0370429274752347e-12,3.10804682584039e-07,4.193946259700694e-13,4.93329293631504e-05,2.9369845640808776e-10,0.0005219917773311837,1.3301396290090114e-07,1.6334463611643329e-10,-2.1445306045330763e-09,0.0008697045831330715,-1.4629206299248471e-12,-7.398366276003594e-14,-4.412671905069293e-10,3.675877616714654e-13,3.897474523492414e-07,9.700279552137607e-10,2.987339063935596e-05,6.16788538501294e-11,8.982143890628407e-13,-2.796708921471307e-14,0.09999999518679353,1.0041623034257013e-11,9.6367998107075e-14,4.4447665729526337e-07
700,0.0010936431792738835,1.1052303004704128e-07,0.007978587289823449,2.2138951984708527e-13,0.009730414090494624,6.932824183326957e-05,-2.154262931086712e-07,-1.3445089056636935e-10,0.0070858968649797046,-2.6826381853363112e-17,6.783686140235809e-05,1.8679936075739636e-10,-1.0631439886642093e-14,9.207486395033224e-05,1.3263900896726775e-05,0.026495583396253748,-1.8008497949210176e-10,1.226112557984901e-06,3.060341782156259e-17,1.2685251265091334e-05,1.6077655509440147e-08,2.654170089614273e-05,5.475650385197959e-11,-1.235947396122283e-13,8.51298670709797e-09,1.191918636008763e-40,1.6467436067425896e-40,1.2862605996912373e-05,0.000285672126588963,6.57362951041142e-13,5.32512721923912e-07,-6.934519526966224e-13,6.665758329201905e-05,3.190311951874743e-10,0.0005962656238041534,2.490511183242414e-07,-4.509337384400123e-12,-2.2569824327891592e-09,0.0010518646733313347,-1.349363798294469e-13,1.8665494041502627e-14,-1.0471649124272308e-10,-5.091834431720694e-13,4.1815995108445264e-07,-1.9610937248841404e-09,3.479264748970187e-05,5.597290201091834e-11,-7.074289422813964e-13,-6.475087653820864e-14,0.09999999519396877,8.782458681535896e-12,6.1384128217656046e-15,5.859028172325118e-07
800,0.001068080946268169,-5.269807073341395e-09,0.010173310470961417,-7.607883282423948e-12,0.01080163192351854,7.669679122506324e-05,2.4495968902299935e-07,-8.01881479115232e-11,0.0081632084648227,-5.321083178144473e-17,7.693690241823176e-05,1.8959234768598094e-10,9.955176542607493e-15,9.979855667267953e-05,1.3853267081582503e-05,0.03289244194147818,2.8667559390743354e-10,7.839768526468858e-07,-8.121310086596517e-17,1.3495777489376281e-05,1.812604373343275e-09,2.737246529668958e-05,-3.271299499542625e-12,5.995896418317008e-13,9.996044580821677e-09,-1.290426401567308e-40,1.6714994728749082e-40,1.4342075216717587e-05,0.0004588132372975051,9.949910542872304e-13,6.470553316915488e-07,9.684424184876971e-14,8.500962923703388e-05,4.2558660662734845e-10,0.0005856740486674286,2.270594352849479e-07,-2.4997847741542396e-11,7.407273555929729e-10,0.0021917705998228975,1.8211962449307914e-12,3.025038369794184e-14,-5.779566875619277e-10,-5.895413036580083e-14,7.072873181295714e-07,1.3759631335091336e-09,4.922840472130189e-05,-2.233522780749537e-11,-1.648446705902956e-13,7.39174805071263e-14,0.09999999519338094,1.1349310542759699e-11,-3.4537509562839965e-15,7.602499561106188e-07
900,0.0013456925812381539,1.4564400350995497e-08,0.011137588779910317,-1.1364217296304881e-12,0.012079391231746384,8.473305329370619e-05,3.8472697570615106e-07,4.74629641861184e-11,0.009930206411679581,2.840118833446568e-17,8.031472961924449e-05,-1.4481734503782562e-11,3.516097586077031e-15,0.00010672985693133012,1.5184450360049127e-05,0.03678200176525177,-3.1530997919856873e-10,1.340735840495721e-07,1.631489676464988e-17,1.584722265491579e-05,4.543347658888854e-09,2.7782351281588886e-05,2.428322019061889e-11,-5.294107822470838e-13,1.5089195425696604e-09,7.351623335305224e-41,-3.823385027066564e-40,1.6234729285560253e-05,0.0006104810278519704,-1.7053333123361876e-12,5.981100336391705e-07,-8.937797599425782e-13,8.768724547157192e-05,3.768568255138117e-10,0.0006861138726048087,2.440701848650006e-07,-1.5402830616430865e-10,-1.5436664280160569e-09,0.001858655712367454,-1.8825387097152175e-12,5.1576448383532524e-14,4.0901161278374535e-10,2.5007485368182805e-13,8.379321029384777e-07,1.040172827334907e-09,5.366927848494393e-05,-5.259387132905611e-12,-7.599555968501473e-13,5.450035858888474e-14,0.0999999951964209,-3.7083304400748126e-12,-9.965726236070675e-14,9.551702322076901e-07
