miliseconds,_75,_79,_84,_96,_99,_101,_105,_129,_147,_153,_174,_181,_198,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,_5,_9,_11,_13,_15,_19,_21,_25,_27,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31
0,-8.691707113862974e-05,-9.196806690555375e-08,-0.000821592267835259,6.0097397502347445e-12,-0.00010461473288280967,-1.2201656934577562e-06,3.58069975197227e-07,-1.4627148278717453e-10,1.6198342536051464e-05,-1.6917009214290978e-17,-3.190537850251728e-06,4.07323828877362e-11,-4.0640363378348446e-15,-1.9482248391811234e-06,-3.209388878261537e-07,0.001437765467833314,-4.650423146032814e-11,-5.088568212111745e-07,-2.8176551923907966e-17,7.133584362023476e-07,1.405220692713729e-08,1.7977574254957835e-07,4.5128740143803217e-11,-8.131844797902734e-13,-3.215288032756778e-09,6.417762474757615e-42,-5.015957508194402e-40,3.536876075759258e-08,2.054006991088239e-05,8.841512856851633e-13,-1.613440390312036e-07,-3.6260272284228725e-13,-2.1674231929830593e-06,-9.643086944075159e-12,1.1132249787078528e-05,-6.9085182809193e-08,-7.935653881897262e-11,2.067557510448184e-09,-0.00022923279381000645,-5.48146651105113e-13,5.54213109421054e-14,6.760772033086589e-10,-7.043788372956394e-13,1.2256893380619642e-08,6.805118173087078e-10,-1.525555619544907e-06,-1.684867762446323e-11,-5.762391093191765e-13,7.207813115423306e-14,0.09999999518993355,-3.220061021864328e-12,-5.6930344857386705e-15,-1.584281330868913e-07
100,6.571034802800247e-05,-1.8183632330838944e-08,0.0003997773196224379,-1.9913332913856216e-12,0.0016092506213539668,6.283279318105873e-06,3.4247242008745294e-07,1.1185867573027681e-10,0.0014028080712187815,-4.140614656282034e-17,7.5765771063655085e-06,1.3336680813879245e-10,1.6388520952858905e-15,2.0078532976635045e-05,2.1229766804441493e-06,0.005087506048589695,2.013373820709486e-10,9.752206488826815e-07,-6.456571392629785e-17,2.0137565099531283e-06,1.42087967544648e-08,8.734057573804709e-06,-3.1170834012295313e-11,-7.591935983375075e-13,4.716363091057195e-09,-1.0658920735837033e-40,2.77741811831968e-40,1.4571569029685097e-06,-6.902962107756097e-05,9.602837548466493e-13,5.243874279528551e-08,6.323057661714833e-13,-1.057606535001201e-05,-4.913912403366496e-10,0.0001799386018000456,-1.199704733120417e-07,1.7084123311984664e-11,-1.6765597987176018e-09,-0.00026691039227221306,7.791036524374109e-13,-5.359053410436868e-15,-6.948276928301497e-11,4.467599760849977e-13,1.49355965070553e-07,-4.0487552728018676e-10,1.7118176588455966e-07,4.159418379130994e-11,7.635431980958046e-13,6.872597109693963e-14,0.09999999517951232,-5.65198335079596e-12,-7.833020419218821e-14,2.3156512104422223e-07
200,0.00031690322327283056,-3.091108902381327e-08,0.0027561736726710814,5.660382025170035e-12,0.003451855290556441,2.2694452108849405e-05,1.179720987330023e-07,-4.725318615056199e-11,0.002109996135534124,-3.1959921158472633e-18,1.4867912536773218e-05,-9.502100696815515e-11,4.647880093362422e-15,3.602907449027889e-05,4.313337551589182e-06,0.00851057591930755,2.67774213021405e-10,4.9010955568130214e-08,5.969462363153563e-17,3.930937451123954e-06,-1.5503402059528373e-08,1.4374608365467085e-05,-3.113769569491725e-11,7.552669102304763e-13,-2.258464920304809e-09,-9.068309737138168e-41,2.4373240386314624e-40,4.710484482216173e-06,0.00014970563857485616,-1.5667231773682902e-12,-1.7630833177662723e-08,6.333708322405619e-13,-5.416151867988589e-06,-9.196604938467117e-11,-2.1581889755441032e-05,-2.684219237405311e-08,-1.631531279729881e-10,1.5653885544303993e-10,0.0002948860259911805,-1.611662471682079e-12,-2.7380443302230812e-14,4.948981449208782e-10,-2.6057501826991484e-13,2.0988896882120935e-07,-8.304121151800699e-10,1.6678558894948884e-07,-6.387197008327299e-11,9.094749483508503e-13,-3.200625475296357e-14,0.09999999518676954,-4.85252133717244e-12,-4.238201168891222e-14,1.6719944392592296e-08
300,0.00045475037602664767,2.284326674973382e-09,0.0036466035760730417,-6.921262480791546e-12,0.00422031684121666,2.7131021788917972e-05,-1.1111745570862277e-07,1.7594179255239694e-10,0.003458228484599152,2.335782313844609e-17,2.4837335266317587e-05,1.8613487092670658e-10,-2.501294600335107e-15,5.170998132070837e-05,5.647241723848679e-06,0.011827992232425697,-3.798825262236631e-10,-4.1328521981080163e-07,-4.680404888694326e-17,5.082732224750769e-06,-1.2827067700805568e-08,1.878450005795463e-05,-5.758787460454376e-11,1.8128410756470527e-13,-4.693986879444607e-09,-1.2147792056380743e-41,-3.853029762537461e-40,5.068162791472536e-06,0.00016038924343104207,-1.3382195501653174e-12,-2.2669690805988726e-08,4.873106663013457e-13,2.559935661539257e-06,-5.226919006314784e-10,4.3038636023889666e-05,1.7046556090691358e-07,1.7702726210648672e-11,-1.3226776382228284e-09,7.39056595278261e-05,4.980966444785561e-13,-2.3820709021736672e-14,-2.8998248538864e-10,1.9252329797799214e-13,2.027745938932478e-07,-1.018552597378729e-09,6.29337285826145e-06,-5.790323421310178e-11,1.9964107881664064e-13,2.8912596366926388e-15,0.09999999518812377,1.0971960327937097e-11,-6.4172672028238e-14,3.0555278244212337e-07
400,0.0005291174535689423,-9.840731300320857e-08,0.004313632784514364,1.940005786584503e-12,0.005291174734641829,4.385938273267699e-05,4.3296782377202525e-07,-1.7290839960455846e-10,0.004899366402964767,4.8648581589029203e-17,3.680551255738398e-05,-1.886358119903402e-10,8.297742961879899e-15,6.434159904174726e-05,7.00866647210982e-06,0.016336295699076315,1.203970456486584e-10,-3.181179516788885e-07,-1.1613722482877217e-17,7.817962903306084e-06,-1.3378080109854207e-08,2.1570642556610098e-05,6.098497614416686e-11,-8.590498590789687e-13,-5.6044956448610686e-09,1.728733066021407e-40,-4.672611280214358e-40,7.770233739321028e-06,4.2170859518937304e-05,-1.930095073601901e-12,1.4696306027789337e-09,1.2048244956463727e-13,3.697407353722229e-05,-1.406493255767658e-10,0.00015786587852164197,1.8327986226073444e-08,-7.839428772459188e-11,-1.018033008930495e-09,0.00019487498887625155,-5.279646190574827e-14,-6.044658486413649e-15,5.272608905291338e-10,2.276253028813834e-13,1.2966923989859374e-07,1.7605464575656499e-09,1.3409636507743763e-05,-8.087685133543088e-11,7.432165246251716e-14,-6.112257061337634e-14,0.09999999518419829,-1.170134317679881e-11,-2.4527724474985902e-14,1.4375240995040543e-07
500,0.0007674231847747882,-6.130056764660859e-08,0.0064010527982540566,-7.420441908251422e-12,0.007168050649259966,4.4486230161457764e-05,9.59393130239157e-08,-6.102015441744719e-11,0.0056276206309971355,-4.9482413968916317e-17,5.125369579634226e-05,-1.1761153586815672e-10,6.019400909906968e-15,7.294976297188745e-05,9.112950008015204e-06,0.021271790321549584,-1.7019791481432192e-10,-5.040193568541526e-07,-1.3874797070427335e-18,8.795384379161461e-06,2.162866537652653e-08,2.4032994509271267e-05,8.222529263121795e-12,-7.822533146571083e-13,6.3471367969631514e-09,-6.929011101424136e-41,2.8695111094499016e-40,8.716637649441589e-06,0.00019473730559776097,-1.3540519562229734e-12,3.864936773934992e-07,6.851208889220078e-13,2.5354203025929044e-05,6.59127935327596e-11,0.0003138726655451286,1.4239509059915535e-07,1.7099059206655557e-10,-1.9723115959665212e-09,0.0007851687641866503,-1.2621874664240096e-12,5.806864120162743e-14,3.3169114030506135e-10,1.6289055177808078e-13,1.3785476426841455e-07,2.083809597773311e-09,2.1747420998242836e-05,-3.2536291321927944e-11,1.6364498072482305e-13,-5.527785996361226e-14,0.09999999517709933,-7.707189412095954e-12,3.9038115958736095e-14,1.4489561048382955e-07
600,0.0009329502082666053,9.392088796057053e-08,0.007891024412909188,6.369807909604912e-12,0.008449754530568924,5.6160874356068956e-05,-5.2501209975974727e-08,-1.922017150207239e-10,0.006671873805449962,-1.5066361096346794e-17,6.1374085751812e-05,1.5976452610862134e-10,8.028226836511766e-15,8.437736286497248e-05,1.0895256095899407e-05,0.02592746515661276,7.333285788457293e-11,5.6073988234455424e-08,5.877195932025821e-18,1.158399691430022e-05,3.6850733894592174e-09,2.5305264355875395e-05,2.8694406509852578e-11,-8.351593421119286e-13,3.8425077709285954e-09,-1.5980309867394591e-40,-6.479392262762247e-41,1.1165675263153252e-05,0.00018618127354946801,1.7384176116824346e-12,3.705816572465187e-07,4.771692289347387e-14,3.791433537796435e-05,-1.3093061665768908e-10,0.00035117483867582594,8.91929295750353e-08,8.169439811829899e-11,1.3299599053890112e-09,0.0008384356980137486,5.594931569654972e-13,-6.488957914061842e-14,-4.063807128400464e-10,8.585367830439901e-13,4.494315936456899e-07,1.7272139388737742e-09,3.505648373020491e-05,-4.386353302658501e-11,-2.2306096492801411e-13,7.276063658589141e-14,0.09999999517337504,8.387819420110681e-12,3.415494159611491e-14,4.278979046913204e-07
700,0.0009590389641369265,1.058846510389716e-07,0.00849841796815836,-7.140372017273189e-12,0.009788977372560225,6.44426104048292e-05,3.432874030812739e-07,1.0890766609312809e-11,0.0075982550881468335,3.0251777722383155e-17,6.806012549414189e-05,1.0766860968865417e-10,4.092985654722473e-15,9.079607383354998e-05,1.1823073197286194e-05,0.027746510736023654,1.2481869999355617e-10,-2.4937846408123614e-07,7.761792701111441e-17,1.2182641491447862e-05,1.944780619034318e-08,2.6457314165421015e-05,-1.829222606336358e-11,5.982221698350199e-13,7.109484385786337e-09,4.78180175966947e-41,5.146609181065494e-40,1.3663012872917013e-05,0.0002561468104857453,1.7092918451113694e-12,5.851395304118709e-07,7.806404427322912e-13,7.684677158889005e-05,-4.990747197850172e-10,0.0006005125740899046,2.423167247575414e-07,1.1768895760594622e-10,1.934643745752919e-09,0.0017913270896644914,3.6477649163007355e-13,-1.0769017656423453e-15,5.08508058560276e-10,1.2741944701190772e-13,5.160677464816252e-07,-1.3247959742858912e-09,3.610494625568056e-05,5.3115828104715975e-11,5.695658298828794e-13,-5.948830549189117e-14,0.0999999951945353,6.633476781233229e-12,5.960184774363094e-14,6.065231674204802e-07
800,0.001161915244082426,1.0302977674574232e-07,0.010579666058187385,3.815500269346848e-12,0.010462279061950675,7.867106154379634e-05,4.830498276130259e-07,-1.767039984233121e-10,0.008761445072200134,4.2527736021689533e-17,7.659121786843568e-05,-6.026363866635451e-11,1.7330563670521208e-14,9.695056867991175e-05,1.384271641552537e-05,0.031087864610406957,3.715122191294323e-10,1.0460824815380822e-06,1.0882954998080358e-16,1.3692677316753094e-05,7.202042134353586e-09,2.709460141131876e-05,6.756212175501681e-12,-5.974645373318809e-14,2.040656334842371e-09,-7.289852609668005e-41,1.482781950485031e-40,1.4413575845510126e-05,0.0005458359965207661,-1.6994914717186229e-12,7.250912410196241e-07,8.48860719415575e-13,7.076380740614815e-05,-5.179632989765668e-10,0.0005637382318300099,3.8365176097369445e-07,3.264702609745316e-11,1.5394319682975784e-09,0.0014726315750067944,4.749954340793065e-13,2.621641111150326e-14,-3.968222452967763e-10,-1.445119387520521e-13,7.217623732091522e-07,-1.2961708499179635e-09,3.9353730321608386e-05,2.8385905616150527e-11,-1.770594645528944e-13,-3.6872445365799396e-14,0.09999999519545741,4.192624060425256e-12,4.3552015775689937e-14,5.117910922261058e-07
900,0.0012251116459598241,1.4919064421815602e-09,0.01076142471398726,-5.720860676202208e-12,0.012029175961612308,8.702939453365631e-05,4.599982024268452e-07,-1.355278587869324e-10,0.009099001992849623,-2.8662249360841594e-17,9.118316079481915e-05,-8.967478120019295e-11,-1.3811830115699202e-14,0.00010619375324414039,1.5643334725304615e-05,0.03640660647094052,-1.487711950201516e-10,5.1006766181576e-07,-4.61091984021579e-17,1.5121477518822474e-05,2.305229642940815e-08,2.7970259466943046e-05,-4.1646354853240384e-11,-2.7961697928080825e-13,1.2155082950185356e-08,-1.6003546595251954e-41,-2.215652229592632e-40,1.6141674913407832e-05,0.0005622245801627018,1.797170360608264e-12,6.506865078954706e-07,4.451787560246194e-13,0.00010027634436618661,-4.59385470957803e-10,0.0007288561576288574,3.2910214054256096e-07,9.572738336899877e-11,1.2567790492280266e-09,0.001911058653489176,1.5718095662108551e-12,-1.2933552412256288e-14,7.28670357832966e-10,8.442437293592604e-14,7.894471132264186e-07,-8.756894343019487e-10,5.626726589577985e-05,-6.084979252555304e-11,-7.653041156353357e-13,5.351453962422866e-14,0.09999999518112077,-4.536777999366364e-12,8.601256935285543e-14,8.215288672089158e-07
