milliseconds,H,T
0,0.4992263233036347,9.966023796674754e-05
100,0.517250051329537,0.0001007919776748093
200,0.5317144491475387,0.0001010094974532445
300,0.5468257691770405,0.00010139977614408261
400,0.5584963211797384,0.00010193813126905023
500,0.5764826572537612,0.00010258014816710929
600,0.5805391247422951,0.00010247758099534493
700,0.5956365944594659,0.00010355642567399594
800,0.6086548687905605,0.00010321572704733711
900,0.6223801427859542,0.00010434118319002341
1000,0.6371600152681828,0.00010410537868252656
1100,0.6567296286511525,0.0001049942824260397
1200,0.6550214058394564,0.00010474726935289717
1300,0.6665028531576423,0.0001057625806162957
1400,0.6777910735259876,0.00010547841242242983
1500,0.6898033832352339,0.00010606802764040462
1600,0.6978617174580131,0.00010631024957267899
1700,0.714499426726505,0.00010712741854428112
1800,0.7182206646756578,0.00010687288162000457
1900,0.7242079633544265,0.0001070320654754231
2000,0.7438726394945199,0.00010802134948037335
2100,0.7403662350787491,0.0001080619960276928
2200,0.7489120989080015,0.00010836992586588187
2300,0.7541855956104887,0.00010808011350010147
2400,0.7708567236929196,0.00010868426926989915
2500,0.7662356893254231,0.00010896655789069181
2600,0.771419809082966,0.00010947576127600392
2700,0.7834014826817526,0.00010970255089226365
2800,0.7835432811168775,0.00010945040890454314
2900,0.785923060641038,0.0001098549457185277
3000,0.796403468400193,0.0001099760175030747
3100,0.8069141732285521,0.00011024602730827668
3200,0.8179339911923049,0.00011061648883050164
3300,0.8103699179785393,0.00011055592964884383
3400,0.8182101685158731,0.00011084009147755589
3500,0.83091630471336,0.00011076809172313226
3600,0.8242920622013118,0.00011157219961860521
3700,0.8374155264207497,0.00011194807052037741
3800,0.8393229032556498,0.00011206312281336516
3900,0.841421595702459,0.00011213699398334114
4000,0.8275535165923192,0.00011225919346147455
4100,0.848043130993953,0.00011190705720681367
4200,0.847011338310474,0.0001125654068406132
4300,0.8426068289331052,0.00011286305894940577
4400,0.8516011405249393,0.00011319915965331562
4500,0.8567559939294105,0.00011290058693775063
4600,0.8409901363308399,0.00011347693037664376
4700,0.8555349811551775,0.00011296207905477617
4800,0.8627375388724576,0.00011343767252026336
4900,0.8511000733263172,0.00011399554306825108
5000,0.8571490914194796,0.00011407160565148801
