milliseconds,e,x,p,p1,p2
0,1.36,2.0,0.0,0.0,0.0
100,0.8552279756704694,0.3566212909569558,0.5047720243295306,0.569303579762114,0.0
200,0.8415035635226382,0.05990862214494053,0.5184964364773618,0.7107977077601706,0.0
300,0.8397586494064334,0.010032569203175974,0.5202413505935666,0.7348632771936658,0.0
400,0.8394793703883748,0.0016793666273638157,0.5205206296116252,0.7389002389726097,0.0
500,0.8394329840518018,0.00028109428660465983,0.5205670159481982,0.7395761819747048,0.0
600,0.8394252296390057,4.7049242276137435e-05,0.5205747703609943,0.7396893272904707,0.0
700,0.8394239319892263,7.875030643598861e-06,0.5205760680107737,0.7397082655713975,0.0
800,0.8394237147983284,1.3181105966509269e-06,0.5205762852016715,0.739711435435972,0.0
900,0.8394236784454663,2.2062329565483647e-07,0.5205763215545337,0.7397119660031916,0.0
1000,0.8394236723607864,3.692758124546868e-08,0.5205763276392136,0.7397120548087092,0.0
1100,0.8394236713423856,6.182180086833013e-09,0.5205763286576144,0.7397120696722095,0.0
1200,0.839423671171901,1.0352727986209435e-09,0.520576328828099,0.7397120721604208,0.0
1300,0.8394236711433714,1.7396566232606404e-10,0.5205763288566286,0.7397120725768095,0.0
1400,0.839423671138635,3.0977320789126314e-11,0.520576328861365,0.7397120726459355,0.0
1500,0.8394236711377868,5.373697299673509e-12,0.5205763288622132,0.7397120726583132,0.0
1600,0.8394236711376274,5.623466789972994e-13,0.5205763288623726,0.7397120726606392,0.0
1700,0.8394236711375943,-4.4107952877835273e-13,0.5205763288624057,0.7397120726611243,0.0
1800,0.8394236711376077,-3.480768336937252e-14,0.5205763288623922,0.7397120726609278,0.0
1900,0.8394236711376398,9.327213136510778e-13,0.5205763288623602,0.73971207266046,0.0
2000,0.8394236711376372,8.523391990290481e-13,0.5205763288623628,0.739712072660499,0.0
2100,0.8394236711376506,1.260291124639931e-12,0.5205763288623494,0.7397120726603017,0.0
2200,0.8394236711376322,7.024337361378008e-13,0.5205763288623678,0.7397120726605714,0.0
2300,0.8394236711376232,4.289582810681599e-13,0.5205763288623768,0.7397120726607036,0.0
2400,0.839423671137613,1.2339422299197197e-13,0.520576328862387,0.7397120726608513,0.0
2500,0.8394236711376071,-5.429881832655555e-14,0.5205763288623929,0.7397120726609372,0.0
2600,0.8394236711376056,-9.692520446589569e-14,0.5205763288623944,0.7397120726609578,0.0
2700,0.8394236711376017,-2.1492859900326132e-13,0.5205763288623982,0.7397120726610148,0.0
2800,0.8394236711376006,-2.4902909445224835e-13,0.5205763288623994,0.7397120726610313,0.0
2900,0.8394236711376042,-1.4243315472168619e-13,0.5205763288623958,0.7397120726609798,0.0
3000,0.8394236711376051,-1.1422341055977264e-13,0.5205763288623949,0.7397120726609662,0.0
3100,0.8394236711376057,-9.260719908608425e-14,0.5205763288623942,0.7397120726609557,0.0
3200,0.8394236711376071,-5.533900668596854e-14,0.5205763288623929,0.7397120726609376,0.0
3300,0.8394236711376075,-3.9289523607779594e-14,0.5205763288623925,0.7397120726609299,0.0
3400,0.839423671137607,-5.49899412616951e-14,0.520576328862393,0.7397120726609374,0.0
3500,0.8394236711376066,-6.715092958375653e-14,0.5205763288623934,0.7397120726609433,0.0
3600,0.8394236711376063,-7.57724885739639e-14,0.5205763288623937,0.7397120726609475,0.0
3700,0.8394236711376062,-8.085461823231724e-14,0.5205763288623938,0.73971207266095,0.0
3800,0.8394236711376061,-8.239731855881654e-14,0.5205763288623939,0.7397120726609507,0.0
3900,0.8394236711376062,-8.040058955346179e-14,0.5205763288623938,0.7397120726609497,0.0
4000,0.8394236711376063,-7.486443121625301e-14,0.5205763288623937,0.7397120726609471,0.0
4100,0.8394236711376066,-6.578884354719023e-14,0.5205763288623934,0.7397120726609426,0.0
4200,0.8394236711376071,-5.3173826546273285e-14,0.5205763288623929,0.7397120726609365,0.0
4300,0.8394236711376076,-3.701938021350243e-14,0.5205763288623924,0.7397120726609288,0.0
4400,0.8394236711376083,-1.7325504548877546e-14,0.5205763288623917,0.7397120726609192,0.0
4500,0.8394236711376084,-1.1474568615177829e-14,0.5205763288623916,0.7397120726609163,0.0
4600,0.8394236711376084,-1.0257337370980376e-14,0.5205763288623916,0.7397120726609158,0.0
4700,0.8394236711376084,-9.082015614562017e-15,0.5205763288623916,0.7397120726609152,0.0
4800,0.8394236711376085,-7.948603345922773e-15,0.5205763288623915,0.7397120726609147,0.0
4900,0.8394236711376085,-6.857100565062626e-15,0.5205763288623915,0.7397120726609141,0.0
5000,0.8394236711376085,-5.8075072719815934e-15,0.5205763288623915,0.7397120726609135,0.0
