milliseconds,Cm,Ct,T
0,0.0,0.0,3000000.0
100,0.0,0.0,3156087.152257268
200,0.0,0.0,3320285.680772575
300,0.0,0.0,3493026.0846728804
400,0.0,0.0,3674756.869739519
500,0.0,0.0,3865944.331936487
600,0.0,0.0,4067077.6189274434
700,0.0,0.0,4278672.466015606
800,0.0,0.0,4501272.748250457
900,0.0,0.0,4735453.06510227
1000,0.0,0.0,4981817.729501444
1100,0.0,0.0,5241003.634200313
1200,0.0,0.0,5513674.540517903
1300,0.0,0.0,5800530.294524985
1400,0.0,0.0,6102309.388873493
1500,0.0,0.0,6419788.484499805
1600,0.0,0.0,6753783.003938607
1700,0.0,0.0,7105155.067066796
1800,0.0,0.0,7474806.270894723
1900,0.0,0.0,7863690.009948038
2000,0.0,0.0,8272805.41130554
2100,0.0,0.0,8703205.114543434
2200,0.0,0.0,9155998.18907155
2300,0.0,0.0,9632346.326433474
2400,0.0,0.0,10133479.15723171
2500,0.0,0.0,10660681.846299868
2600,0.0,0.0,11215314.019796861
2700,0.0,0.0,11798800.86690863
2800,0.0,0.0,12412643.187143397
2900,0.0,0.0,13058423.663554184
3000,0.0,0.0,13737798.563752174
3100,0.0,0.0,14452521.619045686
3200,0.0,0.0,15204426.179810433
3300,0.0,0.0,15995450.769884482
3400,0.0,0.0,16827628.794566292
3500,0.0,0.0,17703099.63322257
3600,0.0,0.0,18624121.920840975
3700,0.0,0.0,19593056.786512863
3800,0.0,0.0,20612405.481766127
3900,0.0,0.0,21684783.347109027
4000,0.0,0.0,22812954.26227949
4100,0.0,0.0,23999819.511962846
4200,0.0,0.0,25248429.007297765
4300,0.0,0.0,26562005.18721749
4400,0.0,0.0,27943914.90936978
4500,0.0,0.0,29397725.214394733
4600,0.0,0.0,30927167.068382703
4700,0.0,0.0,32536181.002959527
4800,0.0,0.0,34228906.72623129
4900,0.0,0.0,36009692.5674613
5000,0.0,0.0,37883134.689197004
