milliseconds,C,I,R
0,9000.0,100.0,1000.0
100,9172.565540758442,101.81803428261223,1019.1739489731603
200,9348.256484689937,103.67213713044751,1038.6951649655482
300,9527.133167877473,105.56316161117545,1058.5703519863855
400,9709.245804302713,107.49185921511155,1078.8050893669674
500,9894.646487360073,109.45901978834584,1099.4051652622297
600,10083.387383289251,111.46545442840065,1120.3763759210274
700,10275.520700738398,113.51196914564525,1141.7245223042657
800,10471.098578192988,115.59935128205451,1163.455397576998
900,10670.174999761286,117.72848143161183,1185.5749999734755
1000,10872.803364466627,119.90021184562775,1208.0892627185133
1100,11079.035897734562,122.115337924012,1231.0039886371728
1200,11288.928173283279,124.37480070584532,1254.32535258703
1300,11502.53547476116,126.6795289247649,1278.0594971956823
1400,11719.91061839542,129.03034664059555,1302.2122909328202
1500,11941.110161939712,131.42824465308158,1326.790017993295
1600,12166.19105716124,133.87423168382372,1351.79900635124
1700,12395.207115668767,136.3691736231205,1377.2452350742956
1800,12628.215525421481,138.91410832001912,1403.1350583801495
1900,12865.274421365957,141.51012518079915,1429.4749357073101
2000,13106.438723507197,144.158138579324,1456.2709692785556
2100,13351.76603880053,146.85923496690532,1483.5295598667003
2200,13601.315167068418,149.61458758855835,1511.2572407853509
2300,13855.142064118225,152.42516275711245,1539.4602293464368
2400,14113.304584122048,155.29209831627372,1568.1449537913022
2500,14375.861675709586,158.21665647317323,1597.3179639676912
2600,14642.87016564047,161.19985832644434,1626.9855739600077
2700,14914.387970016785,164.24289618904848,1657.1542188907051
2800,15190.473625260161,167.34712716630222,1687.8304028066318
2900,15471.184621262479,170.5136303453577,1719.0205134735513
3000,15756.578721662987,173.7436557328058,1750.7309690736033
3100,16046.71340710621,177.03866150290762,1782.968156345068
3200,16341.646589718132,180.39978843712564,1815.7385099686103
3300,16641.435632659286,183.8283476456314,1849.0484036287337
3400,16946.13621745669,187.3259046858426,1882.9040241617733
3500,17255.80639799937,190.89366615409875,1917.3118219998441
3600,17570.502851782567,194.53300789607914,1952.2780946424161
3700,17890.278611056052,198.24560938551386,1987.8087345616873
3800,18215.191541601867,202.0327474906031,2023.9101712889947
3900,18545.29730845264,205.89586666761312,2060.5885898279635
4000,18880.645332648797,209.83676713380248,2097.8494814053083
4100,19221.292903511647,213.85680079910918,2135.699211501175
4200,19567.2945205924,217.95747563181106,2174.1438356212525
4300,19918.69866737877,222.14056533936213,2213.1887408197335
4400,20275.558365789213,226.40764032886074,2252.839818420891
4500,20637.92114447931,230.76047714679302,2293.102349386454
4600,21005.837471312167,235.20074485121364,2333.9819412567686
4700,21379.352737337125,239.73026488233472,2375.4836374817605
4800,21758.51492505533,244.3507807016128,2417.612769450447
4900,22143.365326363983,249.06421185399145,2460.3739251514057
5000,22533.950127249085,253.87235115563814,2503.772236360859
