miliseconds,T,E
0,98.90773176516268,1000.5006395110436
100,100.56152418306809,998.6082526124476
200,115.67941745282012,997.4615849711955
300,120.16357151276941,997.0199220728676
400,110.31804194060354,996.0879561123334
500,127.5870589379911,994.7404966675441
600,121.80688326715043,994.0857892781705
700,128.69534348934604,993.1369865671425
800,144.14564043169418,992.3939087653886
900,146.88469979080662,991.2975825643867
1000,145.65988289529545,990.172691655016
1100,166.34060880121496,989.0068563729951
1200,171.62356139449926,987.7410186365539
1300,163.72942608630714,987.5081160433749
1400,182.04922322100802,985.8763018225254
1500,178.38253975159006,985.1766997085258
1600,196.48455435382692,983.7408555446311
1700,207.50976587134485,983.3573525867218
1800,203.02034675994832,982.5417691023023
1900,224.95381699845566,980.6692765625355
2000,229.8051328928883,980.615366313613
2100,240.78549231672415,979.0685393430693
2200,241.70723922625996,978.517163629705
2300,254.34836446662894,977.3513286044791
2400,280.1977510223063,976.1576443427628
2500,289.9300009915407,975.6558438233842
2600,302.2809675109916,973.788663895795
2700,300.3821923830284,973.3032642449715
2800,322.1685058132644,972.32822641986
2900,341.9998904114494,971.1286394716731
3000,357.2058247530623,969.7207430524986
3100,365.1478886062042,969.4183293311407
3200,381.64515150304584,968.3698850930423
3300,397.72830259341913,966.8171990284453
3400,418.52568828751686,965.9344346707946
3500,426.17800842111353,965.5349256306911
3600,456.02981212608285,964.2613224938988
3700,467.5226413928742,963.8822460055019
3800,493.80383258177915,962.1838196578873
3900,510.75784588469855,961.1724430293771
4000,518.0497263136946,961.2527489713194
4100,546.1819467763676,959.3534037557696
4200,572.4967317277742,958.8668385775042
4300,602.4460467200572,957.5997708395391
4400,633.0717681014736,956.3754392674697
4500,655.0637892403383,956.1121146848633
4600,673.5964169082126,954.4971493196541
4700,709.0712578959573,954.3027452808022
4800,738.13307492008,952.2222968474871
4900,779.3042953271108,951.7882689914555
5000,802.8925423928977,950.7758504675207
