miliseconds,T,E
0,108.64119090470592,1000.1403209207494
100,106.96587722014618,998.9721418426112
200,105.80344448830482,998.5321342938554
300,122.24447784364246,997.6381029414598
400,127.29970346599835,996.5753408025653
500,128.5735924205251,995.2518250066572
600,131.73364881460958,993.8542598102746
700,136.53010752175405,992.6983988837599
800,140.72633663385116,992.066319970235
900,153.11042499104315,991.5672301954149
1000,150.8732064489741,990.583170752215
1100,165.42370413041004,988.9724670093619
1200,168.77560796425897,988.7013408054146
1300,176.6246660583734,986.4868947764135
1400,183.66257673813425,986.6101582801998
1500,180.5975767161935,984.3603017895543
1600,186.7753502430149,984.2735722787013
1700,205.90590979811935,983.1607953239536
1800,205.30018456836194,982.1672327733114
1900,223.96297765580965,981.3845996595753
2000,235.07549766309174,980.1544806171869
2100,229.5549543314192,979.7529536631534
2200,246.34230048434836,977.5206931000189
2300,267.79292575178545,977.1595348803806
2400,272.35486173795056,975.9352283994181
2500,279.72691527588825,974.9246928571821
2600,293.593823012201,974.6224647839371
2700,306.61022233370215,973.5152132315113
2800,320.80240462831836,971.7428032978505
2900,329.29109302157343,971.6303357779163
3000,346.42208172101664,970.8062645391839
3100,355.50597421084035,968.656129356137
3200,384.64191538979173,968.1846705902988
3300,389.70927044264056,966.8157458638304
3400,410.7153417069881,966.7983239242116
3500,430.7667202178593,965.7493375337102
3600,453.92168201174684,965.0850465582768
3700,461.84971728981196,963.7562237511523
3800,480.0675691545842,962.9260648374985
3900,512.7413404162335,961.9217643093641
4000,525.1876539400599,960.4001653203183
4100,543.5141060784774,959.3502096487252
4200,566.8162734980361,958.8216658470309
4300,600.0674799822455,958.096052050589
4400,631.4708089624129,956.6015219446905
4500,660.4685497695772,955.7890446477788
4600,671.0965965507132,954.8697614254768
4700,709.5040354316236,953.8828255839736
4800,736.0617881525644,953.48261518713
4900,770.2785937675748,951.8017976911451
5000,806.9235126249931,950.4604162739394
