miliseconds,T,E
0,106.8722321610241,1000.5357916716225
100,101.42565160773741,998.5194194987312
200,107.83603461367503,997.3407349494177
300,111.71710447613133,996.5280246529213
400,121.0712540954417,995.3501604758254
500,130.79418669198716,995.2895856338178
600,118.74757301607406,993.484274152091
700,139.55094745813858,993.0529172837925
800,130.12301712626243,991.7018928616379
900,146.6678336797981,990.3358787974776
1000,143.22664743955667,989.4701871806637
1100,160.91006693284055,988.3383425012325
1200,173.17228975810443,987.9686492881606
1300,172.34771766188683,987.2004811955675
1400,174.02374724804264,985.4397270563499
1500,193.31653946976002,985.0021248657511
1600,204.30991512049502,983.9183882919893
1700,198.77440423775758,983.2741827322442
1800,211.55681617022836,982.7023136956467
1900,229.82110864033524,980.959290296216
2000,220.2897528119915,980.6182216154416
2100,240.99876606277311,978.8611174951571
2200,249.7748371386377,978.4353113959721
2300,265.4951155864619,977.3866141581659
2400,263.8788127543882,975.9985636382136
2500,291.05818610980145,975.8327904654855
2600,292.4620777825299,974.5114014408265
2700,298.9696386969827,973.3122426649467
2800,324.4548619943642,971.5667553478686
2900,340.3070970949138,970.5814750529562
3000,348.2601806661734,970.677828951726
3100,370.4672467936839,968.8686546220739
3200,388.05620685621915,968.1433564739145
3300,385.8338099555368,968.0366485774133
3400,419.8893559623233,966.1490688019063
3500,437.77124740266726,965.5114068949631
3600,451.6819183418088,963.9161385130612
3700,473.35011345522986,963.4301338018263
3800,480.10837233749385,962.130356290005
3900,506.64978774662507,962.1542618500059
4000,537.9739395317284,960.956337904858
4100,549.4779084962462,959.9952966710518
4200,574.4604133460614,958.7944945757686
4300,598.2085336723618,957.8436988048038
4400,632.4248718568987,957.2373385270619
4500,656.5791650526462,956.0000872551868
4600,688.093117033837,954.5798771824215
4700,710.0431130803354,953.247738266056
4800,727.8664967908986,953.0483766021646
4900,766.3508129775236,951.4429632862825
5000,805.9918202320335,950.5921293636837
