miliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
3600,4.126640079364186e-11,5e-06,9.735402724219827e-10,1.493905603796814e-09,4.496926493183012e-23,1.2344000152155587e-08,3.6480315990733876e-13,1e-05,1e-05
3700,4.1080414055354405e-11,5e-06,9.68505458405366e-10,1.5324963605527992e-09,4.50451273461516e-23,1.2772094613013896e-08,3.690927462183916e-13,1e-05,1e-05
3800,4.1345034047540694e-11,5e-06,9.686503594501554e-10,1.5937753974486415e-09,4.4794771683935805e-23,1.342703976501574e-08,3.7273082142790296e-13,1e-05,1e-05
3900,4.146238425060165e-11,5e-06,9.726663804433441e-10,1.6185426153797289e-09,4.523634532266612e-23,1.4247235470480194e-08,3.89460632349313e-13,1e-05,1e-05
4000,4.119626812266611e-11,5e-06,9.649409319516228e-10,1.677513915552619e-09,4.5125847527380427e-23,1.4584175751966558e-08,3.942348480774449e-13,1e-05,1e-05
4100,4.114995255129276e-11,5e-06,9.649482128020865e-10,1.6680842970210308e-09,4.488437645156841e-23,1.5594921669172823e-08,4.0988228227471615e-13,1e-05,1e-05
4200,4.102201733063352e-11,5e-06,9.765598953064483e-10,1.7562183225111958e-09,4.4840541770962344e-23,1.5852491045489983e-08,4.1278916333068434e-13,1e-05,1e-05
4300,4.144410860655589e-11,5e-06,9.735090813415225e-10,1.751288420584579e-09,4.4965001368259826e-23,1.6534091281047504e-08,4.2020060363426473e-13,1e-05,1e-05
4400,4.115205177368321e-11,5e-06,9.644939567418953e-10,1.8017224566515649e-09,4.5248871354758853e-23,1.7134535626421262e-08,4.398715166676957e-13,1e-05,1e-05
4500,4.123158728131303e-11,5e-06,9.665046681049644e-10,1.8367983416402189e-09,4.5097580629956227e-23,1.7504280484424974e-08,4.4442925393372397e-13,1e-05,1e-05
4600,4.130107047683001e-11,5e-06,9.69081209497679e-10,1.8683077006200916e-09,4.5347983912157104e-23,1.8145270657236734e-08,4.570568415862024e-13,1e-05,1e-05
4700,4.1285109348403906e-11,5e-06,9.692513327175913e-10,1.9451590214688355e-09,4.531828145392313e-23,1.9098865462442804e-08,4.584456751993775e-13,1e-05,1e-05
4800,4.094707584800567e-11,5e-06,9.72348940323274e-10,1.993502591944197e-09,4.493673155948231e-23,1.9377582115632636e-08,4.718594355140754e-13,1e-05,1e-05
4900,4.1228862586747066e-11,5e-06,9.713317541150876e-10,2.0175487697552654e-09,4.4991315015461346e-23,2.0146840725782838e-08,4.860562705557208e-13,1e-05,1e-05
5000,4.103148771645327e-11,5e-06,9.663698337512228e-10,2.0888634465430873e-09,4.479479348084439e-23,2.0907863557146675e-08,4.990510842353756e-13,1e-05,1e-05
