miliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,2.8377981815963283e-13,5e-06,3.6217441510187794e-12,-1.9533266674640114e-11,1.7458632765168511e-25,-6.220992884310681e-11,-6.717365845942833e-15,1e-05,1e-05
100,4.1187475377064503e-11,5e-06,9.668519580153448e-10,7.086824225368554e-11,4.5172951390968574e-23,1.1139461782816938e-10,2.6067954267432056e-14,1e-05,1e-05
200,4.139355242389413e-11,5e-06,9.673916541965464e-10,9.820178137198618e-11,4.4803593767867716e-23,-2.2964078860569764e-10,3.424561805249829e-14,1e-05,1e-05
300,4.145934867514154e-11,5e-06,9.752680891165199e-10,1.0602034093862917e-10,4.494431247313593e-23,4.0178281483125677e-10,4.83598256356589e-14,1e-05,1e-05
400,4.097825288573045e-11,5e-06,9.763423305304316e-10,1.4069440654293055e-10,4.506906889122376e-23,3.9253989067853217e-10,5.911635205599123e-14,1e-05,1e-05
500,4.134830369286668e-11,5e-06,9.75784712039338e-10,2.1070236213519234e-10,4.5117828419795654e-23,1.2661347742244923e-10,6.826412091898513e-14,1e-05,1e-05
600,4.1223639275395104e-11,5e-06,9.717032118840262e-10,2.7702015534470654e-10,4.4991835520026436e-23,8.071600947164378e-10,6.763680973168857e-14,1e-05,1e-05
700,4.1346299995129685e-11,5e-06,9.668531548536624e-10,3.1659755356857247e-10,4.509820843773274e-23,4.167438477154805e-10,7.618334616154682e-14,1e-05,1e-05
800,4.116165553440912e-11,5e-06,9.679025415378893e-10,3.3590352024944584e-10,4.5116101472938415e-23,6.175055908280635e-10,9.409198016794814e-14,1e-05,1e-05
900,4.1042233667957105e-11,5e-06,9.773149807394646e-10,3.5915170078448653e-10,4.5033512360270636e-23,1.3013898622790402e-09,9.353354814418724e-14,1e-05,1e-05
1000,4.1054811369415936e-11,5e-06,9.65034230548075e-10,4.356255452710782e-10,4.492087728741907e-23,1.4145767240948722e-09,1.0950420349144937e-13,1e-05,1e-05
1100,4.1132796181778565e-11,5e-06,9.708104613582263e-10,4.761412486301053e-10,4.496127382708887e-23,1.343528147831443e-09,1.1956304082478188e-13,1e-05,1e-05
1200,4.124270278161491e-11,5e-06,9.670712581239278e-10,5.071764817126537e-10,4.5218199007581625e-23,1.7125440479013746e-09,1.3337660489934262e-13,1e-05,1e-05
1300,4.139790714840352e-11,5e-06,9.719776174060358e-10,5.275692648510422e-10,4.501357070472949e-23,1.940295682659819e-09,1.3214823773275112e-13,1e-05,1e-05
1400,4.1284095742009745e-11,5e-06,9.720537062197912e-10,5.641336796067181e-10,4.501140445461344e-23,2.442760137680159e-09,1.5347194361105788e-13,1e-05,1e-05
1500,4.130823662978122e-11,5e-06,9.673132495277517e-10,6.399393771336659e-10,4.501989243438869e-23,2.3847520489146918e-09,1.5621987165503462e-13,1e-05,1e-05
1600,4.129425085721035e-11,5e-06,9.697096514575458e-10,6.636386479551909e-10,4.4859126527373414e-23,2.981596977500787e-09,1.611931015337247e-13,1e-05,1e-05
1700,4.1279213014599806e-11,5e-06,9.676756385537524e-10,6.953899706170842e-10,4.5080607335048066e-23,3.540460833244055e-09,1.778434245673425e-13,1e-05,1e-05
1800,4.143086405328707e-11,5e-06,9.710869326934529e-10,7.398522036537956e-10,4.5104537722542773e-23,3.500626047289393e-09,1.9114133004595367e-13,1e-05,1e-05
1900,4.122866112082465e-11,5e-06,9.70043511667098e-10,7.802471650436908e-10,4.493868635942964e-23,4.338032227060098e-09,1.941760036600895e-13,1e-05,1e-05
2000,4.09690435893604e-11,5e-06,9.685485367558283e-10,8.496273821205456e-10,4.5345206093843416e-23,4.342001998305782e-09,2.0160806600560598e-13,1e-05,1e-05
2100,4.098039360069642e-11,5e-06,9.718779318410276e-10,8.786787616051544e-10,4.5100963040096695e-23,4.63784187595734e-09,2.1853324968272717e-13,1e-05,1e-05
2200,4.139539717661884e-11,5e-06,9.707578623083582e-10,8.81242433562177e-10,4.475901372476822e-23,5.645214221521578e-09,2.300411881447894e-13,1e-05,1e-05
2300,4.1093673528516924e-11,5e-06,9.658094258091516e-10,9.206017060258616e-10,4.481185466989239e-23,5.9115252880624085e-09,2.3501943588249756e-13,1e-05,1e-05
2400,4.1139771136063795e-11,5e-06,9.769838323931342e-10,9.922869331926786e-10,4.513992590362452e-23,5.986730784622312e-09,2.4395511745712237e-13,1e-05,1e-05
2500,4.117058731396834e-11,5e-06,9.645785701313886e-10,1.030570991060462e-09,4.515618169414074e-23,6.5004930751452785e-09,2.528583780108166e-13,1e-05,1e-05
