miliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,-1.6292685251714818e-13,5e-06,-4.976768179318023e-12,-2.8960343618080518e-11,-1.3850147673830693e-25,-4.450010561532878e-11,1.4638318115820766e-15,1e-05,1e-05
100,4.1169583160149543e-11,5e-06,9.73880046536601e-10,6.681290952698844e-11,4.5163748645089733e-23,-1.0850828968602384e-10,2.7589827433956605e-14,1e-05,1e-05
200,4.135717902810064e-11,5e-06,9.718283025248876e-10,1.0758495466880512e-10,4.504642004436833e-23,3.160229096549258e-10,3.6690226476867285e-14,1e-05,1e-05
300,4.1262277444601783e-11,5e-06,9.768006113048925e-10,1.4592895306090476e-10,4.505461099906134e-23,-4.648689987369175e-11,4.862479097462484e-14,1e-05,1e-05
400,4.12442061819334e-11,5e-06,9.694470682717994e-10,1.7002612445498518e-10,4.5350960999429173e-23,-3.5291040036818605e-11,4.614399086295362e-14,1e-05,1e-05
500,4.1297323312142635e-11,5e-06,9.717444367599736e-10,1.9817925180308179e-10,4.5115281915651943e-23,2.1509068655900039e-10,6.489588913155333e-14,1e-05,1e-05
600,4.114555972022393e-11,5e-06,9.721484421222968e-10,2.504743399345176e-10,4.51231450264651e-23,4.2668099981083887e-10,7.094288812383321e-14,1e-05,1e-05
700,4.1111668347645633e-11,5e-06,9.732491808579726e-10,2.8731433538068986e-10,4.4767780938814445e-23,6.288196620262285e-10,8.347675893012093e-14,1e-05,1e-05
800,4.0978505806945073e-11,5e-06,9.752566221848671e-10,3.2547475508042274e-10,4.4983836255146095e-23,1.1084759066931834e-09,9.021921258271102e-14,1e-05,1e-05
900,4.096299299841696e-11,5e-06,9.706673989209368e-10,3.8420884472406747e-10,4.53730378325177e-23,1.30176358773909e-09,1.0490190350413955e-13,1e-05,1e-05
1000,4.1402942300714325e-11,5e-06,9.718604993642432e-10,4.417900979022402e-10,4.4828569467776847e-23,1.5972368640304403e-09,1.0342064742355304e-13,1e-05,1e-05
1100,4.12766558831519e-11,5e-06,9.733960584133408e-10,4.4821043871538307e-10,4.496713980522173e-23,1.8342851702925325e-09,1.229060475929612e-13,1e-05,1e-05
1200,4.142878136605189e-11,5e-06,9.6685210410297e-10,5.211702097158668e-10,4.524306156402574e-23,1.879200735392229e-09,1.3220344629854468e-13,1e-05,1e-05
1300,4.1038692107635665e-11,5e-06,9.72809673844203e-10,5.521210742758965e-10,4.515112744474271e-23,2.2837696684683273e-09,1.3723573331425968e-13,1e-05,1e-05
1400,4.139749814084762e-11,5e-06,9.74288118958496e-10,5.606635655595962e-10,4.518047295635143e-23,2.2430455700592033e-09,1.525786670808273e-13,1e-05,1e-05
1500,4.118925049997767e-11,5e-06,9.716764258304318e-10,6.349188956533201e-10,4.5110741601634864e-23,2.7088910187430686e-09,1.58310553715037e-13,1e-05,1e-05
1600,4.1176596933983814e-11,5e-06,9.760094204421902e-10,6.441725261722664e-10,4.485476918398313e-23,3.2059503669148792e-09,1.7417702602102703e-13,1e-05,1e-05
1700,4.140433429089369e-11,5e-06,9.763448434931742e-10,6.842400726381607e-10,4.532366952028342e-23,3.2758566141732204e-09,1.7251245637550978e-13,1e-05,1e-05
1800,4.120574719270313e-11,5e-06,9.681600210057093e-10,7.573523257511661e-10,4.484961660855901e-23,3.49719266005377e-09,1.876580923497692e-13,1e-05,1e-05
1900,4.1414696177029723e-11,5e-06,9.730013456841525e-10,8.030643002620345e-10,4.49841574997478e-23,4.0690429885197244e-09,1.9852002892563077e-13,1e-05,1e-05
