milliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,3.732335744211238e-14,5e-06,-5.028734407372279e-12,9.690849473895398e-12,1.5567191373264985e-25,1.992297134605046e-10,-5.187027730080696e-15,1e-05,1e-05
100,4.1161778508304434e-11,5e-06,9.65258601264329e-10,4.4628807087524396e-11,4.534140731737419e-23,-1.4826865427168934e-10,2.512394933916763e-14,1e-05,1e-05
200,4.095368005771668e-11,5e-06,9.733350583256566e-10,8.507983232516655e-11,4.498972017666172e-23,2.8504330010121537e-10,3.052808925153466e-14,1e-05,1e-05
300,4.096370832019425e-11,5e-06,9.737892172281395e-10,1.4775362801348256e-10,4.523495204210104e-23,1.6965286845377004e-10,4.9572342762612037e-14,1e-05,1e-05
400,4.1400405052087196e-11,5e-06,9.773809552956848e-10,1.5302612911619907e-10,4.522167993004114e-23,1.5429398100839855e-10,5.695205290454562e-14,1e-05,1e-05
500,4.1181222069135763e-11,5e-06,9.776102831445768e-10,2.28662742199795e-10,4.5346713515752066e-23,3.768061019359835e-10,6.47142044333108e-14,1e-05,1e-05
600,4.13899975735731e-11,5e-06,9.702415583082685e-10,2.20618636806652e-10,4.476964688785604e-23,6.598439524263174e-10,7.836986508252347e-14,1e-05,1e-05
700,4.0959628807367554e-11,5e-06,9.730046280890165e-10,2.7857148733478604e-10,4.4794922529084175e-23,8.227600202934014e-10,8.479668802171187e-14,1e-05,1e-05
800,4.102806745037114e-11,5e-06,9.72995641889389e-10,3.2747452833320266e-10,4.505712520054527e-23,6.957447771262648e-10,8.804686206136086e-14,1e-05,1e-05
900,4.116681521614835e-11,5e-06,9.776934167091117e-10,3.979095979744182e-10,4.500073668724322e-23,8.762596058861454e-10,1.0685258403867155e-13,1e-05,1e-05
1000,4.10177752138221e-11,5e-06,9.743437277949613e-10,4.384703426331893e-10,4.5169847343053916e-23,1.5098822902737993e-09,1.0597853557928892e-13,1e-05,1e-05
1100,4.104274948562336e-11,5e-06,9.776646636354085e-10,4.810150949802685e-10,4.4914990285694504e-23,1.6840866436605861e-09,1.2421154958617336e-13,1e-05,1e-05
1200,4.0968301367084135e-11,5e-06,9.735140407006173e-10,4.726560154260827e-10,4.503780950140503e-23,1.6305630519510167e-09,1.3223949491440662e-13,1e-05,1e-05
1300,4.1411984453484947e-11,5e-06,9.702197605925628e-10,5.599965816377192e-10,4.5360967505392884e-23,2.3888320045661885e-09,1.3178064838931803e-13,1e-05,1e-05
1400,4.097386084018867e-11,5e-06,9.729595685790283e-10,5.687572872782355e-10,4.513835320333794e-23,2.4185437772316578e-09,1.5103023858751246e-13,1e-05,1e-05
