milliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,1.540040687559506e-13,5e-06,5.0790342644722454e-12,-2.6772539421613012e-11,-5.812103140291436e-26,-1.1263287382415804e-10,-1.7180142476280993e-15,1e-05,1e-05
100,4.1367268769531e-11,5e-06,9.748881901034496e-10,3.525090246941637e-11,4.514602495029036e-23,1.1019126902756984e-10,1.6883194235565998e-14,1e-05,1e-05
200,4.1430557756941454e-11,5e-06,9.774943899658838e-10,6.11215152691171e-11,4.5073254826326316e-23,-2.2470795532405341e-10,3.2406047110623854e-14,1e-05,1e-05
300,4.129264223585727e-11,5e-06,9.74022195774887e-10,1.179969069285164e-10,4.5014638616940673e-23,7.434373033428948e-11,4.6408420692503863e-14,1e-05,1e-05
400,4.099565057290368e-11,5e-06,9.73773371064815e-10,1.4562866232468466e-10,4.5324298664115237e-23,-5.31785442059321e-11,5.868532631935003e-14,1e-05,1e-05
500,4.099799632347123e-11,5e-06,9.648926710045987e-10,2.0543804321555164e-10,4.4997217945575285e-23,4.2929541179235747e-10,5.915684827502066e-14,1e-05,1e-05
600,4.134313905419828e-11,5e-06,9.657362274530664e-10,2.497352459454017e-10,4.5190845115744994e-23,4.4041764153658383e-10,7.681017480976891e-14,1e-05,1e-05
700,4.119175831250284e-11,5e-06,9.723883778452586e-10,3.010818929293424e-10,4.4788985314198376e-23,8.430992545469019e-10,8.44142592254632e-14,1e-05,1e-05
800,4.132408004436066e-11,5e-06,9.696997990277197e-10,3.5250407264148616e-10,4.4989474291613755e-23,1.1335526001138785e-09,8.982364815002434e-14,1e-05,1e-05
900,4.139392020933003e-11,5e-06,9.673602000161428e-10,3.661772865529293e-10,4.4906027302852944e-23,8.667455581250337e-10,1.0336689609756649e-13,1e-05,1e-05
1000,4.13635676584804e-11,5e-06,9.728607456072058e-10,4.012543459342598e-10,4.5113538849191477e-23,1.0815040153091652e-09,1.0710242406514358e-13,1e-05,1e-05
1100,4.10779045620852e-11,5e-06,9.691084517015828e-10,4.2491097044661514e-10,4.493386090160392e-23,1.4027232341145095e-09,1.2122124843192842e-13,1e-05,1e-05
1200,4.1321690012162204e-11,5e-06,9.772664374296818e-10,5.215359845734298e-10,4.4782000528769655e-23,1.778192009724992e-09,1.224279418456994e-13,1e-05,1e-05
1300,4.148773641482092e-11,5e-06,9.68088566151466e-10,5.204790628996226e-10,4.500000016237514e-23,2.2235419976058293e-09,1.4239821030808851e-13,1e-05,1e-05
1400,4.132635495046864e-11,5e-06,9.6732621462952e-10,5.815765578616423e-10,4.477407769762369e-23,2.128201262073492e-09,1.4804614937837628e-13,1e-05,1e-05
1500,4.1336308605210454e-11,5e-06,9.73673310752471e-10,6.334151225899176e-10,4.5261121958033323e-23,2.6221275950986608e-09,1.6287338804555967e-13,1e-05,1e-05
1600,4.098418516525009e-11,5e-06,9.74543544142842e-10,6.632749608222463e-10,4.5246399952474634e-23,2.9965968535310785e-09,1.6712912472842461e-13,1e-05,1e-05
1700,4.129471633030714e-11,5e-06,9.68251212389553e-10,6.931074011156202e-10,4.500904962254258e-23,3.339194495278343e-09,1.814072543786378e-13,1e-05,1e-05
1800,4.1205943154477055e-11,5e-06,9.66391424124006e-10,7.303953906568076e-10,4.517244615756444e-23,4.0490115921236945e-09,1.917782337441561e-13,1e-05,1e-05
1900,4.12455695849007e-11,5e-06,9.66308628106123e-10,7.655748910218579e-10,4.531440218754366e-23,4.454841121992747e-09,1.9784529661389617e-13,1e-05,1e-05
2000,4.133580102803281e-11,5e-06,9.65634412503148e-10,8.020693576079386e-10,4.492794960699868e-23,4.476600731724509e-09,2.00301450355629e-13,1e-05,1e-05
2100,4.11529392679106e-11,5e-06,9.66516712322101e-10,8.806729574050538e-10,4.500486919032258e-23,4.96633847870706e-09,2.2038674829923467e-13,1e-05,1e-05
2200,4.1350449694483005e-11,5e-06,9.662296583710744e-10,9.214811128108117e-10,4.5278851226709045e-23,5.543538792180957e-09,2.245849565576697e-13,1e-05,1e-05
2300,4.110341678512806e-11,5e-06,9.71832530075927e-10,9.44884278512219e-10,4.505165698699715e-23,5.974626970716434e-09,2.3233420998751966e-13,1e-05,1e-05
2400,4.12668674300047e-11,5e-06,9.679550442696826e-10,1.0175259492426064e-09,4.4818945252360586e-23,6.594426699206655e-09,2.437406493887681e-13,1e-05,1e-05
2500,4.140327087138164e-11,5e-06,9.758260250662726e-10,1.025004814859931e-09,4.5294712879845424e-23,7.020484182557487e-09,2.523994851405522e-13,1e-05,1e-05
2600,4.137969615948505e-11,5e-06,9.740973962415822e-10,1.079475596871162e-09,4.481158203273578e-23,7.247849566744965e-09,2.591451486016064e-13,1e-05,1e-05
2700,4.0980622510680056e-11,5e-06,9.731113649114035e-10,1.0881159543787229e-09,4.521488568147375e-23,7.943629079059426e-09,2.700489952345873e-13,1e-05,1e-05
2800,4.110642568011276e-11,5e-06,9.648198937678833e-10,1.156104310730789e-09,4.491945791404436e-23,8.104245160919787e-09,2.8470819233245025e-13,1e-05,1e-05
2900,4.129328295126133e-11,5e-06,9.746894918705522e-10,1.2247168334845978e-09,4.490639655097109e-23,8.436804803937809e-09,2.9893344665836783e-13,1e-05,1e-05
