milliseconds,s22,s36,s65,s93,s110,s113,s114,s117,s119,s123,s124,s126,s127,s128,s130,s132,s133,s150,s160,s165,s170,s173,s178,s185,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s205,s206,s209,s212,s213,s214,s215
0,0.00033333091716225723,0.00033333216197236915,0.00033333545798052225,1.4936274344352696e-13,2.3874951090070553e-14,1.1152555782121456e-11,1.7507319310123557e-17,-3.530914478354467e-11,-1.8495263344424984e-13,-5.942277751025903e-12,-8.747083581397925e-15,6.251788818780193e-40,7.707632768714351e-41,-9.2876864194212e-41,0.0,0.0,1.357204453453756e-07,-1.3303415317734944e-06,5.351103553743778e-10,-4.806932677830961e-10,-4.184853783145924e-10,8.153907558543941e-10,3.62357731675089e-11,9.431532052563863e-11,4.945102161134696e-41,0.0,9.633697919081225e-32,0.0,1.4512975333516138e-45,6.66795299248716e-06,2.3030503732136736e-09,2.1290033361421128e-33,1.093848272500572e-39,1.1274933298488245e-49,6.6693303294797875e-06,7.022800563892836e-10,2.1782985154876561e-41,-8.825670323566722e-52,6.669451681472452e-06,-2.0974764927301166e-09,-1.4896048059835e-10,-4.1505929669306984e-39,1.232492239007692e-50,2.8697168972570924e-41,-1.179265131790913e-51
100,0.00033333209270307404,0.0003333305226476673,0.0003333315845936714,-9.650458389431623e-14,2.29726482633428e-14,3.5883074276388356e-12,-1.0457071257270606e-17,-2.513437338352426e-11,-2.752088408929872e-14,7.90396056519044e-12,1.479965077011603e-14,-2.1329204354174376e-41,-4.093145282444677e-40,6.805253143091622e-41,0.0,0.0,1.6836848339185865e-06,-1.2132341024902518e-06,-1.4445542997680094e-09,2.602648871754491e-10,8.444471544432246e-10,2.3004527114869868e-10,1.7886689890270716e-11,4.907168579996351e-10,-1.840584637613317e-41,0.0,2.691485082637304e-31,0.0,-1.2677047378091318e-45,6.663286040444105e-06,1.1346547632935393e-09,2.8903260564331865e-34,2.1783084766242918e-39,-3.0247416859082347e-50,6.666943764298147e-06,1.7683335996758955e-09,4.112852711644584e-41,-2.9406661147733007e-52,6.6616854811242515e-06,3.626211693109933e-09,1.914040748558621e-10,-2.3626201694659725e-39,-1.082649369425336e-49,9.116900748514551e-42,1.1551315626869395e-51
200,0.0003333319846640683,0.00033332659113312823,0.0003333303470642949,-1.4140257516245923e-13,-6.108663236953529e-14,1.1829384815900846e-11,-1.995162852377511e-17,-1.0294477131308633e-11,-8.523459382851205e-14,2.7783651881266538e-11,-1.6629518110751157e-14,6.361136888798808e-40,-1.0111583106480196e-40,1.171734629394372e-40,0.0,0.0,8.307567056831746e-07,-1.2292327360723281e-06,4.196531328827121e-10,1.5376441563613708e-09,-4.466361890498691e-10,-1.0584317725390566e-10,1.3065100751215538e-12,7.041238302166916e-10,-4.873577222098219e-41,0.0,2.536500907799774e-31,0.0,-2.601668144893569e-46,6.662986380246294e-06,7.64484180506058e-09,1.6133416827340675e-34,-2.9628945801887273e-41,1.2359748787491307e-49,6.659515003683985e-06,7.463442993382093e-09,4.4681547057143804e-41,2.7374679738562518e-52,6.6600338228769635e-06,6.664445196950402e-09,-3.0276373153312433e-10,-5.330100194456501e-39,4.468875760994583e-50,-5.904703257690499e-42,-9.64326777320642e-52
300,0.000333329357359685,0.000333323940823539,0.00033332531781864465,-1.1688673189418652e-13,7.86470635177658e-14,1.8226965173337743e-11,1.5315620413272914e-18,-3.2136023874256694e-12,1.5072258262705386e-13,1.626822111709462e-11,-1.6262813189966557e-14,2.3391890369004107e-40,2.5010654768073164e-40,3.9169592287320423e-41,0.0,0.0,1.8411284341724022e-06,-2.242337457903846e-06,-7.199401656648002e-10,1.3616121380094559e-09,-1.8254826621883928e-09,2.3263346950711616e-10,2.9333263348544985e-11,7.383352322183845e-10,-2.8567003483887536e-41,0.0,2.5388866976755122e-31,0.0,1.679686359136473e-45,6.661590103952489e-06,3.4052157122056673e-09,4.5247242024666e-34,4.3846558113526245e-39,5.008656405775305e-50,6.661064957524285e-06,4.8888036524691575e-09,-4.4076002197042203e-41,-6.977252702971586e-52,6.659935059703915e-06,8.17605406761978e-09,-8.750132176326433e-10,1.2706408338976518e-39,4.2520914074540524e-50,5.3777721257671996e-42,1.1922469147501951e-51
400,0.000333323341508952,0.0003333261058141233,0.0003333250190409205,6.185250960632737e-14,-9.105112640886983e-14,2.034458876542336e-12,-1.5730988632159372e-17,2.996677522282768e-11,-1.826834531568285e-13,-2.0092383545889804e-11,2.188495279742742e-14,-5.529172581916859e-40,3.439461459195862e-40,-1.5080884186766262e-40,0.0,0.0,4.376112632584639e-06,-4.273746220838584e-06,-4.6210135003847455e-10,2.792862357580606e-09,-1.545719645035761e-09,1.5190960984382692e-09,1.7603693016244356e-11,1.4764798667290835e-09,6.279429391109828e-42,0.0,-6.877999511852303e-32,0.0,1.5236252973995545e-45,6.657790299570752e-06,7.0131143233718986e-09,-7.474034601638875e-34,3.773467042037175e-39,2.6827251048981847e-50,6.655370450318714e-06,6.848558994768294e-09,-1.4210723588284337e-41,1.010554747910316e-51,6.65768407874158e-06,8.440629587716704e-09,-9.212995511209587e-10,-1.9662254031211767e-39,2.98437281844163e-50,-1.758179562805416e-42,-2.1716368514353365e-52
500,0.0003333208339991164,0.00033332222302476244,0.00033331976558402613,2.231397729135392e-16,-6.497205632765379e-14,2.2494579654636884e-11,-5.594274091130266e-20,3.989591311362325e-11,-8.95468600595367e-14,-2.2818818191559554e-11,-1.0086168274953114e-14,2.613827839795011e-40,4.58704269252506e-40,-4.89175443671425e-42,0.0,0.0,5.665641359402815e-06,-4.991881392200124e-06,-1.6439049400920341e-09,1.6899209532086756e-09,-2.76069960031373e-09,1.9252364693478467e-09,-9.389004408559132e-12,1.7331041820368983e-09,-3.19265590258778e-41,0.0,-1.8760757857111693e-31,0.0,-3.073944240253992e-46,6.657738884537779e-06,1.2394381768568076e-08,-4.2997976405990185e-34,-5.021379434967079e-39,-1.3054099823112384e-49,6.6548396742813775e-06,1.2247085745051803e-08,-2.831977797418985e-41,5.6360661083626825e-52,6.657727128350418e-06,8.820631947371118e-09,-1.7283607172436809e-09,3.164732364481265e-39,1.2971466162109631e-49,4.375994309546103e-41,1.1914556349184236e-51
600,0.00033331913423803654,0.00033332113442958246,0.00033331895021741705,7.454727505125262e-16,-6.492585579379635e-14,-9.969847033422079e-12,1.1307026420698185e-17,1.7942744345434377e-11,2.787560823124953e-13,-1.9482272334758246e-11,1.457829618140334e-14,9.730444400782492e-41,1.7544629051983196e-40,1.0214542642211962e-40,0.0,0.0,5.549975329695154e-06,-5.563042037132805e-06,-2.03617359951269e-09,2.4435541814427994e-09,-1.9863008809016792e-09,1.488454121995172e-09,5.1851061371684786e-11,1.9307851304933034e-09,-4.3686133604918517e-41,0.0,-1.6521374002043835e-31,0.0,-1.4852905479174237e-45,6.655787307930018e-06,1.6522982723118604e-08,2.1058229628369876e-33,-5.078163116091618e-39,1.4602138002475391e-49,6.655103753694709e-06,1.295176429255246e-08,8.901981135485138e-42,-8.479092563679389e-52,6.652618929555137e-06,1.5145572757305193e-08,-2.278072476888106e-09,-9.154642128107547e-40,5.928570494038765e-50,-4.776539532098409e-41,5.797187811011881e-52
700,0.0003333189492373269,0.00033331618120129643,0.00033331677552184233,9.306007412249088e-14,1.3330105273273333e-14,5.885531232991732e-12,-1.7088135545358647e-17,3.8985482282456694e-11,1.1901946156650732e-13,-1.556507952373988e-11,2.2144597464036992e-14,1.7017815085532548e-40,-3.30607364107435e-40,-3.9682908822158395e-41,0.0,0.0,7.113120449474507e-06,-6.625872027033209e-06,-2.1831134012473265e-09,3.3212808509493715e-09,-1.697381984837983e-09,3.0186239327422477e-09,-1.1657740914620465e-11,2.005043595790271e-09,4.017012277189822e-41,0.0,-2.4467750705510963e-31,0.0,2.909849449433959e-46,6.653108299955983e-06,1.4231722008462437e-08,-1.767704183881936e-34,-4.973799089608552e-39,1.4794527125471745e-49,6.653106632213293e-06,1.732887501538714e-08,1.3010614331214246e-41,-3.894684589973009e-52,6.6507751682396236e-06,1.2785435455550118e-08,-2.312697135664062e-09,-3.095418484135128e-39,2.2705081203612224e-50,1.1136064408746101e-41,4.396145695400555e-52
800,0.00033331842129626153,0.0003333160291226205,0.0003333153732583149,2.6164151727625082e-14,1.3525104187935544e-14,1.1167429537138999e-11,1.907314218555583e-18,5.584104392707235e-11,-1.1803782290207693e-13,-1.168541548932539e-11,-1.0284011831659776e-14,5.361390452043886e-40,-5.025466856717552e-40,-1.4360729889785993e-40,0.0,0.0,8.601102494240867e-06,-6.615283653553362e-06,-3.5031085675017875e-09,2.7357289955334163e-09,-3.821515447136127e-09,3.908955003757709e-09,2.5997576553210794e-11,3.0306879941937763e-09,-3.420120069835103e-41,0.0,1.5928567716706525e-32,0.0,-1.833013352618743e-45,6.651664562262668e-06,1.676050683091771e-08,-7.698794501118592e-34,3.9751435070948164e-39,-8.79751278119511e-50,6.650838928468338e-06,1.715425650520445e-08,4.313719002358088e-42,-3.903446579325352e-52,6.6482591050519415e-06,1.527421266085265e-08,-2.8963662737079315e-09,5.0896703306610786e-39,-1.326286745711278e-49,-3.731924219959123e-41,-1.4420550753554912e-52
900,0.0003333139589614442,0.0003333130731098832,0.0003333101833475987,2.3915937286541266e-14,1.1366084122937407e-13,2.0803183245275108e-11,3.570335169979204e-18,4.332659560678342e-11,4.708555062641705e-14,-3.208186700341055e-13,-4.080345971088514e-15,4.234643485634733e-40,-4.663474756859859e-40,1.0059392363364751e-40,0.0,0.0,9.805150142898982e-06,-8.892931191874535e-06,-5.176469673090913e-09,4.914880489394907e-09,-4.535600063591297e-09,4.3338365611364436e-09,3.528281869676736e-11,3.656144747072253e-09,-3.177460173386423e-41,0.0,2.616895862384974e-32,0.0,1.2260500090085842e-45,6.647839661841806e-06,1.9758744664591758e-08,-2.170822649885051e-33,5.080368226499434e-39,-4.5751534750271235e-50,6.644258208340567e-06,2.3019181348649032e-08,-4.704262346448698e-41,1.1479675122046544e-51,6.64964735468139e-06,2.125074102185391e-08,-3.045373894292307e-09,1.0922249432595312e-39,6.920602528468573e-50,4.05353794306633e-41,9.395081307609271e-52
