milliseconds,s22,s36,s65,s93,s110,s113,s114,s117,s119,s123,s124,s126,s127,s128,s130,s132,s133,s150,s160,s165,s170,s173,s178,s185,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s205,s206,s209,s212,s213,s214,s215
0,0.0003333324760133079,0.0003333317571293032,0.0003333342230386253,-1.2498504547660326e-13,-1.4439525189976758e-13,9.79405805076173e-12,-1.7824945920314298e-17,2.26984019828709e-11,7.513150695775985e-14,-8.82648114904952e-12,-8.06336263685409e-15,2.670699575485771e-41,3.462045162804119e-40,-8.152826811505239e-41,0.0,0.0,1.0754478137539773e-06,-5.868526889279182e-07,6.655234617193674e-11,-1.1242232714773733e-09,3.16197554762257e-10,-7.417416360526751e-11,-2.925373592896802e-11,4.252497243452847e-10,-2.908149741681675e-41,0.0,-2.637893171889532e-31,0.0,-1.9165421097580307e-45,6.663779036332944e-06,1.1479408874047081e-09,1.2902826805310964e-34,5.223136608228203e-39,-4.961965973940559e-50,6.668842749842424e-06,2.592573753656719e-09,-5.220851252131367e-41,-1.163068743904604e-51,6.6674073494010305e-06,1.3398471095995545e-09,3.3019003763556335e-11,3.081511089100628e-39,5.787480287423477e-50,-1.5547895697826897e-42,1.0988022206680399e-51
100,0.0003333297382208343,0.00033333120404136396,0.00033332947544673655,1.5063265258690808e-13,-4.610482717038537e-14,-7.2616340914262495e-12,-2.0309617544895777e-17,5.8180557808883195e-12,-1.1220490144273136e-13,-8.849170014092475e-12,-1.807063050067172e-14,-3.3911265615723472e-40,8.153816568089072e-41,-1.3790767526704052e-40,0.0,0.0,-3.115568393065725e-07,-9.892353480056214e-07,-1.5526815613381532e-09,7.388236317434088e-10,-1.3282333305758317e-09,8.73601052364054e-10,-3.6560656582750317e-11,1.3884514491220685e-10,-2.4272839934630503e-41,0.0,2.521675761075706e-31,0.0,-1.379554497940382e-45,6.6650419959340805e-06,-4.991652467028607e-10,-1.260915387783279e-33,-2.7998684432021737e-40,8.055093172528608e-50,6.66357245176249e-06,1.8459550952688836e-09,1.8290907294842918e-41,-1.034546881311754e-51,6.662590210660669e-06,3.609607983409105e-09,-4.170156784038789e-10,-4.263978527858175e-39,6.267894000674418e-50,5.460299279616186e-41,7.123495898060686e-52
200,0.0003333276493540465,0.00033332614049870165,0.00033333134734767024,-1.2850577903105952e-13,7.393536125075772e-14,1.5604908635708734e-12,1.4724332446940804e-17,-2.634052686629132e-11,2.1062713973146106e-13,-8.644860598205803e-13,-1.987003104503287e-14,2.628367889160747e-40,3.1116229484974005e-40,-1.328341871356252e-41,0.0,0.0,3.2538976808854064e-06,-3.1111307324617997e-06,-7.458321215926914e-10,1.199614296938059e-09,-1.5055494213084055e-09,-1.917390443560439e-10,3.8711029213071736e-11,1.072135134852553e-09,-5.100312055037824e-41,0.0,8.858801168742065e-33,0.0,-6.519634377258391e-46,6.659153116207141e-06,6.840225639637586e-09,-1.4260874107799403e-33,-3.6289520533276435e-39,-9.188698413180817e-50,6.662848472856707e-06,7.440119614585944e-09,-2.1875646926534895e-41,-8.186350914915486e-53,6.6594314008847044e-06,1.3192599318665092e-09,-6.780393645809094e-10,-2.95501915237896e-40,-1.4072014350356713e-49,-2.775932088998424e-41,8.461008237933661e-52
300,0.00033332524340685694,0.0003333268972645336,0.00033332912169874195,1.4714944767782025e-13,8.541950275045968e-15,-1.965350823802878e-11,1.626415351637273e-17,3.131463954679834e-11,2.7811656563278104e-13,1.9908404124547782e-11,-1.1506722577863545e-14,1.3776739967129455e-40,-3.0516842293001078e-40,1.5534133959512132e-40,0.0,0.0,2.7020489136070118e-06,-1.7664702382710594e-06,-1.1801589022396739e-09,1.505933807617611e-09,-5.578722485655249e-10,1.9786779656891796e-09,2.49560015392635e-11,1.5604086777696968e-09,-3.5644794309915037e-41,0.0,-1.8360812776676978e-31,0.0,2.8806731479010104e-46,6.662509190474293e-06,7.681571773954223e-09,9.486929542186195e-34,-5.4945150751885545e-40,-6.798957813433312e-50,6.663076209007514e-06,5.86774447343355e-09,1.8808244350946484e-41,-9.28114490011681e-52,6.663014433064264e-06,9.42244919208332e-09,-4.1593606430673017e-10,3.254695465826446e-39,1.0525864200962978e-49,3.020614825619146e-41,7.852710280415314e-52
400,0.00033332651391793344,0.00033332588999903355,0.0003333269596726082,-1.676374853362823e-13,-5.213096045900848e-14,2.769380065047391e-11,-8.541319811308472e-18,3.5487530277046996e-11,1.0641851899556477e-13,-2.213994346844946e-11,-1.8174389478704307e-14,-5.063479374227605e-40,-4.437895190966468e-40,-3.8447468085604057e-41,0.0,0.0,2.7081246948219197e-06,-3.5716977864315813e-06,-2.6789086072527144e-10,2.742280824994416e-09,-2.6912218427214433e-09,9.180105251583906e-10,3.133520913094628e-11,1.0238639235145545e-09,-3.4636090538125103e-42,0.0,-3.2551753542127115e-31,0.0,1.1361633862569376e-45,6.660770736230969e-06,1.207722196581768e-08,-5.430776267651401e-34,-6.72428189437024e-40,2.5492920853555218e-51,6.6571227014773076e-06,1.1497748705530147e-08,-1.2480354131346782e-41,2.0862729204383145e-52,6.659051009989077e-06,8.118961431294902e-09,-9.279062021525245e-10,3.1876939713107474e-39,1.809847761931927e-50,-3.089760426038725e-41,-4.1365431525437154e-52
500,0.0003333216446438831,0.0003333214218781624,0.0003333225540067085,-2.105302503087777e-14,1.045997682327905e-14,-9.857330571444416e-12,-1.8854047412859268e-17,-3.2191944711063956e-11,2.1417822715926905e-13,2.555382220653621e-12,1.520010810285817e-14,-3.909436182441539e-40,2.9104897028386185e-40,1.5213801333159578e-40,0.0,0.0,6.2585906947592075e-06,-4.131444207477045e-06,-1.8107960901982524e-09,3.1748024477947814e-09,-3.0607931490048458e-09,3.1028417467193568e-09,-1.711837686370091e-11,1.3208536999820572e-09,-5.077163194314486e-41,0.0,2.8958695914759047e-31,0.0,-1.3129286763342268e-45,6.654512402200016e-06,1.4361855979728091e-08,-1.6824755637644143e-33,-2.970154302280176e-39,-9.285033067969711e-50,6.658284714082787e-06,1.1407391223760538e-08,-3.846474367775537e-41,-1.1988797130981653e-51,6.655318464936718e-06,8.233736387737894e-09,-1.2922003835130152e-09,7.70206551170747e-40,-1.4019305891584652e-49,4.418582144916832e-41,6.091294073929999e-53
600,0.00033331797094187895,0.00033332026472728216,0.0003333177295707161,-1.2863346959553793e-13,-8.694730388594627e-14,6.24895000887194e-12,-1.587412047015668e-17,4.698261324887078e-11,-5.898726394446394e-14,-1.811328945715948e-11,-7.513984113046909e-15,-4.192147607307637e-40,-1.2947420829957016e-40,2.8358304443457116e-41,0.0,0.0,5.287530146369434e-06,-4.9343686763239605e-06,-1.6782835368417847e-09,3.0296385471701773e-09,-2.716301613509447e-09,1.7120113195168259e-09,-9.61747726260773e-12,2.3018359330532815e-09,3.9038216463514115e-41,0.0,1.1035632449572479e-31,0.0,4.604805529066294e-46,6.655392870284584e-06,1.6003272880833207e-08,1.780177290244546e-33,3.6053373476637045e-39,4.736105902607082e-50,6.653934699732532e-06,1.2084321555642705e-08,-2.132074302651515e-42,1.0218465749795527e-51,6.655865794357453e-06,1.4022889110112057e-08,-1.8302232434883496e-09,8.856152050681447e-40,3.5426357073493524e-50,1.8717322458097677e-41,6.267350308132443e-52
700,0.0003333145560075133,0.0003333176190913387,0.0003333184752264589,4.091503116467692e-14,1.3322183565057754e-13,-1.269577141159326e-11,-6.366152559293024e-19,1.0041895726066614e-11,-2.3799860551057747e-13,1.7890277236056992e-12,-1.5700221579720535e-14,-3.5811445801336577e-40,1.5316965212005956e-40,3.586528962431189e-42,0.0,0.0,7.643717324865798e-06,-7.192331776633219e-06,-2.2854787566434873e-09,2.7450001602454164e-09,-2.5693038195115973e-09,3.0448407410573742e-09,-9.030974099816715e-12,2.4465562140162954e-09,4.1100286518489013e-41,0.0,1.4847378424015635e-31,0.0,-1.1903407901707767e-45,6.6519212672059315e-06,1.3193248339787827e-08,1.935926935160268e-33,1.1917311739827938e-39,3.19546233239801e-51,6.652375839578696e-06,1.3179167939731843e-08,2.573712081449562e-41,-2.014651738061957e-52,6.653102114852828e-06,1.626355246784229e-08,-3.0380885528527145e-09,-1.8739587728154406e-39,-1.4136270265532116e-49,4.748842857716796e-42,-3.8850494983060404e-52
800,0.00033331586109141864,0.00033331878141682045,0.00033331392994357935,2.666176636799869e-14,4.40171697133886e-14,-3.0870588795249414e-12,-3.897376817302786e-18,1.8278351330325413e-11,-1.248202939262239e-13,-4.0729946358340686e-12,-5.454262547170621e-15,-4.8535354603573595e-40,-4.790705160773771e-40,-9.42055874066302e-41,0.0,0.0,7.285132109279388e-06,-6.95633320002494e-06,-2.528899155421585e-09,2.921449735001115e-09,-3.2595878579816196e-09,4.660225054993446e-09,-4.238187297888612e-12,2.9489468974802214e-09,-9.768012938033477e-42,0.0,-2.113774479635286e-31,0.0,8.050485266590163e-46,6.651634153115232e-06,1.9837693590669155e-08,-1.374144010852417e-33,-2.952757381002205e-39,-1.506456091576563e-49,6.650554346605521e-06,1.5650623087937225e-08,3.743679348077343e-41,-3.272898716416643e-52,6.652043791452978e-06,1.9527479600303384e-08,-3.2787193356786778e-09,-4.008314219084146e-39,1.3739500160498383e-49,-4.3561274903736055e-41,1.1253502783759799e-51
900,0.00033331493357472493,0.00033331222194543647,0.00033331384026670123,-1.3479761146061737e-13,1.132599868926862e-13,1.2812985519798927e-11,-1.622259289114286e-17,6.177181073598342e-11,-1.3059024735997582e-13,1.82034013883864e-11,-7.379051994085217e-15,5.06517566824277e-40,3.219073853201038e-40,6.362731328357251e-41,0.0,0.0,8.775448571374737e-06,-7.923564365132581e-06,-3.240043408136558e-09,3.036135564824929e-09,-3.739223877820847e-09,4.167929235243572e-09,6.084205117984833e-12,3.2093813725981855e-09,4.652217106676787e-41,0.0,-1.085754226740935e-31,0.0,1.981116293881532e-45,6.647770815885893e-06,1.6906884900260504e-08,-9.1228148257655e-34,4.1389943599637333e-39,-4.91161007183414e-50,6.646877269391855e-06,1.7680355283365106e-08,2.3841159531522745e-41,-8.750583144333422e-52,6.6496161861072664e-06,2.118635248987579e-08,-3.468592365159025e-09,-1.5563821463664707e-39,-1.085925556295193e-49,-3.201427489627638e-41,-9.529306551638274e-52
