miliseconds,A,T,M
0,14125.597252341542,66086561.02831105,996457.7356520118
100,14084.067393651934,66088823.36514144,987734.727007481
200,14027.389678353886,66121503.079147674,980274.7713881962
300,13985.097149304114,66058526.42558365,978209.6845247959
400,13898.444826240337,66083796.99678624,960457.2272552012
500,13856.201081984074,66017371.65444332,957237.2987216348
600,13845.834682827503,66007437.6764488,952513.7130999094
700,13784.471089827972,66036636.52736976,937794.2972758535
800,13733.275684621296,65957446.627616346,932657.5925931033
900,13667.061796359467,65919026.55254413,919402.8782025039
1000,13634.753037749924,65860233.892416626,917860.8126371811
1100,13606.228029317095,65856322.064448856,904330.6244435487
1200,13563.07425571571,65859517.05468928,898114.6398242746
1300,13531.360793225394,65768491.72206919,889345.5861536451
1400,13456.45322352047,65754037.21623685,879151.0277582232
1500,13432.566700424142,65701174.21036255,874736.2174631605
1600,13371.517861498041,65604552.16169542,861880.9848862899
1700,13361.869064162971,65584988.22123252,857983.4692217637
1800,13336.407237295387,65488396.07313273,850751.532497459
1900,13279.165048429802,65467362.74796413,847328.3766229243
2000,13254.374851450186,65448459.2265601,831040.3137408108
2100,13179.247716789829,65321982.15851589,827947.7047764175
2200,13173.884313473274,65319281.40712686,826672.7392125702
2300,13146.147415995812,65232245.89445206,812332.0851787984
2400,13107.786013587422,65117740.49138003,802398.9223558512
2500,13039.976954366122,65056161.43175288,800775.2749380775
2600,13025.82786286552,65035131.47314435,792197.164792032
2700,12968.246869376904,64918492.09715833,787687.5457656462
2800,12970.18858262279,64897616.05256229,783045.1079785085
2900,12927.196247865639,64756142.427411094,770806.6606062828
3000,12918.105498238414,64709485.58983697,767630.6529270175
3100,12855.895184223264,64670372.79471438,763675.4515308557
3200,12826.979380713563,64556679.01899926,755560.1350381266
3300,12799.92688442388,64505634.446857765,745912.6241274365
3400,12796.528142560172,64362474.87094834,734629.447820227
3500,12730.038660948821,64289241.31364944,731048.0096730675
3600,12726.298073662218,64177216.66493828,721704.9883591315
3700,12671.14052205167,64090156.714334294,723680.9836724835
3800,12668.555314849822,64093070.65132929,712741.5943115919
3900,12624.486158034919,63979156.75439363,710941.9824671512
4000,12610.189263174723,63902700.89669242,707397.0806076331
4100,12583.627978283708,63792955.45407875,697555.0774052269
4200,12552.579939646266,63747991.93953671,685546.6065791408
4300,12504.176702860937,63663799.320483975,682444.4172493183
4400,12478.621826184815,63527370.11894891,683553.8912481217
4500,12446.658808630254,63452164.46416823,674399.4135726097
4600,12453.915163790942,63339200.07356512,665847.2881582656
4700,12427.70294976522,63243456.8872177,663656.4495217754
4800,12375.030729043554,63131579.00772809,655146.485789344
4900,12350.134162984443,63061705.51337499,647429.9366619396
5000,12325.897161763427,63007976.25135645,641387.6492297694
