miliseconds,A,T,M
0,14129.01238215171,66138330.08626852,997620.4882125156
100,14042.631209041876,66052393.186550535,994017.9539241254
200,14029.341636826566,66095759.21428927,985568.623950695
300,13984.660754979845,66033423.458075985,976903.3546761078
400,13936.100000877686,66092240.07454572,965748.9866511384
500,13860.981880069887,66038423.20530557,955977.0171871078
600,13842.380524204962,66047494.13694277,948709.3617245314
700,13780.376254306591,66031970.04982825,942991.9168267503
800,13716.104897397026,65944879.771056965,931092.4542452578
900,13703.219047657718,65944091.073801555,918767.1200702916
1000,13647.367335527733,65941476.21609806,912372.0947142938
1100,13617.19047431252,65874191.48230992,902059.3217558586
1200,13562.146530953354,65841900.54330971,893472.425207029
1300,13528.047316307167,65733531.96326392,884837.3081959921
1400,13453.598484730199,65761264.74927629,880180.0136116346
1500,13445.316516144067,65639079.827485316,875851.6933765662
1600,13373.336288323095,65613688.965790324,868528.1334129313
1700,13370.789212920576,65557543.27915426,858525.5687069835
1800,13318.96784010903,65488625.70551166,849100.2378436965
1900,13251.90557977553,65451967.63160805,847462.3062836318
2000,13234.481385569345,65416991.448793374,839586.6060652576
2100,13178.992027896897,65321192.95972311,830349.4368114311
2200,13181.623614990422,65321864.257448204,826060.6476709585
2300,13132.819923688816,65247343.61938048,812733.2949891847
2400,13086.597103629709,65113646.843631186,809809.2491198009
2500,13063.148819575092,65048471.28386485,800253.5457134732
2600,13005.916210336949,65038838.29117084,789669.935232392
2700,12978.935158679582,64969945.71962437,781583.3327754813
2800,12984.509779412012,64894202.12801907,774223.0663322648
2900,12935.045203005506,64769995.11962001,773239.5302232506
3000,12921.887728935058,64750765.18119578,763664.4605801771
3100,12843.161350554345,64665258.617445886,753909.4379502573
3200,12856.522102924306,64508892.42749682,754825.147986352
3300,12824.721754436128,64436594.466249265,741068.8659177592
3400,12797.876260317402,64364633.11722402,736089.329051404
3500,12738.756628142524,64268989.77894608,727978.7068225327
3600,12734.162962088027,64220448.826741315,731710.1290595749
3700,12699.245343962157,64121968.53077383,718300.6171415395
3800,12634.69586295258,64048625.29493149,715513.3548621284
3900,12607.084891297112,64001964.17545726,710154.6138461491
4000,12607.306859572222,63863331.99717412,698577.3074516449
4100,12590.855749990316,63779418.65084948,699663.7550896872
4200,12555.356949923851,63747664.36959104,693505.7237946481
4300,12504.976062185737,63640588.51332836,682135.4925620321
4400,12518.16799660157,63559159.699796274,683513.5128170042
4500,12476.876421918658,63485375.15681455,671097.591394713
4600,12447.345305230641,63311893.27490251,672445.0193522478
4700,12433.922592285,63293169.90182084,656554.0465517485
4800,12375.558215311845,63184384.96445532,658136.1646504174
4900,12348.865738573582,63089580.863674544,652372.5277685187
5000,12357.458259072804,62960053.14651709,643191.3718244169
