milliseconds,A,T,M
0,14110.667281359265,66121308.00399776,995577.0810575539
100,14091.31255296495,66055807.6450913,987444.4796059844
200,14002.406641551755,66067220.20012423,980295.3145452607
300,13990.769483099797,66104939.762477174,970404.4491898532
400,13905.999748325823,66060896.58634466,963294.3274457939
500,13889.292538646754,66063378.94383136,957131.3647012515
600,13804.836436890424,65978247.59282992,947303.6849341315
700,13753.472751417816,65988749.04588404,936495.5572280535
800,13707.48364007376,65984165.669719286,926106.2382771263
900,13671.696208266805,65886026.6534085,927073.0527799842
1000,13622.670630221797,65855495.45458223,917783.0714021133
1100,13608.78179930107,65818375.38908139,906129.0378982394
1200,13570.366444739137,65830321.29638418,897558.181602533
1300,13536.103733169532,65757097.80355228,893576.190959904
1400,13486.434996604803,65749141.442951,884333.1925952567
1500,13406.420329323086,65641928.90394338,874572.676236004
1600,13369.533547285813,65661621.674127005,869279.3499358721
1700,13375.817961533876,65586756.922931224,858530.1444716748
1800,13335.364634091899,65512470.827064686,856040.1566800702
1900,13272.78697390461,65444968.332874164,840800.6799199895
2000,13229.433889817661,65415523.61491845,832255.9982088581
2100,13207.090158572619,65329056.23645374,829567.3524757589
2200,13153.770605234218,65307126.16712422,821852.4558003395
2300,13138.685153209253,65165777.34993636,814448.684495334
2400,13111.44793819964,65104515.36656583,809990.6726768973
2500,13040.049759226717,65071315.97359493,800587.9846998958
2600,13032.024875098474,65002651.246286705,789585.3979471625
2700,12984.332037262897,64936661.16564211,790994.766506166
2800,12947.46816763754,64838958.18696866,779044.7371601505
2900,12910.057586047225,64747850.92775562,769152.917465839
3000,12878.582711843788,64722302.18312578,769257.6163430522
3100,12856.808212756636,64583186.161157735,759333.8004028527
3200,12823.706426788176,64581264.82445894,749216.4547169302
3300,12792.768257286667,64422659.56450592,742409.2227595372
3400,12797.18299689996,64426095.69256588,740942.9622272417
3500,12727.68645492687,64285490.247532025,728005.9710535365
3600,12739.10070679688,64252392.35668765,731754.2235522168
3700,12706.430928023185,64113542.74706734,722981.4270337569
3800,12643.957991521493,64087336.45573425,711724.3443608703
3900,12628.431656961906,63980601.35299646,706808.4763130369
4000,12592.908018516897,63909186.411805324,698561.2388269503
4100,12570.658347371667,63799562.58629402,701281.9381925607
4200,12529.559142470707,63688598.195070945,687111.727132757
4300,12520.713669899938,63605901.34147641,689342.3174767207
4400,12516.56816278981,63526276.81569077,682581.4399344679
4500,12457.839219020847,63404292.40672979,669349.994370163
4600,12470.631407227393,63350122.78163963,661986.7538376914
4700,12430.02122812429,63225128.68616712,661945.7766805935
4800,12405.96228426532,63147143.84985351,653749.2477045433
4900,12377.09634015954,63106860.370277375,655319.206605857
5000,12344.26247354775,63023371.17484625,645941.1778926387
