miliseconds,A,T,M
0,14122.881292560083,66106193.87423815,1000234.5345771946
100,14076.326990610345,66060039.89006398,986285.6887029533
200,14009.254654007294,66037945.57743133,987239.8709223574
300,13975.511292937737,66027474.232646585,971269.1885218187
400,13920.648086127763,66106975.37801816,966029.333597196
500,13880.147329090962,66046112.97287138,950971.6388482503
600,13836.814460606418,66005688.50518155,946444.2920038864
700,13757.672277599786,65985989.1066294,944289.5754424459
800,13751.42947825704,65946261.352043755,935154.0476497941
900,13705.560092390366,65939346.223699726,922571.6220142753
1000,13659.222960405592,65868483.22756058,913459.2360839593
1100,13594.648051045824,65892844.21476185,905993.3408301172
1200,13535.435424258258,65856506.581479125,897594.7117827057
1300,13491.349147224799,65783614.21736839,886193.7163431605
1400,13456.604071685784,65737115.81868863,880288.7734012668
1500,13423.612766722264,65642979.25709024,870953.0973865822
1600,13409.305526714748,65650830.338360414,870707.7059911822
1700,13332.845300954954,65573833.45348436,863083.3844442185
1800,13335.553384287377,65569340.91441313,848829.4007308686
1900,13283.46656975144,65461427.28831548,844802.859417719
2000,13233.02474463506,65439496.98324509,838735.4820402941
2100,13216.869475592808,65377073.194633596,831571.1422451191
2200,13149.452737376176,65264851.6333572,819021.8864571556
2300,13151.517781035709,65250579.92112405,818959.0171472968
2400,13102.109985792002,65159848.06820933,803784.3144623339
2500,13065.014639412519,65050494.94015498,796999.8310083884
2600,13016.373830357266,64981131.58234661,797137.6591370215
2700,13009.259573477615,64935414.90381319,781398.3472127428
2800,12983.7483018962,64829360.07360095,782074.8702784845
2900,12943.505150578443,64744972.50019299,775808.9623647247
3000,12904.451778142584,64725817.8545856,769723.9121380735
3100,12848.540603872358,64660775.03630683,756718.6145120873
3200,12847.831967235335,64504990.74436658,747291.409009249
3300,12784.03374523601,64512978.71403144,745239.0063652225
3400,12777.593798418466,64385575.35123385,741718.0606606724
3500,12738.845328283718,64264595.626728445,728086.0547738932
3600,12734.068639658692,64200039.251068905,729684.6184995663
3700,12664.61085254002,64156748.141791694,725377.1903453697
3800,12668.050640459884,64033766.532876335,716130.3625489573
3900,12648.140626150522,64008302.37130091,704990.7429412818
4000,12596.436312637381,63849208.87735208,701809.451987634
4100,12571.201599759375,63827664.24778559,692183.5441748961
4200,12575.899706015902,63710419.59206241,687682.9803366177
4300,12538.079107008542,63650571.03996756,688994.9240118299
4400,12498.285814483424,63530704.99681729,677362.530835296
4500,12475.68897675451,63409587.217909716,677850.9022289619
4600,12462.758077708528,63318041.37231031,666250.3439578398
4700,12422.382124628637,63301711.149680026,663010.7628906139
4800,12384.776403151764,63140643.92971735,654496.3916295609
4900,12383.999561692246,63054887.3236386,649465.6093853702
5000,12371.895147682786,62990734.987271994,647081.6695322
