milliseconds,A,T,M
0,14141.114509695384,66066370.448036924,1000045.9132537969
100,14054.276291691769,66108906.87216798,992355.0868455982
200,14012.003769883913,66117117.84244991,976983.2887452963
300,13981.102574151222,66071064.12820654,977786.3673343714
400,13921.906961967374,66106236.61365947,966173.5673072516
500,13862.464340262417,66058055.402077295,960779.4944143697
600,13806.200072582375,66047837.11096518,947569.9354949698
700,13748.469866620895,65961866.78910025,940779.3232946061
800,13729.285740156347,65929184.07384019,933726.0702674933
900,13687.75854646815,65911390.157763235,923784.6509527235
1000,13623.006367657108,65886874.60361682,911540.0325859411
1100,13603.404345441355,65868776.95878542,909401.3048857673
1200,13567.775909747319,65803252.862585135,893591.4681581968
1300,13524.553004563882,65803000.77118933,895015.059445913
1400,13445.123977916035,65698291.715160385,878385.8462443979
1500,13438.352391199727,65665394.48747881,872949.1085103214
1600,13366.189863627082,65621691.40066252,867572.3950545761
1700,13362.598791411921,65573115.95997333,859206.3992827764
1800,13306.958446636148,65498023.2691667,846256.4931967563
1900,13287.636173660176,65468927.740200356,844420.019786611
2000,13261.906046954871,65379975.93149148,837257.1112803569
2100,13182.683158412832,65312193.574231364,824473.1091833496
2200,13151.699923397497,65258172.89547339,822219.5711895329
2300,13145.513569999066,65235253.45490907,810566.0843395122
2400,13085.974290966215,65128187.25000004,805643.1638421036
2500,13050.19048414796,65111987.658400826,795316.3656946803
2600,13035.05321553286,65044928.25588355,789366.4473787226
2700,12975.728405486767,64892355.280987486,783011.9810492655
2800,12965.580472684758,64860259.744457774,776286.7096721808
2900,12902.213304272705,64777270.008220784,767851.4482545297
3000,12905.299871105737,64682974.562364876,767432.4367005898
3100,12870.995382462383,64658214.66019661,759722.1854529958
3200,12820.634055931532,64584217.53517933,747590.1386674772
3300,12808.540507001326,64490507.55384713,748216.2663645315
3400,12795.466065588738,64390663.27494772,744019.6903022018
3500,12767.60265874225,64322865.97314816,731366.7520041225
3600,12705.926185580403,64206607.445188865,728301.4895665568
3700,12704.58481616394,64105318.22903234,724215.6906434583
3800,12665.40113718588,64072161.988537416,718077.7599320605
3900,12626.285867655828,63971463.72754507,705411.6103038627
4000,12611.312940958613,63861948.21755515,704650.6104626447
4100,12565.573959163683,63800770.814939074,700822.3763369832
4200,12527.36438989689,63677456.3436882,695024.1544487273
4300,12547.948640997774,63576300.762653925,680880.8746959525
4400,12472.136234967244,63509147.79089488,679751.7718745237
4500,12476.08276405868,63414575.13267742,669366.218278044
4600,12432.235364321468,63365076.46204539,671368.930965216
4700,12439.914480958063,63297437.747655034,659964.7203676886
4800,12406.119636408412,63208399.76501676,655970.9099146071
4900,12390.608039636436,63121052.59980621,648576.4361930075
5000,12333.44146844108,63014342.46294035,646177.9292595207
