milliseconds,M,TF,CP,CP2,IC
0,1.393316932952781,0.12999527367435287,0.037000636354091725,0.04396432649365049,0.3693970431213386
100,1.3964888374265327,0.12403484546468824,0.03740322632935272,0.044914235191384176,0.3768714781854058
200,1.4047184219262647,0.11841267467592534,0.037639202920946246,0.05074901063027922,0.3812480007242708
300,1.3961433065555406,0.11315278965503552,0.037786875291809054,0.05097663376058968,0.3861153187673511
400,1.3954870340975327,0.10746812978789662,0.03804796609416217,0.053377732069149524,0.39094728722606664
500,1.3912210267380456,0.1019732944070097,0.03821097887680839,0.05805217603408062,0.3974823511230215
600,1.3913992285438408,0.09756463507461101,0.03841452287991831,0.05923220966546984,0.40342703557927034
700,1.381035422555658,0.09311915103948544,0.03857446704407377,0.064530905287623,0.40766281488165457
800,1.3856942935855268,0.08893608216356955,0.03868305771494959,0.06286412411304398,0.4102732287056489
900,1.382812796110043,0.08371898705741693,0.03878961667483273,0.06600249946964569,0.41813639705398503
1000,1.3701086980771262,0.07943021089693682,0.038840059314903155,0.07015387275926292,0.4223116861585839
1100,1.3575662604994823,0.07309683233036851,0.038934877948664584,0.0735067085666047,0.4272532785851978
1200,1.3518787849719485,0.06865001273885776,0.03900978446556932,0.07617651023329518,0.42920594286579716
1300,1.3491073527231998,0.06636942953976602,0.039048774257480275,0.07911658996705148,0.43512880758419753
1400,1.3340059829128421,0.061869490692226706,0.03909567143008222,0.08667013494459724,0.4394389639978345
1500,1.3214375327784151,0.05657555134562311,0.03899542751954886,0.08707879823328256,0.44051062081190734
1600,1.321790372904571,0.0555348085744183,0.03900797922736012,0.0923993096560203,0.44725638319329686
1700,1.3012094831194119,0.051503715488030795,0.039058257757341834,0.09440146371168164,0.4498104722706274
1800,1.3010234461746115,0.0465534112872562,0.03901021151034192,0.10033129198971648,0.4513304206084079
1900,1.2837124738824333,0.044856587978977,0.038892857842256275,0.10576162696853442,0.4560748842707789
2000,1.2790132000883918,0.040288100039812764,0.03890546286950533,0.1104045500945594,0.45702187215943346
2100,1.256940268113443,0.03935582225865195,0.03876408641292233,0.11859237247483856,0.45975903137464863
2200,1.2492384376068055,0.03732038560306004,0.03875121116329306,0.11850617189547853,0.4637684106008023
2300,1.2420806588389195,0.03467229818102013,0.038702722658195195,0.12198947296871027,0.46572856279478586
2400,1.2257065404213776,0.034070833690642136,0.03853343509586498,0.12925452946754568,0.46842484987213767
2500,1.215519831651816,0.031490915241059146,0.03845286906343397,0.1364461497614439,0.4700009663447305
2600,1.2146692245882815,0.027710935868008348,0.03833041759052691,0.14172560950093843,0.4724300413390485
2700,1.194633827017592,0.027727668893287958,0.03828246539233609,0.14243628222359425,0.47109222781054283
2800,1.1808869334238978,0.027836094189083387,0.03817271055269739,0.15231964556962327,0.47330042442405423
2900,1.1792835489995543,0.02568588650674289,0.03802316753380478,0.15487237651578137,0.4734647657974615
3000,1.1580978968971725,0.02393127292592445,0.037920777898540606,0.16236961156031532,0.47799675830926475
3100,1.1576153276261525,0.021789253444363582,0.037845537882917946,0.16571299689823593,0.4767744502155104
3200,1.14583535003549,0.020092268635911154,0.03762977591910154,0.16975460881347998,0.4790605677079983
3300,1.1304682072181647,0.021442676056120182,0.03758497316630992,0.17783265194680545,0.4792264085351688
3400,1.115118064671739,0.0184633248251821,0.03744636000904458,0.17851434309764383,0.48016310839664006
3500,1.1093215160920822,0.01764127774451233,0.037285132672099305,0.18781242844755883,0.481494702189386
3600,1.0920089143553646,0.018477485072793662,0.03714691497955425,0.1880480957214566,0.48196632417725793
3700,1.0848992070183145,0.01687574585755087,0.03700513077126972,0.19300276184109313,0.48068500938772124
3800,1.0757186620733021,0.015758696104541156,0.03678351307465215,0.20070100707561755,0.48348028094338513
3900,1.0693477702237035,0.01736360442230159,0.03663642568853008,0.20423004273276946,0.4817708168549554
4000,1.0603978867018655,0.01705691835870666,0.036474295977573686,0.20819288968050725,0.4823307379084901
4100,1.0422724065197637,0.014789180074416642,0.03632857889888857,0.21196039559421617,0.4845932816574312
4200,1.0388621379260543,0.015417886723270881,0.03621195360264125,0.21872203569082016,0.4840123275691672
4300,1.0280690750948938,0.01523987325312359,0.0360018943276328,0.21905178569550252,0.4867209626134318
4400,1.0194228117600395,0.013708745785653524,0.03583094142755065,0.22644420034334709,0.4851106552041061
4500,1.007381670130378,0.015420694654460871,0.03570771272518973,0.22846157326296185,0.484024186286204
4600,0.9998495193461224,0.013434082723885172,0.03554073772961417,0.23074903465619456,0.4873895123746327
4700,0.9933624938411777,0.014210730952563453,0.03540071506257706,0.2381345756108466,0.4855703164036781
4800,0.9762044819973554,0.012571789826675034,0.03522388271925216,0.23834619845607485,0.4848329071402124
4900,0.9629617798075011,0.011984128680317169,0.034966020663827965,0.24428147138783216,0.48759438910385816
5000,0.9626301824598863,0.011929293336214909,0.03478720345177442,0.2427418022538232,0.4870150527541089
