milliseconds,I,A,D_II,D_IA,R,aux
0,9.969137090879782,9.988335650230486,10.026129544460694,9.949763213215304,0.9915875801694295,-1.2143521069489206e-05
100,10.052683255286977,10.05249381041323,10.034559377738452,10.05002058481088,1.0744888316767327,-5.485028027210532e-06
200,10.001882213568232,10.091472567962485,10.108080424791883,10.131604894748165,1.14282384584982,2.8782737486919134e-06
300,10.053177587323221,10.13341342766274,10.112166593537008,10.173422998556296,1.3028696110978752,-9.936165843246755e-06
400,10.09112724954003,10.186480777732665,10.163294349574713,10.161294626018949,1.40714519399047,-1.1157399066934607e-06
500,10.108753650427198,10.218356740912888,10.096883584997782,10.217595707059695,1.3891005599241073,1.3933970646605027e-05
600,10.093251090066103,10.274099715654703,10.191758479202193,10.33980747217515,1.5657165142541114,1.9562218792119838e-05
700,10.10598097739481,10.284130748469645,10.20148325878863,10.382005823103302,1.7087495457584554,2.289152188195058e-05
800,10.158070490633472,10.343340967295271,10.208457773119767,10.444419122368236,1.762681169524698,2.359080260706681e-05
900,10.173920195189469,10.359057935161418,10.230018290362512,10.480720287866776,1.787775482446898,2.3882220153569002e-05
1000,10.157230797678512,10.40160678428844,10.263765060598384,10.550938811434587,1.9850656621553195,3.327946598494583e-05
1100,10.181343271065217,10.438048227954868,10.305532858595074,10.574269900370544,2.0452706384067425,5.3019151638528796e-05
1200,10.257998319677387,10.483849997087281,10.491908202071976,10.659906950985945,2.1314880345557734,4.75175745145853e-05
1300,10.292754000529596,10.502590331146612,10.467753236499172,10.671158603104619,2.2010639895503994,6.402946932410017e-05
1400,10.273137176966504,10.54054104926372,10.522892961973518,10.800127460400756,2.24332645902686,7.326725372404674e-05
1500,10.342534401468654,10.546103451071351,10.558504228517442,10.855761762396968,2.372905574480916,7.314506009693849e-05
1600,10.359744551455764,10.580133061425853,10.714639247221983,10.949596820821121,2.452561708762221,7.993825803366237e-05
1700,10.395021216222414,10.612934555561134,10.807982244299044,11.017211919761406,2.6541747094521955,0.00010169753799364428
1800,10.479618912686535,10.658239595333832,10.795298771326797,11.034681228195572,2.6824816990202653,0.00011788934691239528
1900,10.464166019763221,10.673208314425441,10.920419383075698,11.07950024663051,2.7383955411087575,0.00012282761829942484
2000,10.515177193258749,10.702699301082635,11.008761365596282,11.15040547912029,2.8266130097926925,0.00013290126364026865
2100,10.586689398465667,10.727575846918645,11.050461399682975,11.292435495144899,3.0413901004657906,0.00014870115804894025
2200,10.599883859637748,10.744573450357642,11.131311481391103,11.31125211226154,3.0835306870947994,0.00017450301031133724
2300,10.64841741860921,10.746039475861956,11.247388911700284,11.41240409692589,3.24302485284844,0.00018277206154738645
2400,10.688606405728159,10.784803920670225,11.301773984982738,11.491484027880615,3.3500086393751842,0.0001862251281437104
2500,10.769834645098875,10.789005771392167,11.382810016375993,11.552147652600098,3.430920985409357,0.0002037647543960647
2600,10.789039206599845,10.828460618498813,11.596566458254433,11.659476158256336,3.451675244093545,0.00023535281057113824
2700,10.827745489566258,10.838244997935423,11.704406830598167,11.717748836148065,3.6468085366271588,0.0002612900924705812
2800,10.908940508590169,10.867837994710401,11.832165347017922,11.775561056734785,3.7454916422828255,0.00028121194621151324
2900,10.994839562199802,10.864581269559942,11.935884068529457,11.870732087399668,3.7723785613881162,0.000285004130841674
3000,11.00202539643527,10.89272877601256,11.995400671663793,11.944902663230408,3.8539535227589545,0.0003071799909716535
3100,11.055726409412962,10.895359584962659,12.112878642055081,11.994657338900316,3.9771288630224406,0.00033894528577710104
3200,11.12513063006557,10.922884072554533,12.31653975847805,12.110528499375235,4.107388081532851,0.00036126437556970145
3300,11.191647780819828,10.940613388078502,12.456674973996439,12.161452742547965,4.235883840667978,0.0003745095772103719
3400,11.233046797633714,10.948488209626888,12.594004865855995,12.186456213533678,4.28931965404323,0.00038811901661254524
3500,11.340416543071578,10.961075013559784,12.636894240588603,12.36722959265821,4.408080764642163,0.00041801788208551544
3600,11.41038458336814,10.960533540815891,12.855490903161755,12.423911282831059,4.527033434360289,0.00043691368642276887
3700,11.464230852021045,10.975423647424273,12.997691139204628,12.52940196633462,4.609698692404136,0.00046293102216654657
3800,11.499178427229225,10.98654885694038,13.099764420947348,12.570107646666289,4.731860345068292,0.0004887626299487358
3900,11.619500172413314,11.000120287562961,13.320948347557142,12.69688175231143,4.787203152758129,0.0005117881795733798
4000,11.690406407032391,10.996310086950237,13.500093001663194,12.687640809095232,4.871766381764235,0.0005527536892854935
4100,11.735569160206008,11.001387510556647,13.534388029940956,12.87478299951053,4.957945969854869,0.0005882540342236643
4200,11.767593957026751,11.022346117241572,13.77160978529502,12.86200806963776,5.09385782388091,0.0006079793904257374
4300,11.86570638929119,11.021239746807344,13.979443849218313,12.940403425884071,5.25452436780759,0.0006422604260272486
4400,11.933422210509027,11.034882320499774,14.079035426178454,13.05284437179869,5.277817132278728,0.0006563210388190486
4500,11.987352716304336,11.040049287822818,14.271735902647922,13.222060752664348,5.454842393825992,0.0006938832783700594
4600,12.068058170592185,11.038635454648027,14.483213976709857,13.26869820014676,5.460306612764955,0.0007145444153706074
4700,12.188439184635921,11.04783704317024,14.638170230716927,13.351754016294015,5.562544323585051,0.0007441162456428836
4800,12.222095408855434,11.038306511128766,14.771637132726408,13.391483457954985,5.666424204751672,0.0007896012915767468
4900,12.3250214615034,11.050019823723114,15.06590885055911,13.520286390565989,5.759147653918891,0.0008294449780613863
5000,12.430420876924916,11.05804116836375,15.181950318927106,13.569605370403114,5.933151335323073,0.0008535200546361894
