milliseconds,G0,G1,rA,I,rI,A,AI,A2,G2,G3
0,0.9999295290428396,-0.00019088046906418524,-0.07477160521405307,0.22424430288194638,0.023051182893846008,-2.3388891083183982,-0.39867322608595984,-0.7926729889864953,0.0,0.0
100,0.9998580881221154,-0.00016860090078178803,0.20506981122832668,0.08790870442278337,0.03433520594973538,-1.308047599210307,0.14452563058077403,0.4132547739749138,0.0,0.0
200,1.000063519883799,0.00021736660419687193,0.16576837398318717,0.10266202656797141,0.05211088290949316,2.8223079154914057,0.22023017935421987,-0.2530802014585448,0.0,0.0
300,0.9998333363102044,-0.00019429652925944202,0.1991758351609424,0.08001488132781653,0.06211954864692293,1.2180830139506398,-0.5611946757303453,0.2744823969470511,0.0,0.0
400,0.9998427202876994,-5.7361756044641126e-05,0.46579291205486145,0.3711288899935391,0.06419784530287215,2.336189720045735,0.6670420167160216,0.3139625859715882,0.0,0.0
500,0.9999703125095923,-9.742944119983176e-05,0.5396330995182478,0.0805070090497037,0.09803464205508255,2.364758700492831,-0.12032148182478578,0.8337633121990214,0.0,0.0
600,1.0001427564785172,-8.079786884767178e-05,0.572665952591234,0.3558563415872762,0.09518789682374279,1.869226740274254,-0.28853322746695304,-0.3517586554773987,0.0,0.0
700,0.9999655988630892,-1.6793783866668145e-05,0.5804532745530108,0.7700628891944074,0.12866357549748644,3.4588786236421707,-0.1427518658764532,0.376691035521277,0.0,0.0
800,1.0002195923828665,6.535426653592309e-05,0.9050838118676192,0.5935345158882106,0.15514629991634338,2.5240162836692117,-0.6790179123939705,0.6035657960562976,0.0,0.0
900,0.9998143273223912,3.434420013417616e-05,0.7596759782584945,0.7624968816702387,0.15286398824132588,3.154526341459476,0.6148976018154065,-0.20371640906250155,0.0,0.0
1000,0.9999058201837517,-1.7512058474311172e-05,1.0595409954305375,1.0698768793686622,0.19951166619841598,6.199608528311512,-0.04647262080150344,-0.5316405566396911,0.0,0.0
1100,1.0000917906994042,0.00019821706754345468,1.0408678485957976,1.427544493428884,0.1900539890183113,9.263634425240513,0.44873238217321,-0.5139610153781062,0.0,0.0
1200,0.9998216055294389,-0.00016939309601538826,1.2298876165184918,1.7606889567616084,0.1893851625540898,10.629838622114892,-0.2520767124455948,0.7115725181718217,0.0,0.0
1300,0.9999728492982469,0.00012193418438152683,1.2045884976991221,1.7753080971596724,0.22174858099384534,11.523562053991363,0.4654234578089945,0.46213426703926375,0.0,0.0
1400,0.9999548917725688,-0.00020572166439655672,1.4629632495827323,2.1935366850095845,0.24442553305320683,12.43514771315846,0.4651308932524342,0.4574647556415572,0.0,0.0
1500,0.9998684419652165,-0.00013060430821712295,1.4536894498420454,2.6680157850549913,0.2825698652184615,15.49609421673934,0.49172751160805905,1.0726036617736527,0.0,0.0
1600,0.9999045604255421,-3.8155087409373945e-05,1.4051232428664953,2.572324515849267,0.293852150935747,16.680273303371063,0.24992499694637885,1.215931466320276,0.0,0.0
1700,0.9999455453672967,4.0472486643619155e-05,1.67128562463965,3.3156736435488456,0.3211650555840139,17.187626716381413,1.1841649247267647,0.6858555741620964,0.0,0.0
1800,0.9997148052986122,-4.588442495495027e-05,1.6339402643707492,3.1416173716703515,0.3195520640808449,16.776571659027546,0.9293366367200704,0.7601046960249024,0.0,0.0
1900,1.0000113893750737,0.0002266436973138847,1.6954129007356105,3.464177432132279,0.33244182959394447,18.798789112438985,0.10416020012075355,2.0989844318371476,0.0,0.0
2000,0.9997427046434613,0.000360401372697263,1.820609896392767,4.0007881408963035,0.3625462667820046,24.39105606576524,0.9150621723392032,0.9764967385816399,0.0,0.0
