miliseconds,A,C9,C9X,X,AC9X,AC9,C3,C3_star,C3_starX,C9_starX,C9_star,AC9_star,AC9_starX
0,20.023106830272546,19.96912769360071,0.023042807351838,39.99626484272537,-0.005564444080996147,-0.016213221282499368,200.00557817078814,0.0014097494876596506,0.0011885862963388716,5.7246334496678265e-08,-2.4019501976406343e-05,1.5880955441192877e-06,-7.866581227900959e-08
100,19.918278732052848,19.804430254211624,0.10824803447977063,39.96760182165599,-0.004580265427179883,0.09690205273265498,199.99764828119044,-0.003283498806570434,-4.0410135652938536e-05,1.1112081490308818e-06,-1.5067380528707726e-05,5.813333029138283e-06,1.2144501895776026e-08
200,19.86703474907006,19.695102220414146,0.1969967386207232,39.82887721814105,0.007574903827424465,0.1384032935245305,199.99164388078847,0.010957985170321084,-0.0008588789561472945,-7.246579868150577e-07,3.666012783690058e-05,-3.1321439640493145e-06,1.508865031681165e-07
300,19.727330194873588,19.46756832817284,0.19240452432959954,39.72455288353868,0.007938580444234495,0.22537849116899789,199.98472697525557,0.010022976559970191,9.53546085683744e-05,6.039148223096146e-07,2.9846362633360987e-05,5.981758344033413e-06,-1.9308509547752942e-07
400,19.6934113978599,19.394746354335155,0.3253981050144623,39.65086900868493,0.009520540223458222,0.33334584555002644,199.9924314823313,0.004979347556127839,0.0004931442531386737,3.7484814272644e-07,-2.9809190038039645e-05,-3.9593572132279004e-07,-7.305235854854515e-08
500,19.6381855247667,19.157562468758403,0.4156884856611101,39.570926841227724,0.011595827980556101,0.3878852808271903,199.9913217958266,0.01578794835271097,0.0014882883342644297,-4.19361564511901e-07,4.046676191686962e-05,-4.618374326026235e-07,2.819545053475322e-07
600,19.540278522790047,19.12041363824125,0.4422180499307741,39.53585204315272,0.012038548327845823,0.4730531562334291,199.98062348493175,0.02011649256863721,0.001697075766318034,-1.967170111407668e-06,7.146629343136023e-06,1.5776195441989194e-06,-8.71152450169103e-08
700,19.463341860563222,18.91970864087032,0.5401949610635757,39.43553407508595,0.020630730969057823,0.5416175238765113,199.9742817308252,0.02899232059559525,0.001677177355198864,1.4607692605533314e-06,6.398378412198415e-05,5.322607596196093e-06,-1.0731298043050064e-07
800,19.4128614450319,18.854265598041117,0.6496966769793648,39.365381672330756,0.024451229090457716,0.5550793194006733,199.96420410488284,0.03299482661351063,0.0003432099127316136,-6.048082072651702e-07,3.9652029063330626e-05,5.490419576770048e-06,2.652426073315775e-07
900,19.30011543252609,18.70936191564599,0.6413227191906006,39.33134607123997,0.01884784367385069,0.6601130639178057,199.95751824196248,0.037710610286727245,0.0020490500359011104,-6.149724008923537e-07,8.392475548975133e-05,-3.2962452247809187e-07,1.3084342686906897e-07
