milliseconds,T,L,N,C,I,M
0,10020055.50571644,2000.921097828845,499552.75632437016,41700027258.27863,1995.9809521495768,0.0
100,9833672.457890138,2025.4700570210316,457922.77535151807,41699947402.88364,851.6494044302492,0.0
200,9716035.239339678,2014.258456042133,409067.2139313662,41699945590.05496,401.36460576585074,0.0
300,9597212.420143481,2000.3124220488298,378123.6459074041,41699871357.47745,239.117414317465,0.0
400,9480043.980347937,1990.7815053078427,345819.8495867061,41699852692.75821,164.80790674209157,0.0
500,9377418.400622495,1978.2157162530282,305599.05801953084,41699786688.43953,140.0924626227029,0.0
600,9317134.534015005,1970.7958560204208,278128.6528821574,41699758657.1925,138.96649152715105,0.0
700,9239251.253941655,1961.4230261032912,263861.8457181995,41699742832.704475,114.45933211895598,0.0
800,9142740.71314347,1954.2743120525151,241606.18125424077,41699656359.465126,126.07362542709944,0.0
900,9064042.790121093,1947.572685674166,219674.97020512365,41699633003.27203,111.29394876045063,0.0
1000,9007278.98923976,1941.5003427798354,201801.92039790485,41699590901.279465,134.08253883714843,0.0
1100,8961442.572195582,1934.5325895149015,182641.09556057487,41699542840.400085,114.45750487517546,0.0
1200,8938169.385747684,1927.2414438599615,173623.0449930848,41699533808.66876,109.48482353735649,0.0
1300,8870015.143908152,1922.6720476460341,157213.38303553947,41699504110.61419,113.02974378449531,0.0
1400,8846586.890793342,1920.441216495708,139545.9029221275,41699447804.10331,129.37929400036407,0.0
1500,8811411.11417971,1915.4994180515166,127237.6578276885,41699426678.41531,107.65841258990355,0.0
1600,8770880.7942645,1910.5080544019968,122122.62368282536,41699394433.120255,123.48550441092468,0.0
1700,8721556.509564204,1907.781004937715,118555.48215649625,41699302382.62291,132.02070629669487,0.0
1800,8713648.744321788,1906.0457299262762,100554.99544264433,41699279467.502525,118.62555301650171,0.0
1900,8687670.642330403,1903.9765508416604,91404.1522704281,41699253377.38315,114.50644742940874,0.0
2000,8669585.41644817,1898.5656399263855,87042.74595409614,41699205960.856094,121.23270417929939,0.0
2100,8622979.888211189,1897.6849132183272,86353.05278421765,41699145955.15582,123.57717567157995,0.0
2200,8622735.032218039,1895.771896361934,77882.94235030873,41699132472.839836,105.79765174891389,0.0
2300,8575310.97913974,1893.7413757351762,75636.0757076186,41699084706.57354,129.32797060353698,0.0
2400,8561024.261609487,1888.844964658185,72069.23815093104,41699079791.48461,105.40879080453341,0.0
2500,8570797.442110315,1888.2642571210065,64059.10210943043,41699028154.80113,104.46299375413179,0.0
2600,8561000.528991034,1886.7153775807706,58372.4828064489,41698999289.292435,107.93307939360417,0.0
2700,8534298.965033038,1885.9084092891123,55827.42524926243,41698932461.85201,124.70456401645858,0.0
2800,8492633.376521736,1883.0494790802682,51395.90632876106,41698898762.38818,107.34842519119917,0.0
2900,8521042.04727046,1884.0930786573017,53913.75927898346,41698887071.323524,127.63101638032046,0.0
3000,8474353.579772236,1880.2535442945782,42325.38768934761,41698813756.9188,112.45604734277349,0.0
3100,8478079.33800923,1881.0934624489987,46271.34366296203,41698759528.89391,125.4517858378282,0.0
3200,8447509.156555392,1878.646146019284,40083.138222550406,41698745810.129364,114.18729956926158,0.0
3300,8465957.44418235,1878.2304463222945,42782.45420899874,41698688506.66151,120.7367622576796,0.0
3400,8470677.119165309,1876.9802390404457,34427.87688975663,41698690583.02261,120.3050301351695,0.0
3500,8424946.777720284,1877.931439293612,34955.52862009498,41698612043.99903,125.50903963298614,0.0
3600,8431824.948688844,1874.2898905506836,38334.113024008344,41698590737.09787,118.98027568361405,0.0
3700,8445583.464530176,1872.5380351317865,38376.190798156334,41698547901.65779,111.17849774775902,0.0
3800,8431857.420891745,1873.5866707403195,28323.418659652252,41698508877.7455,115.85663544830223,0.0
3900,8430768.837350644,1870.9533026134332,27497.056775246623,41698458797.42314,105.74480974650997,0.0
4000,8390129.643737804,1872.6311464960222,31769.101448891084,41698449409.53739,107.04915165059974,0.0
4100,8402343.681359354,1873.4160314797246,21359.871185036667,41698394910.7549,112.84950061375577,0.0
4200,8403745.41649362,1873.1240888887535,31128.12670875129,41698367956.54127,128.64688146451616,0.0
4300,8404977.170972185,1869.795797461985,28387.726149860657,41698310252.41513,102.17191339936898,0.0
4400,8389310.049517522,1869.1458732702279,24659.29918031857,41698299541.72618,120.71330372439712,0.0
4500,8377305.793679349,1870.8520903549295,28781.186385250174,41698272154.8624,103.78850708056123,0.0
4600,8395043.861612882,1867.2562328502086,24272.11719564079,41698233297.88325,119.819492794125,0.0
4700,8380816.827184265,1870.5512684886469,26206.314792548128,41698199822.71265,104.85027417930273,0.0
4800,8375115.458670702,1867.5022306663066,16076.678182625175,41698112876.99275,120.09925287322521,0.0
4900,8364935.764140772,1866.0158661363887,21708.753821393213,41698076691.64513,109.54590398986409,0.0
5000,8366732.488009846,1867.5495312837986,22601.427156011818,41698056241.15183,103.53762395018077,0.0
