milliseconds,T,L,N,C,I,M
0,9993504.922755647,2000.7458337626704,494330.71893819433,41699989129.51863,1999.1572096894095,0.0
100,9854727.1679468,2026.1684248198953,451296.28686960676,41699953691.12521,856.6070774272151,0.0
200,9715863.689556448,2014.1526918771394,411582.3544993786,41699920082.4816,405.8397542803187,0.0
300,9581161.080439597,1999.5473396822451,375376.49063618237,41699858327.65764,239.2195922305248,0.0
400,9478408.968551997,1987.1659282745488,346024.4664251307,41699837239.309,157.67319506014726,0.0
500,9371776.54846483,1976.756898229244,310528.4240208808,41699788650.27441,129.03525537975483,0.0
600,9294596.245598828,1968.7063688605579,285357.55367307685,41699738714.73191,129.1788012916048,0.0
700,9233758.012653492,1962.868325426637,263502.4766065664,41699740559.92005,114.67218062378156,0.0
800,9147143.926580729,1954.032008983298,240245.32149959722,41699707279.85508,127.6220064037672,0.0
900,9083993.219179533,1945.8475244955623,216209.85944608832,41699661121.8815,107.34042345377983,0.0
1000,9038356.317462513,1940.2002149334908,201193.44771456913,41699585789.665184,116.26842377190668,0.0
1100,8973102.471328596,1935.4404696635888,188020.98895353806,41699578040.80523,129.36919631526325,0.0
1200,8940592.089756327,1929.034692018212,167183.84661252514,41699516906.55101,114.62171561749912,0.0
1300,8859707.504667709,1924.914185308674,153496.73122913254,41699468613.88341,127.09318129357894,0.0
1400,8839993.308228489,1919.70601699272,141285.09449204,41699432312.53285,123.99025863506584,0.0
1500,8783932.215729307,1914.069784748163,137508.51297612564,41699416399.671036,132.4506925654494,0.0
1600,8776957.284030832,1913.6400389422236,127267.57110360274,41699386663.962425,118.92025327287237,0.0
1700,8742451.703825213,1910.0900095350007,110183.17089989605,41699322199.21518,105.6913940329882,0.0
1800,8685570.927216902,1903.8571346601009,109661.01604214513,41699312788.27964,107.37305213053025,0.0
1900,8671063.444774736,1903.0339586699904,93925.00212209878,41699267989.693016,126.88760539217925,0.0
2000,8665776.276241357,1901.058564373439,84200.74814589384,41699233971.13333,110.66818467014525,0.0
2100,8637366.238917055,1896.515495809339,80360.21430583886,41699190793.74535,118.03575538003588,0.0
2200,8597339.395885754,1893.8215422002531,77232.70673099763,41699106791.52287,122.44898275226767,0.0
2300,8586616.745102799,1891.9077958018333,72057.4110412443,41699073052.963554,128.4168279885227,0.0
2400,8584636.026248287,1891.806628692409,64746.7986852116,41699030983.841415,120.91525874121267,0.0
2500,8568407.495922113,1890.9446808128364,62899.29643724278,41698987102.04698,102.79766364913174,0.0
2600,8545217.417798417,1885.5262549209863,54065.18736602642,41698973395.02024,103.06329218934019,0.0
2700,8534540.278204849,1886.1272817848287,52673.50377075995,41698957749.90722,104.48836592424895,0.0
2800,8522875.272623308,1886.1401654686524,53237.19227593255,41698892911.95331,113.48982743351556,0.0
2900,8489480.153101813,1884.296723636052,54324.84731011696,41698882594.89525,124.52232672466506,0.0
3000,8484248.900145022,1881.6938913725091,43548.27902656243,41698844060.670456,104.72344582698656,0.0
3100,8459198.56194112,1882.4768738109142,38074.94460329415,41698811538.759155,126.58387128352257,0.0
3200,8472741.706164224,1879.909782359148,41721.873344883825,41698757990.36689,106.55902888193813,0.0
3300,8438742.807023214,1876.2004867497933,34215.15418238689,41698690090.40281,111.4540395959436,0.0
3400,8443737.364788292,1876.994421339749,37617.29359608796,41698642802.728264,108.35124982042814,0.0
3500,8434054.371248797,1876.1344100883641,38356.61465594637,41698647132.90045,119.27349154629786,0.0
3600,8455739.068041803,1875.7151104956686,30116.312391227042,41698612815.44693,106.82671152545542,0.0
3700,8437588.061701898,1876.572101039654,32461.588459698447,41698575784.81513,117.69944270059557,0.0
3800,8424594.52153255,1875.0117257414097,31117.593789019887,41698509652.07126,129.24463085798317,0.0
3900,8412227.98747823,1874.5735755405967,28459.150531584142,41698476501.41653,118.82811405580631,0.0
4000,8392994.85637609,1874.2696013449026,32118.978477704266,41698453803.46079,119.85006838007308,0.0
4100,8410212.85418137,1870.443268664045,30771.552906709356,41698374228.75746,129.2630418853722,0.0
4200,8380022.3727533985,1872.3925904177324,29045.793598771757,41698380614.55612,128.0336475595132,0.0
4300,8379851.193748492,1872.3615679162128,23223.709385842012,41698334711.33487,105.35736557758679,0.0
4400,8372750.375458932,1868.0534375597267,30738.71518002967,41698279484.49931,106.51804590546946,0.0
4500,8366820.309005122,1869.7288045963912,24152.406499104636,41698246577.05106,125.91211644361756,0.0
4600,8360129.967953569,1870.4475377483084,23746.213670669997,41698183121.7106,105.16460837732605,0.0
4700,8377521.140131079,1870.3083911839649,23912.66817691285,41698188719.50405,103.96790744614978,0.0
4800,8354297.522860047,1865.8811395437478,20861.633640517117,41698112864.54938,122.53179252206726,0.0
4900,8361548.83807708,1866.5110648157847,23278.298042894996,41698114389.44635,112.74431694919971,0.0
5000,8347174.949696711,1864.8928068983244,21375.167492984074,41698042005.64075,107.29095206017145,0.0
